date,ticker,name,end,AUM,log_return_t+5
2019-01-02,161510,PLUS 고배당주,8164,141584,0.006957611222398796
2019-01-02,174350,TIGER 로우볼,9193,21995,0.012431920558427123
2019-01-02,182480,TIGER 미국MSCI리츠(합성H),8927,15767,0.03370363059326564
2019-01-03,161510,PLUS 고배당주,8080,3538517,0.016934997928213846
2019-01-03,174350,TIGER 로우볼,9201,34767,0.007039613194232075
2019-01-03,182480,TIGER 미국MSCI리츠(합성H),8832,6277,0.050341754860850685
2019-01-04,161510,PLUS 고배당주,8080,4061314,0.01815109925770564
2019-01-04,174350,TIGER 로우볼,9335,12824,-0.004401746330900735
2019-01-04,182480,TIGER 미국MSCI리츠(합성H),8888,1792,0.051315796384603374
2019-01-07,161510,PLUS 고배당주,8148,1739105,0.009770473426151227
2019-01-07,174350,TIGER 로우볼,9297,7128,-0.007124382465706347
2019-01-07,182480,TIGER 미국MSCI리츠(합성H),8998,275,0.03987021920968381
2019-01-08,161510,PLUS 고배당주,8090,1734254,0.029354765922370518
2019-01-08,174350,TIGER 로우볼,9280,964,0.0045156511524400145
2019-01-08,182480,TIGER 미국MSCI리츠(합성H),9026,13816,0.0399618861999933
2019-01-09,161510,PLUS 고배당주,8221,74098,0.019275382946773334
2019-01-09,174350,TIGER 로우볼,9308,19518,0.0023607694192069317
2019-01-09,182480,TIGER 미국MSCI리츠(합성H),9233,561,0.022171957366920125
2019-01-10,161510,PLUS 고배당주,8218,67406,0.023213502519082496
2019-01-10,174350,TIGER 로우볼,9266,5235,0.014995996528400113
2019-01-10,182480,TIGER 미국MSCI리츠(합성H),9288,559,0.027084657039527116
2019-01-11,161510,PLUS 고배당주,8228,54486,0.027806201827422328
2019-01-11,174350,TIGER 로우볼,9294,20668,0.01197875286007033
2019-01-11,182480,TIGER 미국MSCI리츠(합성H),9356,4227,0.02689042711921452
2019-01-14,161510,PLUS 고배당주,8228,61121,0.028751381481908922
2019-01-14,174350,TIGER 로우볼,9231,48340,0.01697140626839655
2019-01-14,182480,TIGER 미국MSCI리츠(합성H),9364,6082,0.027906828629483016
2019-01-15,161510,PLUS 고배당주,8331,78666,0.015011003807313017
2019-01-15,174350,TIGER 로우볼,9322,37917,0.007374585871927408
2019-01-15,182480,TIGER 미국MSCI리츠(합성H),9394,215,0.02283708823634356
2019-01-16,161510,PLUS 고배당주,8381,51311,0.008199202252312077
2019-01-16,174350,TIGER 로우볼,9330,239,0.015843810611652742
2019-01-16,182480,TIGER 미국MSCI리츠(합성H),9440,285,0.010432678005660279
2019-01-17,161510,PLUS 고배당주,8411,61643,0.014986415355469518
2019-01-17,174350,TIGER 로우볼,9406,35410,0.009206901376805021
2019-01-17,182480,TIGER 미국MSCI리츠(합성H),9543,254,-0.0014681210690667967
2019-01-18,161510,PLUS 고배당주,8460,55464,0.01861989504712902
2019-01-18,174350,TIGER 로우볼,9406,7618,0.011101239977392652
2019-01-18,182480,TIGER 미국MSCI리츠(합성H),9611,912,-0.00563440555710315
2019-01-21,161510,PLUS 고배당주,8468,59856,0.01348914946346369
2019-01-21,174350,TIGER 로우볼,9389,3905,0.014696040776588148
2019-01-21,182480,TIGER 미국MSCI리츠(합성H),9629,3480,0.004765860657698795
2019-01-22,161510,PLUS 고배당주,8457,42271,0.012456095243971177
2019-01-22,174350,TIGER 로우볼,9391,1590,0.015532036053555132
2019-01-22,182480,TIGER 미국MSCI리츠(합성H),9611,1270,0.01835103043814712
2019-01-23,161510,PLUS 고배당주,8450,40129,0.02084628715782877
2019-01-23,174350,TIGER 로우볼,9479,13928,0.014661483699573097
2019-01-23,182480,TIGER 미국MSCI리츠(합성H),9539,1149,0.04148012783486621
2019-01-24,161510,PLUS 고배당주,8538,62758,0.021092449585117024
2019-01-24,174350,TIGER 로우볼,9493,16779,0.016506852025337082
2019-01-24,182480,TIGER 미국MSCI리츠(합성H),9529,2964,0.051041399929996345
2019-01-25,161510,PLUS 고배당주,8619,93158,0.011994146785820448
2019-01-25,174350,TIGER 로우볼,9511,1710,0.017302912398555748
2019-01-25,182480,TIGER 미국MSCI리츠(합성H),9557,5280,0.05615224588787804
