Date,티커,ETF명,구분1,구분2,sector_main,sector_sub,기초지수,AUM(억원),종가,일별수익률
2019-01-02,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9353,
2019-01-03,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9393,0.004276702662247445
2019-01-04,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9413,0.0021292451825827285
2019-01-07,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9378,-0.0037182619781154225
2019-01-08,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9333,-0.004798464491362786
2019-01-09,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9303,-0.0032144005143041054
2019-01-10,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9413,0.011824142749650601
2019-01-11,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9403,-0.001062360565175835
2019-01-14,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9388,-0.0015952355631181359
2019-01-15,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9383,-0.0005325948018747306
2019-01-16,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9383,0.0
2019-01-17,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9383,0.0
2019-01-18,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9383,0.0
2019-01-21,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9323,-0.006394543323031021
2019-01-22,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9264,-0.00632843505309455
2019-01-23,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9328,0.006908462867012188
2019-01-24,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9293,-0.003752144082332709
2019-01-25,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9308,0.001614118153448807
2019-01-28,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9453,0.015577997421572842
2019-01-29,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9463,0.001057865227970023
2019-01-30,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9537,0.0078199302546762
2019-01-31,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9577,0.004194191045402196
2019-02-01,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9567,-0.0010441683199331475
2019-02-07,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9458,-0.011393331242813831
2019-02-08,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9477,0.002008881370268556
2019-02-11,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9517,0.004220744961485723
2019-02-12,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9492,-0.002626878217925843
2019-02-13,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9522,0.003160556257901348
2019-02-14,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9482,-0.004200798151648866
2019-02-15,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9502,0.00210925964986286
2019-02-18,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9587,0.008945485161018674
2019-02-19,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9597,0.001043079169708916
2019-02-20,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9706,0.011357715952901914
2019-02-21,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9701,-0.0005151452709664106
2019-02-22,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9592,-0.011235955056179803
2019-02-25,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9652,0.006255212677231059
2019-02-26,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9617,-0.003626191462909212
2019-02-27,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9612,-0.000519912654673993
2019-02-28,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9527,-0.008843112775697048
2019-03-04,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9358,-0.017739057415765758
2019-03-05,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9293,-0.006945928617225872
2019-03-06,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9323,0.003228236306897614
2019-03-07,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9303,-0.0021452322213879604
2019-03-08,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9353,0.005374610340750374
2019-03-11,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9403,0.005345878327809306
2019-03-12,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9373,-0.0031904711262362717
2019-03-13,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9448,0.008001707030833138
2019-03-14,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9418,-0.0031752751905165244
2019-03-15,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9413,-0.0005308982798896134
2019-03-18,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9403,-0.001062360565175835
2019-03-19,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9443,0.004253961501648362
2019-03-20,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9448,0.0005294927459493781
2019-03-21,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9542,0.009949195596951732
2019-03-22,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9487,-0.0057639907776148025
2019-03-25,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9527,0.004216295983977991
2019-03-26,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9552,0.0026241209194919346
2019-03-27,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9497,-0.0057579564489111945
2019-03-28,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9472,-0.002632410234810978
2019-03-29,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9303,-0.017842060810810856
2019-04-01,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9328,0.002687305170375076
2019-04-02,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9298,-0.0032161234991423537
2019-04-03,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9343,0.004839750483975003
2019-04-04,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9338,-0.0005351600128438161
2019-04-05,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9308,-0.0032126793745984594
2019-04-08,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9368,0.00644606789858182
2019-04-09,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9378,0.0010674637062340064
2019-04-10,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9423,0.004798464491362786
2019-04-11,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9438,0.0015918497293856415
2019-04-12,A132030,KODEX 골드선물(H),위험,FX 및 원자재,real_asset,gold,S&P GSCI Gold Index(TR),2585.76934131,9343,-0.01006569188387374
