date,ticker,name,end,AUM,log_return_t+5
2019-01-02,157450,TIGER 단기통안채,96776,3091,0.0003409355096692934
2019-01-03,157450,TIGER 단기통안채,96794,10303,0.0002995604747191294
2019-01-04,157450,TIGER 단기통안채,96799,1286,0.00035118162648117845
2019-01-07,157450,TIGER 단기통안채,96804,1109,0.00029952953430267826
2019-01-08,157450,TIGER 단기통안채,96809,2239,0.00024788010992438103
2019-01-09,157450,TIGER 단기통안채,96809,1600,0.00035114535712921224
2019-01-10,157450,TIGER 단기통안채,96823,3238,0.0002994707651140516
2019-01-11,157450,TIGER 단기통안채,96833,1623,0.00024781868060053114
2019-01-14,157450,TIGER 단기통안채,96833,765,0.0002994398432250023
2019-01-15,157450,TIGER 단기통안채,96833,20005,0.0003510583412413837
2019-01-16,157450,TIGER 단기통안채,96843,754,0.00029940892772017946
2019-01-17,157450,TIGER 단기통안채,96852,223,0.00030970299730270767
2019-01-18,157450,TIGER 단기통안채,96857,1203,0.0003612921912452549
2019-01-21,157450,TIGER 단기통안채,96862,3135,0.00030967102862078377
2019-01-22,157450,TIGER 단기통안채,96867,32104,0.0003096550467542869
2019-01-23,157450,TIGER 단기통안채,96872,4151,0.00030963906653802553
2019-01-24,157450,TIGER 단기통안채,96882,524,0.0004334231206204464
2019-01-25,157450,TIGER 단기통안채,96892,4430,0.0003817955789049421
2019-01-28,157450,TIGER 단기통안채,96892,9635,0.0005365360536480068
2019-01-29,157450,TIGER 단기통안채,96897,12181,0.0005365083751769362
2019-01-30,157450,TIGER 단기통안채,96902,63200,0.0005880502178641223
2019-01-31,157450,TIGER 단기통안채,96924,2691,0.0004126093473288961
2019-02-01,157450,TIGER 단기통안채,96929,2223,0.0003610238675975097
2019-02-07,157450,TIGER 단기통안채,96944,2928,0.0003094091341626637
2019-02-08,157450,TIGER 단기통안채,96949,213,0.00029908161541492007
2019-02-11,157450,TIGER 단기통안채,96959,1325,0.0002474966755254826
2019-02-12,157450,TIGER 단기통안채,96964,2794,0.00024748391480855503
2019-02-13,157450,TIGER 단기통안채,96964,1520,0.00035058413862820714
2019-02-14,157450,TIGER 단기통안채,96974,250,0.00029900452338260664
2019-02-15,157450,TIGER 단기통안채,96978,145,0.00030930067364742797
2019-02-18,157450,TIGER 단기통안채,96983,1180,0.00036082288627170556
2019-02-19,157450,TIGER 단기통안채,96988,20004,0.00030926878796755375
2019-02-20,157450,TIGER 단기통안채,96998,1557,0.0003504612724629652
2019-02-21,157450,TIGER 단기통안채,97003,2253,0.00035044321117183586
