date,ticker,name,end,AUM,target_5d,sector,domestic_mean,domestic_std,domestic_count,global_mean,global_std,global_count
2019-01-02,157450,TIGER 단기통안채,96776,3091,0.0003409355096692,단기자금,-0.4996573752650874,0.7066400713625745,2.0,-0.0766323745250701,0.5024558107065658,10.0
2019-01-03,157450,TIGER 단기통안채,96794,10303,0.0002995604747191,단기자금,0.1218443153611588,0.3441969625507488,8.0,-0.3006076739790539,0.5145235215139475,12.0
2019-01-04,157450,TIGER 단기통안채,96799,1286,0.0003511816264811,단기자금,3.7250794573790496e-05,9.91204066341926e-05,9.0,-0.2121021571258703,0.3142286020241789,15.0
2019-01-07,157450,TIGER 단기통안채,96804,1109,0.0002995295343026,단기자금,0.319769141120725,0.5206882997738386,11.0,-0.1067174694572503,0.4151586490040732,13.0
2019-01-08,157450,TIGER 단기통안채,96809,2239,0.0002478801099243,단기자금,0.0414694192586466,0.058597835759791,2.0,0.0705764852464199,0.3935455391291095,8.0
2019-01-09,157450,TIGER 단기통안채,96809,1600,0.0003511453571292,단기자금,-0.0892060930896799,0.3125793905015184,7.0,-0.207183850212739,0.2584999137898435,13.0
2019-01-10,157450,TIGER 단기통안채,96823,3238,0.000299470765114,단기자금,0.0058569554217683,0.0132867406071976,5.0,-0.3021987889789873,0.4471333057307818,27.0
2019-01-11,157450,TIGER 단기통안채,96833,1623,0.0002478186806005,단기자금,-0.002980085555464,0.0,1.0,-0.2023367406800389,0.4803104788503307,20.0
2019-01-14,157450,TIGER 단기통안채,96833,765,0.000299439843225,단기자금,-0.2016194500050915,0.420580696266285,10.0,-0.1683838223772389,0.4995762465341187,14.0
2019-01-15,157450,TIGER 단기통안채,96833,20005,0.0003510583412413,단기자금,-0.2486017739774979,0.4936122152355707,4.0,-0.0762918140325281,0.3554620275315667,9.0
2019-01-16,157450,TIGER 단기통안채,96843,754,0.0002994089277201,단기자금,0.2323671483636644,0.4570994009643317,4.0,-0.0365907503291964,0.4617983275006629,8.0
2019-01-17,157450,TIGER 단기통안채,96852,223,0.0003097029973027,단기자금,-0.126724861216644,0.8308610781339305,8.0,0.0262754488736391,0.4356391476412692,10.0
2019-01-18,157450,TIGER 단기통안채,96857,1203,0.0003612921912452,단기자금,-0.0679172056552488,0.5937074410694425,5.0,-0.1155382581055164,0.4670672292274045,14.0
2019-01-21,157450,TIGER 단기통안채,96862,3135,0.0003096710286207,단기자금,-0.2833526919145827,0.4842053428205907,7.0,-0.2806639124949773,0.4941025719220592,6.0
2019-01-22,157450,TIGER 단기통안채,96867,32104,0.0003096550467542,단기자금,0.1506252123211501,0.3685001137870183,6.0,0.0988137079402804,0.146899112102704,10.0
2019-01-23,157450,TIGER 단기통안채,96872,4151,0.000309639066538,단기자금,0.7989163956415724,0.4466037049117781,5.0,-0.3895518947392702,0.4879387708919347,8.0
2019-01-24,157450,TIGER 단기통안채,96882,524,0.0004334231206204,단기자금,2.7511196094565094e-05,2.20296514605538e-06,2.0,-0.2029368244111538,0.3966447646561569,9.0
2019-01-25,157450,TIGER 단기통안채,96892,4430,0.0003817955789049,단기자금,0.0172528996314213,0.0400548749086828,5.0,-0.3250938685876982,0.3967384866911228,14.0
2019-01-28,157450,TIGER 단기통안채,96892,9635,0.000536536053648,단기자금,0.285752441454211,0.4685858301814035,14.0,-0.2145195874170615,0.4574975473535599,13.0
2019-01-29,157450,TIGER 단기통안채,96897,12181,0.0005365083751769,단기자금,0.2083026261848967,0.4188758865828859,14.0,-0.2332400907244947,0.3641419040729169,9.0
2019-01-30,157450,TIGER 단기통안채,96902,63200,0.0005880502178641,단기자금,0.1347533271303594,0.3258441892415915,6.0,-0.115507909311698,0.514314072576035,13.0
2019-01-31,157450,TIGER 단기통안채,96924,2691,0.0004126093473288,단기자금,0.3193466414941213,0.6419873979607508,14.0,-0.2594647204503417,0.3895514932752509,10.0
