제목,날짜
"""이더리움, 금융기관 블록체인 채택 이끌 것""",2025.12.29 18:03
[단독] 미래에셋 ‘블록체인 전쟁’ 참전…펀드·주식 등 토큰화 속도낸다,2025.12.28 19:05
미래에셋 '블록체인 전쟁' 참전…펀드·주식 등 토큰화 속도낸다,2025.12.28 18:01
"“나만 몰랐나, 펀드 실제 수령액 왜 이렇게 적지?”...모르면 손해보는 ‘이것’",2025.12.23 12:49
"[정지열의 스테이블코인 돌아보기] ‘신뢰를 설계하는 기술’ 스테이블코인 시대, 신뢰가 승부 가른다",2025.12.22 17:50
"""AI 거품론에 일단 피신"" 파킹ETF 뭉칫돈 몰려",2025.12.21 17:16
“다들 주식하는데 나도”…맘 급해진 은행 ‘연금리 20%’ 적금도 내놨다,2025.12.19 22:11
파킹통장도 이자 쏠쏠 … 일단 은행에 넣어둘까,2025.12.19 17:27
"바이낸스, 美 법인 지분 정리·경영진 개편 ‘만지작’…시장 재공략 시동",2025.12.18 15:19
M2에서 ETF등 수익증권 제외,2025.12.16 18:06
베어링운용 “2026년 골디락스 계속된다…AI 메가트렌드주목”,2025.12.15 14:36
코인 시장 뒤흔든 美 초단기 금리 이상 신호 [홍익희의 비트코인 이야기],2025.12.13 21:00
월가 공룡은행 JP모건의 파격… “이더리움 대신 솔라나로 채권 발행”,2025.12.12 10:26
"대신증권, 주로 AA- 등급 이상 만기 1년 이내 채권 집중",2025.12.07 16:13
“식비 더 줄이면 굶어야 돼요”…물가 쇼크에 금리인상 칼 빼든 일본,2025.12.05 22:11
日 금리인상 신호에 … 국채금리 2007년 이후 최고,2025.12.05 17:32
“비트코인 제쳤다”…국경간 송금·결제에선 이미 대세된 테더·서클,2025.12.05 09:45
트럼프의 ‘3조 달러 스테이블코인’ 베팅…연준 “국채 구원투수? 글쎄”,2025.12.04 10:14
"미래에셋운용, TIGER CD1년금리액티브(합성) ETF 순자산 1.5조 돌파",2025.11.28 14:20
“채권도 주식도 블록체인 위로”…RWA 시장 50조원 돌파 눈앞,2025.11.28 09:35
“안전만 찾다가 늙어서 밥 굶어”...퇴직연금 투자자들 간 커졌다,2025-11-28 06:02:24
달라진 연금개미 … 공격형ETF 투자 급증,2025-11-27 17:51:09
"블랙록 ‘BUIDL’, 바이낸스 상륙…‘스테이블코인’ 아성 무너뜨리나",2025-11-17 10:20:25
"자금 블랙홀된 증시 … 한달새 예금 23조 유출, 빚투는 26조 역대급",2025-11-13 18:00:09
"이창용 ""금리방향 새 데이터에 달려""… 3년물 국고채 금리 급등",2025-11-12 17:58:36
9월 통화량 30.3조원 증가…한은 “투자 대기성 자금 유입”,2025-11-12 16:18:35
"“지금이라도 들어갈까”…시중 풀린 돈 6개월째 늘어 4430조, 최대치 또 경신",2025-11-12 12:54:54
"미국은 MMF, 홍콩은 국채 직접 발행…‘토큰 금융’ 미중패권경쟁 본격화",2025-11-12 10:12:10
은퇴 앞둔 50대…부동산 편중 벗어나 주식·채권 담아라 [지갑을 불려드립니다],2025-11-06 16:09:01
“AI 에이전트 결제는 달러 스테이블코인?”...韓 금융 ‘종속’ 경고,2025-11-05 11:38:39
"FTSE 100·러셀 지수, 이젠 블록체인서 본다…FTSE 러셀, 체인링크와 첫 협력",2025-11-04 09:34:26
단순 송금·결제 → ‘스스로 돈 버는 달러’ [홍익희의 비트코인 이야기],2025-11-01 21:00:00
보수적 연준마저 ‘파격 선언’…“가상자산 결제망 개방 검토하겠다”,2025-10-22 09:38:26
"KB자산운용, KB 미중 AI테크 목표전환 ‘3호펀드’ 출시",2025-10-20 10:55:56
"역대급 국장, 유동성 덕?…8월 통화량 56조 늘어 ‘17개월만에 최대폭’",2025-10-15 14:28:00
"세계5위 블록체인, 원화 스테이블코인 발행나서",2025-10-14 17:22:40
"[단독] 솔라나, 웨이브릿지 손잡고 韓서 원화 스테이블코인 발행 나선다",2025-10-14 09:20:57
"“요즘 돈 못 벌면 바보”…넘치는 유동성, 주식·금·코인 다 뛴다",2025-10-09 18:29:15
넘치는 유동성·달러가치 불안 겹쳐 … 주식·금·코인 가격 폭주,2025-10-09 18:08:37
트럼프도 뛰어든 탈중앙화 금융 … 고수익보다 저위험 코인 노려라,2025-10-03 15:33:07
금리 있는 세상 들어선 日…MMF 10년만에 부활,2025-10-02 16:03:36
"흥국자산운용, ‘HK 머니마켓액티브 ETF’ 신규 상장",2025-09-30 15:27:05
KODEX 머니마켓액티브 ETF 순자산 8조원 돌파,2025-09-30 11:01:48
펀드 판매잔고 첫 1000조 돌파…MMF 비중 22% ‘1위’,2025-09-29 14:43:29
"카카오뱅크, 펀드 잔고 1조원 돌파",2025-09-29 14:03:24
"‘인뱅 3사’ 카카오·토스·케이뱅크, 이자 장사 말고 ‘여기’서 한판 붙는다",2025-09-25 16:36:26
"신한자산운용, 달러단기자금펀드(USD) 수탁고 1조원 돌파",2025-09-19 14:27:04
"신한자산운용, 달러단기자금펀드 수탁고 1조원 돌파",2025-09-19 13:35:25
블록체인 힘주는 블랙록 … ETF도 토큰화,2025-09-12 17:54:20
"주식 ETF도 24시간 거래·즉시 정산…세계 1위 블랙록, 모든 자산 ‘토큰화’ 나선다",2025-09-12 15:44:23
"“오른다 싶어 안 팔면 바로 떨어지네”…박스피 지친 개미, 회사채 ETF 꽂혔다",2025-09-07 20:32:20
"SOL 중단기회사채(A-이상)액티브 ETF, 순자산 3천억 돌파",2025-09-05 10:37:33
"이젠 1억까지 안심 … 소중한 목돈, 고금리로 굴려볼까",2025-09-04 16:24:32
주식형 ETF에 뭉칫돈 … 美AI 인프라에 3000억,2025-09-01 17:21:22
이번주 15개 기업 출격…회사채 시장 ‘북적’,2025-09-01 16:52:52
"대신증권, 잔존 만기 1년 이내 우량 자산 투자…환매시 바로 출금",2025-09-01 15:59:40
“제2금융권도 예보한도 1억”...상향 첫날 새마을금고 표정은,2025-09-01 15:26:11
“불안할 때는 안전자산이 최고”…주식 ETF에 몰린 돈 보니,2025-09-01 12:12:01
공모펀드 판매잔고 300조 돌파,2025-09-01 10:59:53
"9월부터 1억까지 예금자보호 확대…저축은행도 적용, DB형 퇴직연금은 보호 안돼",2025-09-01 05:58:51
1일부터 예보한도 1억원 제2금융권 예적금도 적용,2025-08-31 18:11:12
1일부터 저축은행도 예금 보호한도 1억된다,2025-08-31 10:26:29
"신영자산운용, 채권혼합 목표전환형 펀드 ‘기업가치레벨업 2호’ 출시",2025-08-28 15:27:02
"“하루 4개씩 쏟아지니 종목 찍기 쉽지 않네”…ETF 종목 수, 주식 보다 많아졌다",2025-08-27 06:22:07
ETF가 주식보다 많다 … 美서 첫 '추월',2025-08-26 17:49:36
KB자산운용 ‘KB 크레딧 알파 단기채 1호’ 단기성과 최고,2025-08-25 14:28:25
가계대출 막히자 ‘자산운용’에 뛰어드는 인뱅들…비이자이익 확보 나서,2025-08-24 07:22:44
KODEX 머니마켓액티브 누적 개인순매수 5천억 돌파,2025-08-21 09:57:02
"“게걸음 증시, 일단 지켜보자”…주식투자 대기자금 230조 ‘사상최대’",2025-08-17 20:56:29
박스피에 거래대금 급감…투자 대기자금 사상최대,2025-08-17 17:19:43
영파씨 “장기 차트인·음방 1위 욕심…앵콜 라이브 꼭 보여주고파” [MK★현장],2025-08-14 15:08:39
