날짜,시가,고가,저가,종가,거래량,등락률
2021-10-21,8663,8748,8663,8691,45524,
2021-10-22,8725,8807,8663,8668,192288,-0.2646415832470372
2021-10-25,8725,8725,8642,8647,250521,-0.24227041993539455
2021-10-26,8691,8696,8638,8668,317802,0.24285879495778884
2021-10-27,8677,8682,8644,8682,216529,0.16151361329026304
2021-10-28,8663,8663,8564,8571,251278,-1.2785072563925364
2021-10-29,8644,8647,8580,8590,220111,0.2216777505541944
2021-11-01,8616,8655,8616,8642,231913,0.6053550640279395
2021-11-02,8644,8673,8638,8651,229183,0.10414255959268687
2021-11-03,8711,8772,8711,8755,235535,1.2021731591723501
2021-11-04,8798,8837,8777,8837,180156,0.9366076527698459
2021-11-05,8833,8833,8809,8823,232474,-0.15842480479800838
2021-11-08,8828,8862,8828,8851,231469,0.3173523744758019
2021-11-09,8851,8851,8781,8809,246801,-0.4745226528075923
2021-11-10,8807,8823,8772,8802,217817,-0.07946418435690772
2021-11-11,8807,8862,8807,8828,208842,0.2953874119518291
2021-11-12,8915,8915,8809,8837,203564,0.10194834617127321
2021-11-15,8823,8890,8823,8837,248972,0.0
2021-11-16,8843,8890,8841,8855,360382,0.20368903474029648
2021-11-17,8857,8907,8857,8885,182594,0.33879164313946925
2021-11-18,8885,8890,8828,8846,221920,-0.43894203714124924
2021-11-19,8915,8915,8823,8885,253116,0.44087723264752426
2021-11-22,8924,8924,8818,8818,235746,-0.7540799099606078
2021-11-23,8867,8867,8818,8843,221586,0.2835110002268088
2021-11-24,8907,8907,8862,8880,231601,0.41841004184100417
2021-11-25,8885,8924,8885,8924,229494,0.4954954954954955
2021-11-26,8902,8924,8833,8841,228695,-0.9300761990138952
2021-11-29,8841,8841,8748,8809,236492,-0.3619500056554688
2021-11-30,8818,8880,8620,8655,196444,-1.7482120558519696
2021-12-01,8655,8655,8536,8590,48720,-0.7510109763142693
2021-12-02,8555,8555,8459,8467,76281,-1.4318975552968567
2021-12-03,8629,8655,8531,8625,72463,1.8660682650289357
2021-12-06,8625,8677,8625,8651,19392,0.3014492753623188
2021-12-07,8768,8798,8691,8735,54907,0.9709860131776673
2021-12-08,8841,8841,8752,8768,12955,0.37779049799656556
2021-12-09,8752,8752,8706,8721,11436,-0.5360401459854015
2021-12-10,8711,8739,8711,8735,8653,0.1605320490769407
2021-12-13,8735,8846,8735,8843,17858,1.236405266170578
2021-12-14,8841,8841,8807,8828,20599,-0.16962569263824495
2021-12-15,8798,8837,8786,8814,7946,-0.15858631626642503
2021-12-16,9222,9222,8843,8950,11191,1.5429997730882687
2021-12-17,8955,8989,8902,8902,23064,-0.5363128491620112
2021-12-20,8880,8880,8837,8837,14144,-0.7301729948326219
2021-12-21,8851,9180,8851,8937,10582,1.1316057485572026
2021-12-22,8977,8977,8927,8941,7259,0.04475774868524113
2021-12-23,8967,8989,8950,8967,8732,0.2907952130634157
2021-12-24,9056,9082,9003,9034,19147,0.7471841195494591
2021-12-27,9034,9060,9010,9020,23829,-0.15497011290679655
2021-12-28,9077,9195,9077,9128,35577,1.197339246119734
2021-12-29,9186,9186,9123,9166,15189,0.4163014899211218
2021-12-30,9152,9171,9123,9162,18098,-0.04363953742090334
2022-01-03,9166,9207,9166,9198,50898,0.3929273084479371
2022-01-04,9226,9234,9212,9234,52485,0.3913894324853229
2022-01-05,9324,9360,9290,9333,89713,1.0721247563352825
2022-01-06,9328,9341,9244,9244,54932,-0.9536054859102111
2022-01-07,9315,9395,9315,9387,58207,1.5469493725659886
2022-01-10,9286,9387,9277,9351,52388,-0.38350910834132307
2022-01-11,9351,9384,9272,9351,59006,0.0
2022-01-12,9351,9356,9320,9356,122732,0.05347021708908138
2022-01-13,9320,9320,9268,9306,75429,-0.5344164172723386
2022-01-14,9264,9299,9234,9294,31237,-0.1289490651192779
2022-01-17,9294,9387,9277,9301,82996,0.0753174090811276
2022-01-18,9286,9301,9222,9244,46814,-0.612837329319428
2022-01-19,9128,9190,9097,9115,82408,-1.3954997836434444
2022-01-20,9051,9143,9029,9143,69200,0.30718595721338454
2022-01-21,8963,8963,8898,8955,25920,-2.0562178715957566
2022-01-24,8945,8982,8872,8937,17083,-0.20100502512562815
2022-01-25,8890,8890,8777,8814,30429,-1.3763007720711649
