날짜,시가,고가,저가,종가,거래량,등락률
2023-05-16,9847,9847,9833,9847,128748,
2023-05-17,9916,9916,9867,9867,242817,0.2031075454453133
2023-05-18,10211,10211,10093,10123,221760,2.5945069423330294
2023-05-19,10251,10271,10197,10202,248208,0.7804010668774078
2023-05-22,10325,10325,10226,10256,387614,0.5293079788276809
2023-05-23,10620,10620,10482,10522,431685,2.593603744149766
2023-05-24,10502,10502,10408,10438,470216,-0.7983273141988215
2023-05-25,10275,10330,10271,10330,442983,-1.0346809733665454
2023-05-26,10418,10433,10354,10374,415059,0.42594385285576
2023-05-30,10374,10782,10374,10782,671546,3.9329091960670906
2023-05-31,11092,11092,10940,11004,602638,2.058987200890373
2023-06-01,10910,11092,10866,11038,748606,0.30897855325336243
2023-06-02,11166,11211,11132,11181,649104,1.2955245515491935
2023-06-05,11432,11466,11393,11422,617886,2.1554422681334406
2023-06-07,11781,11781,11575,11639,751799,1.8998424093853967
2023-06-08,11683,11698,11457,11501,939638,-1.1856688718962112
2023-06-09,12106,12372,12077,12338,1166674,7.277628032345014
2023-06-12,12490,12490,12333,12357,757688,0.15399578537850545
2023-06-13,12579,12579,12397,12411,896555,0.43699927166788055
2023-06-14,12771,12805,12613,12712,893451,2.4252679075014103
2023-06-15,12716,12771,12653,12687,938627,-0.19666456891126494
2023-06-16,12721,12736,12593,12672,859525,-0.11823126034523528
2023-06-19,12712,12963,12712,12884,817302,1.672979797979798
2023-06-20,12933,12933,12810,12825,648313,-0.4579323191555418
2023-06-21,13430,13494,13263,13479,934772,5.099415204678363
2023-06-22,12618,12721,12613,12667,932811,-6.024185770457749
2023-06-23,13056,13071,12810,13041,720268,2.9525538801610485
2023-06-26,12672,12707,12633,12648,749482,-3.01357257878997
2023-06-27,12170,12224,12091,12126,929385,-4.127134724857686
2023-06-28,12313,12515,12313,12480,818069,2.9193468579910937
2023-06-29,12766,12918,12672,12904,724927,3.3974358974358974
2023-06-30,12923,13169,12923,13061,702384,1.2166769993800373
2023-07-03,13568,13691,13327,13671,1122784,4.670392772375775
2023-07-04,13765,13780,13622,13656,800482,-0.10972130787798992
2023-07-05,13720,13720,13573,13573,1121037,-0.6077914469830111
2023-07-06,13652,13745,13573,13583,991367,0.07367567965814485
2023-07-07,13342,13440,13292,13307,1167999,-2.031951704336303
2023-07-10,13297,13391,13282,13351,1336742,0.3306530397535132
2023-07-11,13282,13287,13140,13184,1056851,-1.2508426335105984
2023-07-12,13223,13228,13135,13145,833754,-0.2958131067961165
2023-07-13,13169,13307,13169,13268,1832303,0.9357170026626094
2023-07-14,13401,13460,13322,13396,1005998,0.964727163099186
2023-07-17,13450,13514,13371,13405,637398,0.06718423409973126
2023-07-18,13780,13780,13553,13656,800570,1.8724356583364417
