날짜,시가,고가,저가,종가,거래량,등락률
2023-06-08,983426,983426,983416,983421,6996,
2023-06-09,983421,983694,983411,983694,9080,0.027760236968704145
2023-06-12,983849,983849,983839,983849,6772,0.01575693254203035
2023-06-13,983891,983891,983882,983891,6004,0.0042689477755224635
2023-06-14,983989,983989,983974,983989,8420,0.009960452936351689
2023-06-15,984087,984087,984077,984087,36049,0.009959460928933147
2023-06-16,984387,984387,984377,984387,97036,0.03048510954824116
2023-06-19,984549,984554,984539,984554,100447,0.016964872555204406
2023-06-20,984584,984589,984574,984584,125438,0.00304706496545644
2023-06-21,984688,984688,984653,984653,315889,0.007008035881143711
2023-06-22,984786,984795,984771,984791,287221,0.014015089579780897
2023-06-23,985091,985099,985086,985099,392899,0.031275671690744536
2023-06-26,985243,985248,985198,985238,410558,0.014110256938642715
2023-06-27,985285,985290,985280,985285,430096,0.0047704209541247905
2023-06-28,985383,985383,985379,985383,400248,0.009946360697666159
2023-06-29,985503,985503,985498,985498,689336,0.011670588999404293
2023-06-30,985802,985802,985792,985802,984803,0.030847348244237936
2023-07-03,985979,985979,985974,985979,500150,0.017954924011109735
2023-07-04,985999,985999,985994,985999,575658,0.0020284407680082437
2023-07-05,986097,986101,986092,986097,498331,0.009939158153304416
2023-07-06,986194,986199,986189,986194,545014,0.009836760480966883
2023-07-07,986543,986548,986539,986543,705749,0.03538857466178054
2023-07-10,986656,986661,986646,986656,645232,0.011454138339636488
2023-07-11,986744,986749,986744,986744,707896,0.008919015340706386
2023-07-12,986843,986853,986843,986848,722716,0.010539714454813002
2023-07-13,986946,986956,986946,986951,811048,0.010437270988034632
2023-07-14,987246,987251,987246,987246,799572,0.029890035067597073
2023-07-17,987358,987363,987358,987358,921653,0.011344690178537061
2023-07-18,987468,987473,987468,987468,996040,0.011140842531280448
2023-07-19,987564,987569,987557,987564,1066087,0.009721834023988626
2023-07-20,987673,987698,987668,987698,1394841,0.01356874086135177
2023-07-21,987974,987979,987970,987970,1419116,0.02753878209736175
2023-07-24,988110,988110,988105,988105,1304050,0.013664382521736488
2023-07-25,988184,988184,988175,988180,1296230,0.0075902864574109025
2023-07-26,988282,988287,988282,988282,1284781,0.010322006112246757
2023-07-27,988587,988592,988587,988587,1350060,0.030861636658362696
2023-07-28,988685,988690,988685,988685,1366822,0.009913138651428757
2023-07-31,988798,988803,988798,988803,1945827,0.011935045034566116
2023-08-01,988868,988873,988868,988873,1331888,0.007079266547532724
2023-08-02,988970,988970,988965,988965,1033431,0.009303520270044788
2023-08-03,989270,989275,989270,989270,1040111,0.03084032296390671
2023-08-04,989370,989375,989370,989375,1296162,0.010613887007591456
2023-08-07,989529,989534,989529,989534,1359565,0.016070751737207834
2023-08-08,989584,989584,989579,989584,1336884,0.005052883478485833
2023-08-09,989678,989678,989673,989678,1264476,0.009498940969134506
2023-08-10,989976,989981,989976,989981,1325116,0.030616018543405024
2023-08-11,990170,990175,990170,990175,1814839,0.01959633568725056
2023-08-14,990298,990298,990293,990298,2154612,0.012422046607922841
2023-08-16,990380,990385,990380,990385,2196397,0.008785234343601622
2023-08-17,990662,990667,990662,990667,1915711,0.028473775349990155
