날짜,시가,고가,저가,종가,거래량,등락률
2022-04-26,98315,98319,98310,98315,21692,
2022-04-27,98310,98315,98310,98315,222,0.0
2022-04-28,98315,98324,98315,98324,72,0.009154249097289326
2022-04-29,98324,98329,98319,98329,1707,0.005085228428461007
2022-05-02,98329,98349,98329,98349,40692,0.020339879384515248
2022-05-03,98349,98349,98344,98349,1442,0.0
2022-05-04,98349,98349,98344,98349,238,0.0
2022-05-06,98359,98359,98354,98359,1138,0.010167871559446462
2022-05-09,98359,98359,98359,98359,61,0.0
2022-05-10,98364,98364,98359,98359,741,0.0
2022-05-11,98359,98359,98359,98359,0,0.0
2022-05-12,98369,98369,98369,98369,749,0.010166837808436443
2022-05-13,98379,98384,98379,98384,113,0.015248706401406947
2022-05-16,98384,98384,98384,98384,426,0.0
2022-05-17,98388,98388,98388,98388,107,0.004065701740120345
2022-05-18,98393,98393,98388,98393,58,0.005081920559417815
2022-05-19,98393,98393,98393,98393,99,0.0
2022-05-20,98408,98408,98408,98408,104,0.015244986940127854
2022-05-23,98412,98412,98408,98408,945,0.0
2022-05-24,98412,98417,98412,98417,478,0.009145597918868384
2022-05-25,98422,98422,98417,98422,340,0.00508042309763557
2022-05-26,98422,98422,98422,98422,6,0.0
2022-05-27,98441,98441,98437,98441,389,0.019304627014285425
2022-05-30,98446,98446,98441,98446,783,0.005079184486138906
2022-05-31,98456,98456,98451,98451,357,0.005078926518091136
2022-06-02,98460,98460,98460,98460,555,0.009141603437242893
2022-06-03,98475,98475,98470,98470,1481,0.010156408693885842
2022-06-07,98479,98484,98479,98479,750,0.0091398395450391
2022-06-08,98479,98484,98479,98479,3567,0.0
2022-06-09,98484,98489,98484,98484,584,0.005077224585952334
2022-06-10,98499,98503,98499,98499,618,0.015230900450834655
2022-06-13,98503,98508,98503,98508,2050,0.009137148600493406
2022-06-14,98508,98513,98508,98508,663,0.0
2022-06-15,98513,98518,98513,98518,1245,0.010151459779916352
2022-06-16,98518,98523,98518,98518,309,0.0
2022-06-17,98538,98538,98533,98538,2316,0.020300858726324124
2022-06-20,98538,98543,98538,98543,265,0.005074184578538229
2022-06-21,98538,98548,98538,98543,473,0.0
2022-06-22,98548,98553,98548,98553,4593,0.01014785423622175
2022-06-23,98553,98558,98553,98558,1489,0.005073412275628342
2022-06-24,98568,98573,98568,98573,2181,0.01521946468069563
2022-06-27,98578,98578,98573,98578,103274,0.00507238290404066
