날짜,시가,고가,저가,종가,거래량,등락률
2024-08-06,98617,98637,98617,98632,62300,
2024-08-07,98632,98632,98627,98632,50275,0.0
2024-08-08,98642,98646,98642,98646,55516,0.014194176332224836
2024-08-09,98671,98676,98671,98676,176647,0.030411775439450152
2024-08-12,98686,98686,98681,98686,64628,0.01013417649681787
2024-08-13,98706,98706,98701,98701,60933,0.015199724378331272
2024-08-14,98720,98725,98720,98725,65492,0.02431586306116453
2024-08-16,98755,98755,98750,98755,69501,0.030387439858191947
2024-08-19,98760,98765,98760,98765,88105,0.01012606956609792
2024-08-20,98775,98775,98770,98775,75553,0.0101250442970688
2024-08-21,98784,98784,98779,98779,62508,0.004049607694254619
2024-08-22,98794,98794,98789,98794,68476,0.015185413903764971
2024-08-23,98819,98824,98819,98824,69716,0.030366216571856588
2024-08-26,98829,98834,98829,98834,66973,0.010118999433336032
2024-08-27,98834,98839,98834,98839,62526,0.005058987797721432
2024-08-28,98848,98848,98844,98848,91353,0.00910571737876749
2024-08-29,98853,98858,98853,98858,117087,0.010116542570411136
2024-08-30,98883,98888,98883,98888,35137,0.030346557688806168
2024-09-02,98898,98898,98893,98898,102099,0.0101124504489928
2024-09-03,98908,98913,98908,98913,89231,0.015167141903779652
2024-09-04,98917,98922,98917,98922,123534,0.009098905098419824
2024-09-05,98927,98932,98927,98932,131521,0.01010897474778108
2024-09-06,98957,98962,98957,98962,137360,0.030323858812113372
2024-09-09,98967,98972,98967,98972,27693,0.010104888745174916
2024-09-10,98977,98982,98977,98982,11608,0.01010386776057875
2024-09-11,98986,98991,98986,98991,19203,0.009092562284051645
2024-09-12,99006,99011,99006,99011,131357,0.020203856916285318
2024-09-13,99060,99060,99055,99060,28270,0.0494894506670976
2024-09-19,99065,99070,99065,99070,39599,0.010094891984655765
2024-09-20,99090,99095,99090,99095,23796,0.025234682547693548
2024-09-23,99100,99105,99100,99100,16401,0.005045663252434532
2024-09-24,99115,99120,99115,99120,14897,0.020181634712411706
2024-09-25,99124,99129,99124,99129,17187,0.009079903147699757
2024-09-26,99134,99139,99134,99139,24609,0.010087865306822423
2024-09-27,99164,99169,99164,99169,11227,0.030260543277620313
2024-09-30,99189,99193,99189,99193,25256,0.02420111123435751
2024-10-02,99208,99218,99208,99218,18738,0.025203391368342522
2024-10-04,99238,99243,99238,99243,16920,0.025197040859521458
2024-10-07,99248,99253,99248,99253,41260,0.01007627742006993
2024-10-08,99267,99272,99267,99272,15001,0.019142998196528063
2024-10-10,99282,99282,99277,99282,72127,0.010073333870577806
2024-10-11,99307,99312,99307,99307,128294,0.025180798130577546
2024-10-14,99327,99331,99327,99331,221321,0.024167480640841028
2024-10-15,99336,99341,99336,99341,231586,0.010067350575349085
2024-10-16,99351,99351,99346,99351,230381,0.0100663371618969
2024-10-17,99361,99361,99356,99361,256490,0.01006532395245141
2024-10-18,99386,99391,99386,99391,227155,0.03019293284085305
2024-10-21,99400,99400,99396,99400,248556,0.00905514583815436
2024-10-22,99405,99410,99405,99410,233475,0.01006036217303823
2024-10-23,99420,99420,99415,99420,251681,0.010059350165979277
2024-10-24,99425,99430,99425,99430,237085,0.010058338362502514
2024-10-25,99455,99460,99455,99460,24907,0.030171980287639545
2024-10-28,99469,99469,99465,99469,233761,0.0090488638648703
2024-10-29,99474,99479,99474,99479,219965,0.010053383466205552
2024-10-30,99489,99489,99484,99489,238554,0.01005237286261422
2024-10-31,99494,99499,99494,99499,234547,0.010051362462181749
2024-11-01,99524,99529,99524,99529,240262,0.030151056794540648
2024-11-04,99534,99538,99534,99538,242952,0.009042590601734167
2024-11-05,99548,99548,99543,99548,124141,0.01004641443468826
2024-11-06,99558,99558,99553,99558,55866,0.010045405231647046
2024-11-07,99563,99568,99563,99568,151079,0.010044396231342534
2024-11-08,99593,99598,99593,99593,150166,0.025108468584284106
