날짜,시가,고가,저가,종가,거래량,등락률
2024-07-09,10033,10058,10013,10038,1409629,
2024-07-10,10023,10118,10023,10093,1551952,0.5479179119346483
2024-07-11,10222,10252,10177,10222,1485790,1.278113544040424
2024-07-12,10192,10192,10093,10138,898988,-0.8217569947172765
2024-07-15,10142,10442,10142,10302,1211686,1.6176760702308148
2024-07-16,10207,10232,10152,10182,1171439,-1.1648223645894
2024-07-17,10182,10192,10093,10098,1190323,-0.8249852681202121
2024-07-18,9655,9665,9420,9480,1285397,-6.120023767082591
2024-07-19,9485,9555,9480,9500,828924,0.21097046413502107
2024-07-22,9540,9595,9510,9595,888348,1.0
2024-07-23,9829,9829,9745,9804,961225,2.178217821782178
2024-07-24,9909,9909,9829,9829,1007731,0.25499796001631986
2024-07-25,9272,9350,9167,9297,1769426,-5.412554685115475
2024-07-26,9132,9132,8984,9048,1542507,-2.6782833171990967
2024-07-29,9162,9287,9162,9232,876487,2.033598585322723
2024-07-30,9227,9227,9152,9212,783815,-0.21663778162911612
2024-07-31,9018,9307,9018,9277,898980,0.705601389491967
2024-08-01,9750,9750,9550,9580,888129,3.2661420717904495
2024-08-02,9257,9257,9018,9023,1010550,-5.81419624217119
2024-08-05,8630,8904,7967,8116,859533,-10.052089105618974
2024-08-06,8415,8759,8146,8585,1039843,5.7787087235091175
2024-08-07,8784,8944,8744,8839,701005,2.958648806057076
2024-08-08,8550,8859,8550,8839,767957,0.0
2024-08-09,9082,9292,9082,9247,807987,4.615906776784704
2024-08-12,9212,9287,9177,9267,225148,0.2162863631448037
2024-08-13,9267,9267,9063,9192,1064011,-0.809323405632891
2024-08-14,9455,9515,9355,9375,332659,1.9908616187989554
2024-08-16,9545,9650,9430,9590,1000818,2.2933333333333334
2024-08-19,9560,9560,9302,9321,210073,-2.8050052137643378
2024-08-20,9655,9655,9326,9350,258292,0.3111254157279262
2024-08-21,9341,9341,9242,9326,211615,-0.2566844919786096
2024-08-22,9395,9450,9395,9430,215572,1.115161912931589
2024-08-23,9390,9395,9355,9380,225890,-0.5302226935312832
2024-08-26,9420,9420,9350,9370,236368,-0.10660980810234541
2024-08-27,9370,9370,9282,9331,247277,-0.41622198505869795
2024-08-28,9331,9450,9331,9430,255325,1.060979530596935
2024-08-29,9277,9365,9262,9292,417402,-1.4634146341463417
2024-08-30,9317,9455,9317,9440,187921,1.5927679724494186
2024-09-02,9545,9665,9545,9655,237217,2.277542372881356
2024-09-03,9695,9695,9620,9665,189503,0.10357327809425168
2024-09-04,9222,9257,9004,9004,334742,-6.839110191412312
2024-09-05,9097,9097,8969,8989,205827,-0.16659262549977788
2024-09-06,8989,8994,8789,8789,681132,-2.224941595283124
2024-09-09,8759,8779,8710,8759,205203,-0.3413357606098532
2024-09-10,8974,8974,8939,8969,194501,2.397533965064505
2024-09-11,9252,9252,9028,9028,216496,0.6578213847697625
2024-09-12,9207,9510,9207,9375,288974,3.843597696056712
2024-09-13,9440,9600,9440,9550,286412,1.866666666666667
2024-09-19,9824,9964,9755,9954,970815,4.230366492146597
2024-09-20,10162,10317,10118,10292,518574,3.395619851316054
2024-09-23,10765,10820,10720,10805,767917,4.984453944811504
2024-09-24,10899,10899,10815,10825,458998,0.18509949097639983
2024-09-25,10825,10825,10720,10760,327349,-0.6004618937644343
2024-09-26,10984,11049,10964,11034,439215,2.546468401486989
2024-09-27,11019,11019,10760,10830,338871,-1.8488308863512777
2024-09-30,10785,10785,10566,10620,344067,-1.9390581717451523
2024-10-02,10635,10875,10635,10740,363531,1.1299435028248588
2024-10-04,11029,11104,10949,11074,322021,3.1098696461824953
2024-10-07,11352,11517,11352,11517,326813,4.000361206429474
2024-10-08,11397,11462,11352,11457,275457,-0.5209690023443605
2024-10-10,11457,11572,11417,11572,291687,1.0037531640045387
2024-10-11,11512,11527,11467,11512,311002,-0.5184929139301764
2024-10-14,11572,11854,11572,11854,426151,2.970813064628214
