날짜,시가,고가,저가,종가,거래량,등락률
2023-03-21,9801,9801,9718,9796,2908,
2023-03-22,9796,9834,9767,9792,2304,-0.04083299305839118
2023-03-23,9648,9648,9486,9539,51149,-2.5837418300653594
2023-03-24,9516,9578,9496,9496,12168,-0.4507810042981445
2023-03-27,9530,9801,9530,9792,11640,3.1171019376579614
2023-03-28,9772,9810,9703,9718,11901,-0.755718954248366
2023-03-29,9718,9762,9673,9742,12756,0.2469643959662482
2023-03-30,9742,9810,9698,9708,13627,-0.34900431122972697
2023-03-31,9718,9825,9703,9825,12997,1.2051915945611866
2023-04-03,9987,10027,9935,10012,13858,1.9033078880407124
2023-04-04,10106,10167,10017,10157,13419,1.448262085497403
2023-04-05,10147,10172,10077,10130,11959,-0.2658265235797972
2023-04-06,10337,10361,10261,10361,28567,2.28035538005923
2023-04-07,10394,10399,10294,10375,23388,0.13512209246211757
2023-04-10,10352,10404,10275,10366,20403,-0.08674698795180723
2023-04-11,10347,10404,10337,10380,11557,0.13505691684352691
2023-04-12,10366,10452,10361,10366,14404,-0.1348747591522158
2023-04-13,10366,10437,10256,10375,13257,0.08682230368512445
2023-04-14,10380,10428,10285,10289,15258,-0.8289156626506025
2023-04-17,10289,10347,10275,10318,16679,0.28185440761978814
2023-04-18,10337,10432,10333,10375,12580,0.5524326419848808
2023-04-19,10370,10370,10256,10337,10687,-0.36626506024096384
2023-04-20,10409,10432,10294,10294,14206,-0.41598142594563225
2023-04-21,10303,10423,10303,10308,15054,0.13600155430347774
2023-04-24,10389,10537,10380,10517,14959,2.0275514163756303
2023-04-25,10517,10600,10512,10556,18690,0.3708281829419036
2023-04-26,10556,10586,10472,10556,23953,0.0
2023-04-27,10418,10428,10318,10352,16683,-1.9325502084122772
2023-04-28,10352,10428,10323,10394,16712,0.40571870170015456
2023-05-02,10624,10624,10477,10517,3183,1.183375024052338
2023-05-03,10356,10561,10356,10556,3158,0.3708281829419036
2023-05-04,10497,10497,10337,10389,3688,-1.5820386510041682
2023-05-08,10389,10389,10270,10285,10799,-1.001058812205217
2023-05-09,10361,10361,10261,10266,6023,-0.18473505104521148
2023-05-10,10318,10318,10231,10231,949,-0.34093122930060393
2023-05-11,10236,10285,10206,10246,1691,0.1466132342879484
2023-05-12,10246,10404,10246,10404,1782,1.5420651961741167
2023-05-15,10404,10409,10251,10409,2142,0.04805843906189927
2023-05-16,10394,10394,10206,10294,2207,-1.10481314247286
2023-05-17,10294,10294,10157,10157,3557,-1.3308723528268893
2023-05-18,10261,10266,10142,10167,3144,0.09845426799251747
2023-05-19,10236,10251,10137,10206,11097,0.3835939805252287
2023-05-22,10157,10177,10017,10157,2638,-0.48010973936899864
2023-05-23,10111,10111,10002,10082,3028,-0.7384070099438811
2023-05-24,10042,10042,9906,9906,5036,-1.7456853798849437
2023-05-25,9978,10007,9954,9997,215,0.9186351706036745
2023-05-26,9944,9944,9805,9820,3910,-1.7705311593478041
2023-05-30,10328,10328,9848,9916,1545,0.9775967413441956
2023-05-31,9820,9858,9708,9848,4238,-0.6857603872529245
