날짜,시가,고가,저가,종가,거래량,등락률
2019-01-02,18000,18000,17805,17805,5040,2.622478386167147
2019-01-03,18040,18245,18040,18170,3359,2.049985959000281
2019-01-04,17895,17895,17740,17810,1076,-1.981287837094111
2019-01-07,18400,18795,18400,18785,798,5.474452554744526
2019-01-08,20000,20000,19430,19730,10864,5.030609528879425
2019-01-09,19735,20000,19735,19975,1330,1.2417638114546377
2019-01-10,20050,20150,20025,20030,3991,0.2753441802252816
2019-01-11,20230,20525,20230,20365,1084,1.672491263105342
2019-01-14,20365,20545,20365,20450,652,0.41738276454701695
2019-01-15,20555,20555,19965,20045,1399,-1.980440097799511
2019-01-16,20555,20585,20465,20470,1806,2.120229483661761
2019-01-17,20460,20460,20335,20375,317,-0.46409379579872984
2019-01-18,20515,20630,20515,20540,176,0.8098159509202454
2019-01-21,20790,20910,20785,20855,981,1.5335929892891917
2019-01-22,20925,20925,20880,20900,365,0.2157755933828818
2019-01-23,20385,20385,20195,20270,1768,-3.014354066985646
2019-01-24,20315,20315,19950,20095,61,-0.8633448445979279
2019-01-25,20155,20230,20040,20040,157,-0.2736999253545658
2019-01-28,20310,20550,20310,20440,289,1.996007984031936
2019-01-29,20485,20485,19825,19925,762,-2.519569471624266
2019-01-30,19925,19985,19875,19875,532,-0.2509410288582183
2019-01-31,20320,20395,20320,20380,182,2.540880503144654
2019-02-01,20635,20820,20620,20740,3225,1.7664376840039255
2019-02-07,20930,21085,20930,20995,2154,1.2295081967213115
2019-02-08,20600,20600,20455,20540,391,-2.1671826625387
2019-02-11,20540,20735,20540,20700,448,0.7789678675754625
2019-02-12,20755,20855,20750,20800,224,0.4830917874396135
2019-02-13,21015,21145,21015,21140,403,1.6346153846153848
2019-02-14,21075,21145,21075,21145,202,0.023651844843897825
2019-02-15,21145,21250,21145,21250,754,0.4965712934499882
2019-02-18,21320,21615,21320,21615,671,1.7176470588235293
2019-02-19,21340,21780,21340,21655,1162,0.18505667360629194
2019-02-20,21435,21455,21285,21455,1326,-0.9235742322789194
2019-02-21,21365,21390,21300,21390,321,-0.3029596830575623
2019-02-22,21110,21110,20975,20975,361,-1.9401589527816736
2019-02-25,21300,21440,21300,21420,291,2.1215733015494638
2019-02-26,22210,22305,22140,22195,1601,3.6181139122315598
2019-02-27,22085,22120,22005,22110,123,-0.38296913719306147
2019-02-28,22150,22500,22150,22500,692,1.7639077340569878
2019-03-04,22625,23025,22625,22995,2957,2.1999999999999997
2019-03-05,23040,23040,22580,22580,3272,-1.8047401609045444
2019-03-06,22580,22645,22570,22645,1009,0.28786536758193093
2019-03-07,22505,22505,21755,21810,3312,-3.6873482004857587
2019-03-08,21810,21810,21750,21750,4875,-0.2751031636863824
2019-03-11,21790,21795,21695,21795,333,0.20689655172413793
2019-03-12,22315,22315,22280,22285,1920,2.2482220692819457
2019-03-13,22520,22600,22520,22575,256,1.3013237603769352
2019-03-14,22960,23110,22960,23090,2471,2.281284606866002
2019-03-15,23090,23090,22770,22940,573,-0.64963187527068
2019-03-18,23065,23065,22955,22975,137,0.15257192676547515
2019-03-19,22975,23000,22975,23000,273,0.1088139281828074
2019-03-20,23100,23100,22840,22950,263,-0.21739130434782608
2019-03-21,22645,22675,22605,22610,729,-1.4814814814814816
2019-03-22,22995,23090,22985,23015,1387,1.7912428129146396
2019-03-25,22210,22235,22180,22210,1937,-3.4977188789919613
2019-03-26,22375,22375,22170,22235,368,0.11256190904997748
2019-03-27,22500,22600,22500,22600,2042,1.6415561052394871
2019-03-28,22260,22260,22110,22200,1123,-1.7699115044247788
2019-03-29,22800,22805,22360,22360,3096,0.7207207207207207
2019-04-01,22530,22800,22530,22800,423,1.9677996422182469
2019-04-02,22830,22870,22750,22870,996,0.30701754385964913
2019-04-03,23050,23150,23050,23100,1220,1.0056843025797988
2019-04-04,23240,23335,23240,23335,770,1.0173160173160172
2019-04-05,23295,23295,23160,23260,292,-0.32140561388472255
2019-04-08,23505,23755,23505,23755,3110,2.128116938950989
2019-04-09,23750,23750,23600,23690,476,-0.27362660492527885
2019-04-10,23300,23300,23190,23220,1366,-1.9839594765723934
2019-04-11,23450,23500,23430,23495,466,1.1843238587424634
2019-04-12,23100,23100,23035,23050,1500,-1.8940200042562245
2019-04-15,22830,22830,22585,22715,2606,-1.4533622559652928
2019-04-16,22500,22560,22470,22555,663,-0.7043803653973145
2019-04-17,22440,22570,22440,22455,326,-0.4433606739082243
2019-04-18,21500,22300,21385,21550,7241,-4.030282787797818
2019-04-19,21580,21580,21385,21400,769,-0.6960556844547563
2019-04-22,21430,21550,21430,21525,292,0.5841121495327103
2019-04-23,21560,21560,21500,21525,1508,0.0
2019-04-24,21955,22290,21955,22290,2101,3.554006968641115
2019-04-25,22030,22030,22015,22030,965,-1.1664423508299686
2019-04-26,22150,22290,22140,22290,263,1.1802088061734
2019-04-29,22400,22555,22400,22555,1689,1.1888739344997756
2019-04-30,22410,22570,22285,22570,741,0.06650410108623366
2019-05-02,22700,22700,21530,21765,7161,-3.5666814355338943
2019-05-03,21955,22065,21885,22010,2409,1.1256604640477832
2019-05-07,22680,22795,22560,22560,6304,2.498864152657883
2019-05-08,22000,22085,22000,22035,888,-2.327127659574468
2019-05-09,22090,22090,21995,22065,648,0.13614703880190604
2019-05-10,22185,22185,22035,22140,120,0.3399048266485384
2019-05-13,22095,22150,22035,22035,1759,-0.47425474254742545
2019-05-14,21100,21295,21100,21295,1267,-3.3582936237803493
2019-05-15,21590,21790,21590,21730,596,2.0427330359239257
2019-05-16,21860,21880,21710,21710,219,-0.09203865623561897
2019-05-17,22075,22145,22075,22140,53,1.9806540764624598
2019-05-20,22000,22000,21940,21940,36,-0.9033423667570009
2019-05-21,21490,21505,21480,21495,1586,-2.0282588878760257
2019-05-22,21910,22145,21910,22145,70,3.0239590602465687
2019-05-23,21970,21970,21795,21930,408,-0.9708737864077669
2019-05-24,21725,21740,21540,21695,431,-1.0715914272685818
2019-05-27,21995,21995,21775,21905,99,0.9679649688868404
2019-05-28,21805,21930,21805,21930,261,0.11412919424788862
2019-05-29,21795,21860,21705,21860,164,-0.31919744642042863
2019-05-30,21600,21600,21560,21575,89,-1.303751143641354
2019-05-31,21500,21500,21490,21490,94,-0.3939745075318656
2019-06-03,21125,21125,20870,20950,1444,-2.5127966496044674
2019-06-04,21025,21225,21025,21090,197,0.6682577565632458
2019-06-05,21600,21800,21530,21700,328,2.892366050260787
2019-06-07,21400,21445,21250,21445,105,-1.1751152073732718
2019-06-10,21840,21900,21740,21900,254,2.1217066915364886
2019-06-11,21725,21725,21550,21640,672,-1.187214611872146
2019-06-12,21390,21425,21390,21420,153,-1.0166358595194085
2019-06-13,21660,21660,21610,21610,290,0.8870214752567693
2019-06-14,21735,21895,21735,21890,311,1.2956964368347987
2019-06-17,21480,21480,21400,21480,2277,-1.8730013704888075
2019-06-18,22215,22475,22215,22440,1876,4.4692737430167595
2019-06-19,22765,22790,22595,22740,906,1.3368983957219251
2019-06-20,22600,22620,22545,22595,2779,-0.6376429199648197
2019-06-21,22325,22540,22325,22410,124,-0.8187652135428192
2019-06-24,22540,22540,22340,22500,1995,0.4016064257028112
2019-06-25,21950,21950,21705,21755,814,-3.3111111111111113
2019-06-26,21755,21865,21755,21830,92,0.344748333716387
2019-06-27,21750,21750,21600,21680,2468,-0.6871278057718736
2019-06-28,22000,22095,22000,22005,391,1.4990774907749078
2019-07-01,22450,22630,22445,22615,469,2.7720972506248582
2019-07-02,22690,22730,22630,22670,6029,0.24320141499005082
2019-07-03,22670,22800,22670,22800,1257,0.5734450816056462
2019-07-04,22830,23045,22830,23045,2863,1.074561403508772
2019-07-05,23050,23050,22980,23045,57,0.0
2019-07-08,22850,22850,22635,22715,760,-1.431980906921241
2019-07-09,22530,22530,22430,22440,471,-1.2106537530266344
2019-07-10,22790,22790,22690,22690,4516,1.1140819964349375
2019-07-11,22860,22860,22490,22700,88,0.044072278536800354
2019-07-12,22490,22495,22480,22485,648,-0.9471365638766519
2019-07-15,22600,22600,22275,22405,1067,-0.355792750722704
2019-07-16,22640,22640,22460,22505,517,0.44632894443204646
2019-07-17,22360,22510,22360,22400,392,-0.46656298600311047
2019-07-18,22355,22480,22325,22480,466,0.35714285714285715
2019-07-19,22700,22750,22700,22700,167,0.9786476868327402
2019-07-22,22495,22495,22410,22485,234,-0.9471365638766519
2019-07-23,22570,22570,22355,22475,77,-0.044474093840338
2019-07-24,22440,22440,22270,22270,524,-0.9121245828698554
2019-07-25,22430,22460,22430,22460,1708,0.8531656937584194
2019-07-26,22205,22230,22180,22230,76,-1.0240427426536063
2019-07-29,22540,22540,22420,22420,42,0.8547008547008548
2019-07-30,22350,22360,22350,22355,153,-0.28991971454058874
2019-07-31,22580,22660,22580,22625,2197,1.2077834936255871
2019-08-01,22690,22690,22500,22500,64,-0.5524861878453038
2019-08-02,22255,22820,22240,22730,1412,1.0222222222222224
2019-08-05,22605,22710,22490,22545,470,-0.8139023317201936
2019-08-06,22120,22120,21720,21760,1529,-3.481925038811266
2019-08-07,22020,22325,22020,22310,1603,2.527573529411765
2019-08-08,22310,22310,22310,22310,133,0.0
2019-08-09,22510,22700,22510,22580,654,1.2102196324518153
2019-08-12,22830,22830,22730,22760,699,0.7971656333038087
2019-08-13,22445,22445,22290,22290,62,-2.0650263620386644
2019-08-14,22370,22485,22370,22410,496,0.5383580080753702
2019-08-16,21760,21765,21680,21700,687,-3.1682284694332887
2019-08-19,22100,22240,22065,22240,420,2.488479262672811
2019-08-20,22360,22370,22360,22370,60,0.5845323741007195
2019-08-21,22220,22220,22065,22100,35,-1.206973625391149
2019-08-22,22180,22395,22170,22375,104,1.244343891402715
2019-08-23,22065,22120,22035,22050,232,-1.452513966480447
2019-08-26,21570,21570,21425,21495,170,-2.517006802721088
2019-08-27,21545,21750,21530,21690,94,0.9071877180739707
2019-08-28,21400,21400,21365,21390,45,-1.3831258644536653
2019-08-29,21490,21700,21490,21700,41,1.4492753623188406
2019-08-30,22285,22285,21700,21935,571,1.0829493087557605
2019-09-02,22115,22115,21535,21720,452,-0.9801686801914749
2019-09-03,21570,21805,21570,21805,47,0.3913443830570903
2019-09-04,21305,21305,21200,21205,1050,-2.751662462737904
2019-09-05,21205,21205,21190,21205,818,0.0
2019-09-06,21495,21495,21270,21435,269,1.084649846734261
2019-09-09,21265,21265,21100,21105,466,-1.5395381385584324
2019-09-10,21145,21170,21135,21170,198,0.3079838900734423
2019-09-11,21525,21650,21525,21630,384,2.172886159659896
2019-09-16,21995,21995,21515,21515,321,-0.53166897827092
2019-09-17,21925,22025,21925,22020,1465,2.3471996281663956
2019-09-18,22100,22100,22005,22005,25,-0.06811989100817438
2019-09-19,22005,22040,21825,21825,55,-0.81799591002045
2019-09-20,21785,21970,21780,21780,56,-0.2061855670103093
2019-09-23,22120,22120,21795,22005,23,1.0330578512396695
2019-09-24,21780,21805,21650,21805,107,-0.9088843444671665
2019-09-25,21335,21345,21275,21275,2564,-2.430635175418482
2019-09-26,21270,21270,21215,21245,605,-0.1410105757931845
2019-09-27,20640,20715,20640,20695,1201,-2.588844433984467
2019-09-30,20555,20585,20480,20480,2123,-1.0388982846098092
2019-10-01,20505,20510,20475,20510,647,0.146484375
2019-10-02,20375,20375,20080,20180,1005,-1.6089712335446125
2019-10-04,20375,20500,20375,20495,96,1.5609514370664024
2019-10-07,20880,20880,20385,20560,377,0.31715052451817516
2019-10-08,20865,20865,20350,20460,294,-0.48638132295719844
2019-10-10,20300,20300,19945,20015,1032,-2.1749755620723366
2019-10-11,20015,20225,20010,20195,651,0.8993255058705971
2019-10-14,20415,20600,20180,20180,210,-0.07427581084426838
2019-10-15,20220,20410,20220,20405,149,1.1149653121902874
2019-10-16,20640,20835,20625,20700,1201,1.4457240872335213
2019-10-17,20700,20700,20610,20620,35,-0.3864734299516908
2019-10-18,20770,20795,20755,20795,731,0.848690591658584
2019-10-21,20440,20640,20440,20640,146,-0.7453714835296946
2019-10-22,20795,20900,20760,20760,1295,0.5813953488372093
2019-10-23,20925,21000,20905,20990,1778,1.1078998073217727
2019-10-24,21230,21230,20775,20845,31,-0.6908051453072892
2019-10-25,20770,20890,20770,20890,207,0.21587910769968818
2019-10-28,21050,21050,20995,21030,767,0.6701771182383915
2019-10-29,21245,21290,21245,21245,1449,1.0223490252020924
2019-10-30,21220,21225,21210,21210,92,-0.16474464579901155
2019-10-31,21310,21310,21045,21215,372,0.023573785950023574
2019-11-01,21215,21215,21045,21210,145,-0.023568230025925053
2019-11-04,21320,21715,21320,21500,1392,1.3672795851013673
2019-11-05,21500,21545,21245,21245,320,-1.186046511627907
2019-11-06,21270,21500,21270,21480,184,1.1061426217933632
2019-11-07,21150,21170,21150,21150,138,-1.536312849162011
2019-11-08,21275,21275,20920,20965,535,-0.8747044917257684
2019-11-11,21435,21605,21435,21605,4010,3.0527068924397804
2019-11-12,21605,21605,21440,21495,37,-0.5091414024531359
2019-11-13,21500,21650,21500,21640,236,0.6745754826703885
2019-11-14,21770,22000,21770,21825,321,0.8548983364140481
2019-11-15,21745,21745,21550,21710,74,-0.5269186712485682
2019-11-18,21450,21980,21450,21945,484,1.0824504836480886
2019-11-19,22120,22120,21890,21890,277,-0.2506265664160401
2019-11-20,22200,22535,22200,22500,3724,2.7866605756052993
2019-11-21,22590,22740,22590,22690,1312,0.8444444444444443
2019-11-22,22695,22940,22690,22910,186,0.9695901278096077
2019-11-25,22850,22850,22790,22795,386,-0.501964207769533
2019-11-26,23600,23740,23600,23725,2923,4.079842070629524
2019-11-27,23800,23875,23800,23865,367,0.5900948366701791
2019-11-28,24025,24445,24025,24195,1674,1.3827781269641735
2019-11-29,24205,24405,24205,24300,213,0.4339739615623063
2019-12-02,24110,24340,24110,24315,2063,0.06172839506172839
2019-12-03,24130,24130,24015,24065,1295,-1.0281719103434095
2019-12-04,24260,24680,24260,24680,1395,2.555578641180137
2019-12-05,24705,25040,24705,25000,1271,1.2965964343598055
2019-12-06,24150,24815,24150,24700,1490,-1.2
2019-12-09,24470,24890,24470,24850,116,0.6072874493927125
2019-12-10,24850,24850,24750,24750,91,-0.4024144869215292
2019-12-11,24960,25300,24960,25295,956,2.202020202020202
2019-12-12,25190,25190,24645,24815,1394,-1.8976082229689661
2019-12-13,24960,24980,24300,24870,350,0.2216401370139029
2019-12-16,24855,24855,24610,24785,407,-0.3417772416566144
2019-12-17,24700,25005,24700,24715,779,-0.2824288884405891
2019-12-18,24795,24795,24705,24760,265,0.1820756625531054
2019-12-19,25000,25000,24985,24985,65,0.908723747980614
2019-12-20,24955,24955,24900,24900,83,-0.3402041224734841
2019-12-23,24425,25025,24425,24920,782,0.08032128514056225
2019-12-24,25035,25180,25035,25150,589,0.9229534510433388
2019-12-26,24865,25225,24865,25180,591,0.11928429423459246
2019-12-27,25380,25380,25110,25110,506,-0.2779984114376489
2019-12-30,25110,25380,24550,24685,505,-1.692552767821585
2020-01-02,24480,24545,24105,24425,474,-1.0532712173384646
2020-01-03,24635,24635,24210,24255,472,-0.6960081883316274
2020-01-06,24255,24255,23830,23985,635,-1.1131725417439702
2020-01-07,24000,24195,24000,24085,523,0.4169272461955389
2020-01-08,24250,24500,24185,24230,444,0.6020344612829562
2020-01-09,24230,24625,24230,24565,712,1.382583574081717
2020-01-10,24565,24690,24500,24660,605,0.3867290860981071
2020-01-13,24255,24385,24255,24385,196,-1.1151662611516626
2020-01-14,23610,24085,23610,23700,3897,-2.8091039573508305
2020-01-15,24340,24425,24235,24345,3926,2.721518987341772
2020-01-16,24600,24600,24515,24570,541,0.9242144177449169
2020-01-17,24675,24985,24675,24985,388,1.6890516890516891
2020-01-20,25050,25075,24560,24735,423,-1.0006003602161295
2020-01-21,24475,24885,24475,24790,175,0.22235698403072568
2020-01-22,24575,24575,24475,24515,744,-1.1093182734973779
2020-01-23,24150,24480,24150,24370,322,-0.5914746073832348
2020-01-28,23775,23775,23315,23580,510,-3.2416906032006567
2020-01-29,23810,24050,23795,23820,1060,1.0178117048346056
2020-01-30,23885,24135,23885,24135,222,1.322418136020151
2020-01-31,23685,23910,23685,23910,110,-0.9322560596643878
2020-02-03,23905,23995,23905,23965,169,0.2300292764533668
2020-02-04,24535,24535,24010,24070,568,0.4381389526392656
2020-02-05,24560,24660,24545,24650,1605,2.4096385542168677
2020-02-06,25200,25230,25095,25145,931,2.0081135902636915
2020-02-07,25195,25300,25195,25300,457,0.6164247365281368
2020-02-10,25280,25280,25025,25100,555,-0.7905138339920948
2020-02-11,25300,25555,25300,25450,1517,1.394422310756972
2020-02-12,25760,25760,25270,25370,661,-0.3143418467583497
2020-02-13,25560,25750,25560,25715,1335,1.3598738667717778
2020-02-14,25645,25645,25275,25505,733,-0.816643982111608
2020-02-17,25480,25490,25300,25300,152,-0.8037639678494413
2020-02-18,25295,25465,25295,25425,905,0.4940711462450593
2020-02-19,25820,25840,25575,25820,859,1.5535889872173059
