날짜,시가,고가,저가,종가,거래량,등락률
2020-05-13,8345,8345,8182,8215,6191,
2020-05-14,8017,8017,7996,8017,1221,-2.410225197808886
2020-05-15,8020,8057,8020,8057,262,0.49893975302482224
2020-05-18,8024,8024,7983,8024,903,-0.4095817301725208
2020-05-19,8440,8496,8440,8496,16744,5.88235294117647
2020-05-20,8387,8387,8345,8373,2909,-1.4477401129943503
2020-05-21,8428,8468,8428,8468,439,1.134599307297265
2020-05-22,8453,8453,8422,8431,1199,-0.4369390647142183
2020-05-25,8643,8643,8564,8582,1687,1.7910093701814729
2020-05-26,8587,8587,8548,8577,4852,-0.058261477511069686
2020-05-27,8772,8892,8772,8892,2525,3.6726128016789086
2020-05-28,9088,9088,9010,9056,8173,1.8443544759334234
2020-05-29,9088,9102,9070,9102,4321,0.5079505300353356
2020-06-01,9052,9052,8971,9030,21184,-0.7910349373764008
2020-06-02,9253,9253,9180,9223,5943,2.137320044296789
2020-06-03,9334,9334,9240,9262,3642,0.4228559037189635
2020-06-04,9576,9579,9513,9571,17912,3.336212481105593
2020-06-05,9566,9566,9476,9486,10293,-0.8880994671403196
2020-06-08,9522,9807,9522,9807,5778,3.3839342188488297
2020-06-09,10375,10375,10053,10061,14727,2.589986744162333
2020-06-10,9894,9894,9840,9894,4456,-1.6598747639399662
2020-06-11,9640,9640,9584,9584,8372,-3.13321204770568
2020-06-12,9093,9097,8925,9034,4549,-5.73873121869783
2020-06-15,9364,9395,9166,9304,18114,2.988709320345362
2020-06-16,9403,9576,9403,9576,6710,2.9234737747205504
2020-06-17,9611,9692,9576,9683,8788,1.117376775271512
2020-06-18,9522,9522,9444,9522,1944,-1.66270783847981
2020-06-19,9356,9413,9356,9413,18707,-1.1447174963243016
2020-06-22,9248,9321,9243,9321,2784,-0.977371719961755
2020-06-23,9313,9313,9235,9308,1954,-0.1394700139470014
2020-06-24,9277,9277,9195,9218,590,-0.9669101847872797
2020-06-25,9020,9020,8982,9020,483,-2.1479713603818613
2020-06-26,9137,9137,9060,9137,673,1.2971175166297118
2020-06-29,8986,8986,8857,8930,1942,-2.2655138448068293
2020-06-30,8999,9075,8999,9075,440,1.6237402015677491
2020-07-01,9204,9204,9134,9134,1155,0.650137741046832
2020-07-02,9413,9416,9338,9416,5870,3.087365885701774
2020-07-03,9431,9431,9299,9374,1167,-0.4460492778249787
2020-07-06,9374,9374,9360,9374,3091,0.0
2020-07-07,9374,9374,9313,9313,228,-0.6507360785150417
2020-07-08,9195,9195,9134,9141,384,-1.8468807043917106
2020-07-09,9141,9141,9120,9137,161,-0.04375888852423148
2020-07-10,9137,9137,9060,9065,6527,-0.788004815584984
2020-07-13,9088,9097,9083,9088,3424,0.25372311086596805
2020-07-14,9097,9097,8974,9048,877,-0.44014084507042256
2020-07-15,9048,9124,9048,9120,5443,0.7957559681697612
2020-07-16,9149,9213,9149,9161,928,0.44956140350877194
2020-07-17,9034,9116,9034,9116,10921,-0.49121274969981443
2020-07-20,9166,9232,9166,9176,1169,0.6581834137779727
2020-07-21,9129,9129,9124,9129,1786,-0.512205754141238
2020-07-22,9034,9145,9034,9134,445,0.05477051155657794
2020-07-23,9286,9286,9183,9262,3035,1.4013575651412307
2020-07-24,9218,9228,9141,9141,1780,-1.3064133016627077
2020-07-27,9075,9166,9075,9166,1768,0.2734930532764468
2020-07-28,9191,9240,9176,9176,875,0.10909884355225835
2020-07-29,9459,9459,9342,9416,2722,2.6155187445510024
2020-07-30,9551,9653,9551,9653,5043,2.5169923534409517
2020-07-31,9648,9648,9486,9584,2767,-0.7148036879726509
2020-08-03,9584,9584,9473,9579,4747,-0.052170283806343906
2020-08-04,9449,9449,9351,9351,2216,-2.380206702160977
2020-08-05,9571,9571,9473,9476,558,1.3367554272270346
2020-08-06,9481,9481,9435,9464,620,-0.1266357112705783
2020-08-07,9531,9531,9435,9444,1125,-0.2113271344040575
2020-08-10,9579,9658,9571,9571,3778,1.3447691656077934
2020-08-11,9670,9675,9584,9675,4902,1.086615818618744
2020-08-12,9579,9579,9440,9531,1603,-1.4883720930232558
2020-08-13,9546,9632,9541,9619,3475,0.9233029063057391
2020-08-14,9566,9566,9420,9435,2491,-1.9128807568354298
2020-08-18,9481,9579,9481,9571,4327,1.4414414414414414
2020-08-19,9476,9536,9473,9473,635,-1.0239264444676626
2020-08-20,9369,9369,9299,9334,951,-1.4673281959252613
2020-08-21,9420,9464,9403,9408,1426,0.7928005142489822
2020-08-24,9459,9459,9400,9420,356,0.12755102040816327
2020-08-25,9449,9546,9449,9504,891,0.89171974522293
2020-08-26,9531,9566,9504,9556,7734,0.5471380471380471
2020-08-27,9556,9556,9420,9420,8689,-1.4231896190874842
2020-08-28,9588,9588,9561,9566,2621,1.5498938428874736
2020-08-31,9579,9683,9579,9619,6009,0.5540455780890655
2020-09-01,9551,9588,9500,9522,4465,-1.0084208337665037
2020-09-02,9526,9584,9522,9531,1941,0.0945179584120983
