날짜,시가,고가,저가,종가,거래량,등락률
2019-01-02,5368,5368,5243,5278,41679,-1.2165450121654502
2019-01-03,5295,5295,5249,5266,51392,-0.22735884804850323
2019-01-04,5291,5291,5222,5229,45556,-0.7026205848841626
2019-01-07,5243,5268,5141,5152,87220,-1.4725568942436411
2019-01-08,5155,5163,5104,5163,54650,0.21350931677018634
2019-01-09,5170,5225,5166,5208,158227,0.8715862870424171
2019-01-10,5214,5218,5145,5174,114200,-0.65284178187404
2019-01-11,5174,5194,5145,5160,122632,-0.27058368766911484
2019-01-14,5174,5189,5094,5129,59473,-0.6007751937984496
2019-01-15,5138,5266,5138,5266,248836,2.6710859816728405
2019-01-16,5268,5351,5268,5351,166346,1.6141283706798328
2019-01-17,5362,5388,5327,5384,132677,0.6167071575406466
2019-01-18,5364,5368,5330,5351,84692,-0.6129271916790491
2019-01-21,5354,5354,5301,5322,34949,-0.541954774808447
2019-01-22,5310,5316,5278,5281,81076,-0.7703870725291243
2019-01-23,5291,5295,5258,5278,70510,-0.05680742283658398
2019-01-24,5314,5362,5305,5358,239271,1.515725653656688
2019-01-25,5348,5388,5327,5385,31413,0.503919372900336
2019-01-28,5401,5401,5362,5385,105516,0.0
2019-01-29,5385,5403,5354,5403,137088,0.3342618384401114
2019-01-30,5415,5423,5358,5423,57708,0.37016472330186934
2019-01-31,5461,5567,5457,5514,267929,1.6780379863544166
2019-02-01,5530,5635,5530,5575,100910,1.1062749365252085
2019-02-07,5575,5608,5518,5589,213626,0.25112107623318386
2019-02-08,5551,5608,5551,5582,226847,-0.12524601896582574
2019-02-11,5539,5539,5491,5521,247560,-1.092798280186313
2019-02-12,5512,5512,5428,5446,78237,-1.3584495562398116
2019-02-13,5461,5539,5449,5539,51511,1.7076753580609623
2019-02-14,5537,5596,5501,5596,228069,1.0290666185231991
2019-02-15,5582,5582,5526,5555,20006,-0.7326661901358114
2019-02-18,5561,5575,5551,5575,126002,0.36003600360036003
2019-02-19,5551,5551,5505,5505,101084,-1.2556053811659191
2019-02-20,5493,5505,5453,5496,114847,-0.16348773841961853
2019-02-21,5479,5491,5464,5474,85840,-0.4002911208151383
2019-02-22,5474,5474,5426,5461,105448,-0.23748629886737302
2019-02-25,5461,5505,5457,5501,89291,0.7324665812122322
2019-02-26,5474,5474,5406,5426,132063,-1.3633884748227596
