날짜,시가,고가,저가,종가,거래량,등락률
2024-08-13,9923,9932,9863,9873,188079,
2024-08-14,9873,9893,9844,9844,98171,-0.2937303757723083
2024-08-16,9784,9784,9700,9700,140856,-1.462819991873222
2024-08-19,9710,9760,9641,9760,136661,0.6185567010309279
2024-08-20,9690,9700,9646,9651,126204,-1.1168032786885247
2024-08-21,9715,9760,9715,9745,112213,0.9739923324007875
2024-08-22,9760,9799,9755,9779,120643,0.34889687018984095
2024-08-23,9765,9804,9760,9779,117615,0.0
2024-08-26,9853,9853,9774,9814,114158,0.35790980672870437
2024-08-27,9789,9789,9769,9779,111812,-0.3566333808844508
2024-08-28,9824,9858,9814,9858,123339,0.8078535637590756
2024-08-29,9858,9858,9804,9804,130588,-0.5477784540474742
2024-08-30,9809,9814,9799,9799,90185,-0.050999592003263976
2024-09-02,9755,9774,9715,9740,123482,-0.6021022553321768
2024-09-03,9700,9769,9685,9760,115699,0.20533880903490762
2024-09-04,9878,9878,9809,9839,116061,0.8094262295081968
2024-09-05,9898,9927,9863,9927,158057,0.8943998373818478
2024-09-06,9898,9932,9873,9913,109177,-0.14102951546287903
2024-09-09,9987,9992,9967,9972,142534,0.5951780490265308
2024-09-10,9987,9992,9967,9982,126464,0.10028078620136383
2024-09-11,9997,10110,9997,10081,30214,0.9917852133840913
2024-09-12,9942,10016,9942,9977,28387,-1.0316436861422478
2024-09-13,10016,10071,10016,10051,38045,0.741705923624336
2024-09-19,9868,9913,9858,9893,50085,-1.571982887274898
2024-09-20,9893,9962,9893,9947,23625,0.5458404932780754
2024-09-23,9893,9893,9829,9863,26845,-0.844475721323012
2024-09-24,9863,9893,9844,9848,16034,-0.15208354456047857
2024-09-25,9848,9883,9844,9858,13366,0.10154346060113728
2024-09-26,9799,9809,9745,9760,16744,-0.9941164536417123
2024-09-27,9666,9760,9602,9760,19879,0.0
2024-09-30,9760,9799,9740,9799,14009,0.3995901639344262
2024-10-02,9779,9794,9740,9760,10253,-0.3979997958975406
2024-10-04,9710,9710,9641,9710,13540,-0.5122950819672131
2024-10-07,9661,9671,9616,9656,45026,-0.5561277033985581
2024-10-08,9666,9730,9666,9700,15059,0.4556752278376139
2024-10-10,9631,9631,9602,9631,6752,-0.711340206185567
2024-10-11,9661,9671,9626,9646,51724,0.15574706676357594
2024-10-14,9646,9685,9626,9666,56588,0.20733982998133943
2024-10-15,9666,9690,9641,9681,67223,0.15518311607697083
2024-10-16,9745,9745,9695,9695,28366,0.14461315979754158
2024-10-17,9695,9745,9695,9730,88292,0.36101083032490977
2024-10-18,9720,9735,9715,9725,12075,-0.051387461459403906
2024-10-21,9725,9784,9720,9779,47434,0.5552699228791774
2024-10-22,9779,9779,9710,9730,53971,-0.5010737294201861
2024-10-23,9765,9765,9641,9661,48701,-0.7091469681397738
2024-10-24,9661,9661,9611,9641,23439,-0.20701790704895973
2024-10-25,9651,9745,9651,9720,22729,0.8194170729177471
2024-10-28,9700,9700,9582,9611,38932,-1.1213991769547325
2024-10-29,9616,9626,9587,9626,100820,0.1560711684528145
2024-10-30,9602,9606,9587,9592,10583,-0.35321005609806777
2024-10-31,9577,9597,9542,9597,6244,0.05212677231025855
2024-11-01,9631,9636,9616,9626,22396,0.30217776388454726
2024-11-04,9606,9616,9587,9597,11073,-0.30126740078952835
2024-11-05,9606,9636,9606,9621,6401,0.25007814942169426
2024-11-06,9656,9666,9626,9636,17988,0.1559089491736826
2024-11-07,9636,9651,9611,9631,14321,-0.051888750518887514
2024-11-08,9631,9656,9602,9641,57270,0.10383137784238396
2024-11-11,9690,9695,9651,9661,12688,0.20744736023234106
2024-11-12,9676,9710,9676,9710,36238,0.5071938722699514
2024-11-13,9636,9690,9636,9646,10863,-0.659114315139032
2024-11-14,9636,9636,9542,9602,88829,-0.4561476259589467
2024-11-15,9602,9602,9503,9518,43780,-0.8748177463028535
2024-11-18,9597,9606,9532,9597,71019,0.8300063038453457
2024-11-19,9587,9606,9567,9567,10683,-0.31259768677711786
2024-11-20,9557,9562,9518,9518,26092,-0.5121772760530992
2024-11-21,9577,9606,9567,9597,26870,0.8300063038453457
2024-11-22,9626,9666,9616,9621,6888,0.25007814942169426
2024-11-25,9621,9656,9621,9636,12070,0.1559089491736826
2024-11-26,9676,9700,9646,9656,57875,0.20755500207555005
2024-11-27,9695,9760,9690,9755,25156,1.0252692626346311
2024-11-28,9769,9799,9760,9784,15961,0.2972834443874936
2024-11-29,9804,9898,9804,9878,73434,0.9607522485690924
2024-12-02,9918,9952,9888,9908,54603,0.3037052034824863
2024-12-03,9972,9972,9923,9932,30499,0.24222850222042794
2024-12-04,9967,10056,9967,10002,70082,0.7047925896093435
2024-12-05,10002,10041,9967,10041,53975,0.3899220155968806
2024-12-06,10041,10105,10007,10066,90910,0.24897918534010557
2024-12-09,10155,10189,10115,10160,151504,0.9338366779256905
2024-12-10,10090,10090,10002,10031,107688,-1.2696850393700787
2024-12-11,10041,10046,10007,10031,13573,0.0
2024-12-12,9967,10016,9952,9952,19690,-0.7875585684378427
2024-12-13,9967,9977,9937,9947,59733,-0.050241157556270094
2024-12-16,9982,9982,9888,9918,15484,-0.2915451895043732
2024-12-17,9918,9918,9888,9913,16780,-0.0504133897963299
2024-12-18,9913,9947,9913,9942,5675,0.29254514274185417
2024-12-19,9942,9977,9903,9932,70616,-0.10058338362502514
2024-12-20,9814,9834,9765,9834,88629,-0.986709625453081
2024-12-23,9834,9858,9814,9853,8182,0.19320724018710597
2024-12-24,9853,9858,9804,9858,82358,0.050745965695727195
2024-12-26,9863,9893,9848,9893,12710,0.35504159058632584
2024-12-27,9918,10016,9873,9878,59251,-0.15162235924390982
2024-12-30,9908,9927,9878,9927,73126,0.4960518323547277
2025-01-02,9992,9992,9893,9937,49929,0.10073536818777072
2025-01-03,9937,9937,9883,9903,39736,-0.3421555801549763
