날짜,시가,고가,저가,종가,거래량,등락률
2019-01-02,100156,100164,100146,100156,406212,0.009985421284924011
2019-01-03,100179,100179,100169,100169,379669,0.012979751587523463
2019-01-04,100174,100179,100174,100179,432,0.009983128512813345
2019-01-07,100189,100194,100184,100184,132131,0.0049910659918745446
2019-01-08,100194,100199,100189,100189,44735,0.004990816896909687
2019-01-09,100204,100204,100194,100204,147672,0.014971703480422004
2019-01-10,100218,100223,100213,100218,23,0.013971498143786676
2019-01-11,100223,100223,100213,100223,45,0.004989123710311521
2019-01-14,100228,100228,100213,100228,139643,0.004988874809175539
2019-01-15,100233,100233,100223,100233,24737,0.00498862593287305
2019-01-16,100237,100237,100228,100237,67047,0.00399070166512027
2019-01-17,100242,100252,100242,100242,348836,0.00498817801809711
2019-01-18,100247,100257,100242,100257,95198,0.014963787633925899
2019-01-21,100247,100257,100247,100247,71791,-0.009974365879689199
2019-01-22,100252,100261,100247,100247,50884,0.0
2019-01-23,100261,100266,100252,100252,60687,0.004987680429339531
2019-01-24,100276,100276,100261,100261,317778,0.008977377009934964
2019-01-25,100281,100281,100271,100271,107177,0.009973967943667028
2019-01-28,100271,100281,100271,100271,78886,0.0
2019-01-29,100286,100286,100266,100276,70880,0.004986486621256395
2019-01-30,100281,100281,100271,100281,53845,0.004986237983166461
2019-01-31,100281,100315,100281,100310,379757,0.02891873834524985
2019-02-01,100306,100315,100306,100310,28011,0.0
2019-02-07,100324,100329,100319,100324,796,0.013956734124214934
2019-02-08,100329,100339,100324,100334,91960,0.009967704636976197
2019-02-11,100334,100344,100334,100334,196803,0.0
2019-02-12,100349,100349,100329,100339,30647,0.004983355592321646
2019-02-13,100344,100354,100339,100344,208478,0.004983107266367016
2019-02-14,100358,100363,100354,100354,2129,0.0099657179303197
2019-02-15,100363,100368,100358,100363,35080,0.008968252386551606
2019-02-18,100368,100373,100368,100373,284,0.009963831292408557
2019-02-19,100378,100378,100368,100368,67299,-0.004981419305988662
2019-02-20,100373,100383,100373,100378,75561,0.009963334927466922
2019-02-21,100388,100397,100373,100383,35567,0.004981171172966188
2019-02-22,100397,100397,100388,100397,22865,0.013946584581054562
2019-02-25,100401,100401,100388,100393,189902,-0.0039841827943066024
2019-02-26,100401,100401,100401,100401,13,0.007968683075513232
2019-02-27,100416,100421,100416,100416,2430,0.014940090238145038
2019-02-28,100426,100426,100416,100416,133511,0.0
2019-03-04,100426,100436,100416,100421,359132,0.0049792861695347355
2019-03-05,100446,100446,100431,100441,6635,0.019916152995887313
2019-03-06,100446,100446,100436,100446,21139,0.004978046813552234
2019-03-07,100455,100460,100450,100450,99943,0.003982239213109531
2019-03-08,100465,100465,100455,100465,177606,0.014932802389248384
2019-03-11,100479,100479,100460,100470,481684,0.004976857612103718
2019-03-12,100436,100474,100436,100474,218,0.003981287946650741
2019-03-13,100470,100479,100470,100470,80737,-0.003981129446423951
