날짜,시가,고가,저가,종가,거래량,등락률
2023-05-09,49318,49323,49313,49318,34271,
2023-05-10,49328,49328,49323,49328,48750,0.020276572448193357
2023-05-11,49338,49343,49338,49343,51837,0.030408692831657477
2023-05-12,49348,49348,49343,49348,44268,0.010133149585554183
2023-05-15,49353,49353,49343,49348,60521,0.0
2023-05-16,49353,49353,49348,49353,46655,0.010132122882386317
2023-05-17,49358,49358,49353,49358,70381,0.010131096387251027
2023-05-18,49373,49373,49368,49373,59237,0.030390210300255276
2023-05-19,49378,49378,49373,49378,58478,0.010126992485771575
2023-05-22,49382,49382,49378,49382,59379,0.00810077362388108
2023-05-23,49387,49387,49382,49387,56566,0.010125146814628812
2023-05-24,49397,49397,49387,49392,55280,0.010124121732439711
2023-05-25,49412,49412,49407,49412,58440,0.04049238743116294
2023-05-26,49422,49422,49412,49417,90999,0.010118999433336032
2023-05-30,49422,49422,49412,49417,96609,0.0
2023-05-31,49427,49432,49422,49427,79121,0.02023595119088573
2023-06-01,49442,49447,49437,49442,73560,0.03034778562324236
2023-06-02,49456,49456,49452,49456,40618,0.028316006634035842
2023-06-05,49456,49456,49452,49456,34310,0.0
2023-06-07,49466,49466,49461,49461,36141,0.010109996764801035
2023-06-08,49481,49481,49476,49476,40911,0.03032692424334324
2023-06-09,49486,49486,49481,49486,40267,0.020211819872261297
2023-06-12,49491,49491,49486,49491,8984,0.01010386776057875
2023-06-13,49496,49501,49496,49496,33390,0.010102846982279605
2023-06-14,49501,49506,49501,49506,10723,0.020203652820429935
2023-06-15,49521,49521,49516,49521,8066,0.030299357653617746
2023-06-16,49521,49525,49511,49525,36528,0.008077381312978332
2023-06-19,49530,49530,49525,49530,12584,0.010095911155981827
2023-06-20,49530,49535,49530,49530,16047,0.0
2023-06-21,49535,49540,49535,49540,6882,0.02018978396931153
2023-06-22,49550,49555,49550,49550,4201,0.020185708518368994
2023-06-23,49560,49565,49560,49565,5817,0.030272452068617558
2023-06-26,49570,49570,49565,49570,11430,0.010087763542822556
2023-06-27,49575,49575,49570,49575,8379,0.010086746015735325
2023-06-28,49580,49580,49575,49580,47783,0.010085728693898134
2023-06-29,49590,49594,49585,49590,61055,0.02016942315449778
2023-06-30,49599,49599,49594,49599,15594,0.018148820326678763
2023-07-03,49599,49604,49599,49604,15135,0.010080848404201698
2023-07-04,49609,49614,49609,49614,5454,0.020159664543182
2023-07-05,49614,49619,49614,49619,18938,0.010077800620792518
2023-07-06,49634,49639,49629,49634,410412,0.030230355307442714
2023-07-07,49634,49639,49634,49639,11574,0.010073739775154128
2023-07-10,49644,49644,49639,49644,10081,0.010072725075041802
2023-07-11,49649,49654,49649,49649,54038,0.010071710579324792
2023-07-12,49659,49664,49654,49664,9105,0.03021208886382404
2023-07-13,49668,49678,49668,49678,18423,0.02818943298969072
2023-07-14,49678,49688,49673,49683,13436,0.010064817424211924
2023-07-17,49683,49688,49678,49688,9161,0.01006380452066099
2023-07-18,49693,49693,49688,49693,11012,0.010062791820962808
2023-07-19,49693,49713,49693,49713,67355,0.040247117300223366
2023-07-20,49713,50112,49713,49723,85781,0.020115462756220708
2023-07-21,49718,49723,49718,49723,23731,0.0
2023-07-24,49723,49728,49718,49723,14126,0.0
2023-07-25,49728,49733,49728,49733,21780,0.02011141725157372
2023-07-26,49737,49737,49728,49733,30588,0.0
2023-07-27,49747,49757,49747,49757,7956,0.04825769609715883
2023-07-28,49752,49762,49752,49762,13051,0.01004883734951866
2023-07-31,49762,49787,49757,49767,41621,0.010047827659659982
2023-08-01,49772,49777,49762,49777,16213,0.020093636345369422
2023-08-02,49777,49782,49772,49782,10123,0.010044799807139843
2023-08-03,49787,49807,49782,49802,38356,0.040175163713792136
2023-08-04,49802,49802,49787,49802,19930,0.0
2023-08-07,49807,49811,49802,49807,9010,0.010039757439460261
2023-08-08,49807,49811,49802,49811,21176,0.008030999658682514
2023-08-09,49816,49821,49811,49811,222540,0.0
2023-08-10,49826,49836,49826,49836,13066,0.050189717130754256
2023-08-11,49841,49851,49836,49846,75461,0.02006581587607352
2023-08-14,49851,49851,49846,49846,7348,0.0
2023-08-16,49851,49861,49851,49861,25249,0.030092685471251455
2023-08-17,49871,49876,49866,49876,29452,0.030083632498345402
2023-08-18,49880,49885,49876,49876,36790,0.0
2023-08-21,49880,49885,49876,49885,36265,0.018044750982436443
2023-08-22,49890,49895,49885,49895,17293,0.020046106043900974
2023-08-23,49895,49900,49890,49895,7872,0.0
2023-08-24,49915,49915,49905,49910,54299,0.030063132578414673
2023-08-25,49915,49925,49915,49925,13412,0.030054097375275493
2023-08-28,49920,49925,49920,49925,43456,0.0
2023-08-29,49925,49930,49920,49925,19100,0.0
2023-08-30,49930,49940,49930,49940,510758,0.030045067601402103
2023-08-31,49954,49954,49935,49954,17978,0.02803364036844213
2023-09-01,49959,49964,49954,49959,51756,0.01000920847179405
2023-09-04,49964,49964,49959,49964,9379,0.010008206729518205
2023-09-05,49964,49974,49964,49969,22213,0.01000720518773517
2023-09-06,49969,49979,49969,49979,19388,0.020012407692769518
2023-09-07,49994,49994,49984,49994,65189,0.030012605294223574
2023-09-08,49999,49999,49994,49999,22109,0.01000120014401728
2023-09-11,49999,50004,49999,50004,23303,0.010000200004000079
2023-09-12,50009,50014,50004,50014,11432,0.01999840012798976
2023-09-13,50014,50019,50009,50009,37890,-0.00999720078378054
2023-09-14,50028,50033,50023,50033,88702,0.04799136155492011
2023-09-15,50033,50038,50028,50033,8577,0.0
2023-09-18,50038,50043,50038,50043,11107,0.019986808706253873
2023-09-19,50048,50053,50043,50043,17620,0.0
2023-09-20,50048,50058,50048,50048,20611,0.009991407389644906
2023-09-21,50068,50073,50063,50073,22080,0.04995204603580563
2023-09-22,50078,50078,50073,50073,20040,0.0
2023-09-25,50078,50083,50073,50083,34017,0.019970842569848022
