날짜,시가,고가,저가,종가,거래량,등락률
2023-06-27,9233,9283,9163,9163,133879,
2023-06-28,9283,9333,9206,9333,91552,1.855287569573284
2023-06-29,9333,9350,9251,9328,150618,-0.05357334190506804
2023-06-30,9403,9523,9403,9465,155810,1.468696397941681
2023-07-03,9574,9574,9435,9488,167343,0.24300052826201796
2023-07-04,9493,9493,9383,9431,200215,-0.6007588532883642
2023-07-05,9465,9465,9365,9403,201375,-0.2968932244724844
2023-07-06,9465,9465,9319,9337,169256,-0.7019036477719877
2023-07-07,9337,9337,9242,9292,213834,-0.48195351826068333
2023-07-10,9251,9251,9211,9220,200822,-0.7748600947051227
2023-07-11,9220,9269,9163,9201,218887,-0.20607375271149675
2023-07-12,9274,9274,9220,9228,200029,0.293446364525595
2023-07-13,9220,9237,9196,9228,184102,0.0
2023-07-14,9264,9264,9130,9158,167114,-0.7585609016038145
2023-07-17,9211,9211,9108,9134,173955,-0.262065953264905
2023-07-18,9163,9163,9073,9103,159530,-0.3393912853076418
2023-07-19,9130,9196,9094,9196,112451,1.021641217181149
2023-07-20,9181,9261,9181,9242,177108,0.5002174858634189
2023-07-21,9319,9412,9297,9398,195051,1.6879463319627788
2023-07-24,9408,9450,9398,9435,165061,0.39370078740157477
2023-07-25,9220,9455,9220,9388,320473,-0.4981452040275569
2023-07-26,9393,9426,9375,9398,213962,0.10651896037494674
2023-07-27,9440,9496,9375,9493,233870,1.0108533730580975
2023-07-28,9514,9514,9445,9474,311672,-0.2001474770883809
2023-07-31,9478,9488,9426,9455,73583,-0.20054887059320242
2023-08-01,9455,9510,9445,9510,140086,0.5817028027498677
2023-08-02,9510,9538,9474,9529,124149,0.19978969505783387
2023-08-03,9529,9638,9519,9587,136103,0.6086682757896946
2023-08-04,9748,9748,9575,9680,146248,0.9700636278293522
2023-08-07,9685,9685,9568,9615,130861,-0.6714876033057852
2023-08-08,9615,9704,9615,9695,103016,0.8320332813312533
2023-08-09,9731,9731,9643,9671,7541,-0.2475502836513667
2023-08-10,9676,9713,9676,9700,103465,0.2998655774997415
2023-08-11,9990,9990,9661,9695,104999,-0.051546391752577324
2023-08-14,9748,9769,9713,9731,125013,0.37132542547705005
2023-08-16,9794,9794,9656,9656,41330,-0.770732709896208
2023-08-17,10151,10151,9615,9656,107294,0.0
2023-08-18,9676,9676,9543,9575,41163,-0.8388566694283348
2023-08-21,9583,9610,9571,9595,3863,0.20887728459530025
2023-08-22,9605,9605,9469,9483,13943,-1.167274622199062
2023-08-23,9563,9563,9483,9534,10155,0.5378044922492882
2023-08-24,9643,9643,9450,9469,7600,-0.6817705055590517
2023-08-25,9558,9558,9365,9365,18457,-1.09832083641356
2023-08-28,9643,9643,9398,9440,3980,0.800854244527496
2023-08-29,9460,9510,9431,9507,11421,0.7097457627118644
2023-08-30,9530,9572,9530,9568,9971,0.6416324813295466
2023-08-31,9584,9584,9544,9576,14426,0.08361204013377926
2023-09-01,9576,9576,9497,9507,9750,-0.7205513784461153
2023-09-04,9732,9732,9483,9497,9747,-0.10518565267697486
2023-09-05,9511,9568,9507,9568,4758,0.747604506686322
2023-09-06,9455,9455,9393,9408,21537,-1.6722408026755853
2023-09-07,9393,9416,9370,9383,16768,-0.2657312925170068
2023-09-08,9383,9388,9340,9375,4691,-0.0852605776404135
2023-09-11,9375,9375,9340,9365,4370,-0.10666666666666667
2023-09-12,9620,9620,9314,9350,17889,-0.16017084890549918
2023-09-13,9328,9328,9288,9310,7179,-0.42780748663101603
2023-09-14,9328,9328,9292,9305,5951,-0.05370569280343716
2023-09-15,9360,9445,9360,9431,10156,1.354110693175712
2023-09-18,9297,9460,9297,9340,3100,-0.9649029795355741
2023-09-19,9379,9379,9264,9292,2911,-0.5139186295503212
2023-09-20,9572,9572,9274,9292,2516,0.0
2023-09-21,9292,9328,9292,9323,6075,0.3336203185535945
2023-09-22,9319,9319,9211,9233,8551,-0.9653544996245843
2023-09-25,9388,9388,9116,9168,10720,-0.7039965341709087
2023-09-26,9187,9217,9143,9192,4330,0.2617801047120419
2023-09-27,9172,9172,9130,9153,5827,-0.4242819843342037
2023-10-04,9153,9409,8903,8942,10123,-2.3052551076149896
2023-10-05,8985,9010,8917,8942,4134,0.0
2023-10-06,9000,9000,8863,8899,3848,-0.48087676135092816
2023-10-10,8899,9033,8899,9015,4402,1.3035172491291156
2023-10-11,9015,9038,8995,9015,3112,0.0
2023-10-12,9101,9101,9029,9066,3099,0.5657237936772047
2023-10-13,9066,9066,8938,8967,5392,-1.0919920582395766
2023-10-16,8967,9020,8962,9020,2637,0.5910560945689751
2023-10-17,9057,9075,9029,9062,5669,0.46563192904656325
2023-10-18,9079,9111,9075,9083,3214,0.23173692341646435
2023-10-19,9010,9025,8972,9010,6391,-0.8036992183199384
2023-10-20,9262,9262,8829,8829,7364,-2.0088790233074363
2023-10-23,8834,8849,8791,8849,3235,0.22652622041001244
2023-10-24,9101,9101,8731,8748,5699,-1.141371906430105
2023-10-25,8757,8781,8748,8776,1772,0.3200731595793324
2023-10-26,8744,8771,8731,8767,2214,-0.10255241567912489
2023-10-27,8938,8938,8791,8863,1609,1.0950153986540434
2023-10-30,8731,8748,8667,8731,3194,-1.4893376960397158
2023-10-31,8731,8781,8716,8781,1740,0.5726720879624326
2023-11-01,8991,8991,8834,8886,2244,1.1957635804578066
2023-11-02,8918,8918,8868,8890,2760,0.045014629754670264
2023-11-03,8913,8953,8839,8858,5704,-0.35995500562429694
2023-11-06,8858,8927,8762,8839,3142,-0.21449537141566946
2023-11-07,9300,9300,8739,8820,3109,-0.2149564430365426
2023-11-08,8872,8872,8726,8786,3081,-0.3854875283446712
2023-11-09,9044,9044,8676,8712,3127,-0.842249032551787
2023-11-10,8712,8712,8639,8689,1687,-0.26400367309458217
2023-11-13,8796,8796,8689,8757,2022,0.7825986879963172
2023-11-14,8776,8948,8708,8806,2888,0.5595523581135092
2023-11-15,8806,8918,8806,8849,3179,0.4883034294799001
2023-11-16,8943,8948,8904,8922,1261,0.8249519719742344
2023-11-17,8900,8900,8849,8858,2229,-0.717327953373683
2023-11-20,8858,8943,8858,8877,3005,0.21449537141566946
2023-11-21,8872,8872,8786,8844,3987,-0.37174721189591076
2023-11-22,8890,8904,8839,8904,1902,0.6784260515603799
2023-11-23,8973,8973,8913,8939,2385,0.39308176100628933
2023-11-24,8943,9001,8943,8996,5543,0.6376552187045531
2023-11-27,8973,9016,8973,8996,1915,0.0
2023-11-28,8996,8996,8890,8931,7089,-0.7225433526011561
2023-11-29,9030,9030,8829,8900,3411,-0.34710558728025975
2023-11-30,8900,8918,8872,8918,2248,0.20224719101123598
2023-12-01,8886,9073,8886,9068,5842,1.6819914779098455
2023-12-04,9068,9184,9068,9179,6575,1.2240846934274372
2023-12-05,9174,9319,9174,9287,9050,1.1765987580346442
2023-12-06,9273,9297,9245,9292,3671,0.053838699257025946
2023-12-07,9314,9345,9292,9337,8500,0.48428755919070166
2023-12-08,9345,9383,9340,9350,3081,0.13923101638641963
2023-12-11,9560,9560,9068,9375,4006,0.267379679144385
2023-12-12,9550,9550,9370,9383,4402,0.08533333333333333
2023-12-13,9483,9483,9337,9388,6514,0.05328786102525845
2023-12-14,9388,9483,9370,9483,11709,1.0119301235619942
2023-12-15,9560,9560,9460,9530,3999,0.49562374775914797
2023-12-18,9555,9555,9383,9469,4322,-0.640083945435467
2023-12-19,9469,9535,9455,9474,4130,0.05280388636603654
2023-12-20,9555,9555,9435,9493,8134,0.20054887059320242
2023-12-21,9493,9493,9370,9383,3360,-1.1587485515643106
2023-12-22,9398,9416,9345,9408,9406,0.26643930512629227
2023-12-26,9502,9530,9478,9511,6000,1.094812925170068
2023-12-27,9393,9566,9393,9561,10390,0.5257070760172432
