날짜,시가,고가,저가,종가,거래량,등락률
2024-10-08,9774,9808,9769,9793,190880,
2024-10-10,10090,10090,9852,9876,228050,0.8475441641989175
2024-10-11,9779,9889,9774,9837,228676,-0.39489671931956255
2024-10-14,10006,10026,9953,9993,234510,1.5858493443122905
2024-10-15,10041,10122,10041,10103,144402,1.1007705393775644
2024-10-16,10066,10080,10021,10041,156789,-0.6136791052162723
2024-10-17,10090,10182,10090,10177,157186,1.3544467682501744
2024-10-18,10202,10217,10187,10187,190807,0.09826078412105729
2024-10-21,10202,10247,10182,10247,161407,0.588985962501227
2024-10-22,10152,10172,10127,10142,167934,-1.0246901532155752
2024-10-23,10147,10147,10075,10085,161469,-0.5620193255768093
2024-10-24,10098,10098,10051,10085,116468,0.0
2024-10-25,10113,10177,10098,10177,112373,0.9122459097669807
2024-10-28,10157,10162,10113,10118,144230,-0.579738626314238
2024-10-29,10113,10132,10075,10132,106398,0.1383672662581538
2024-10-30,10066,10066,10041,10046,122796,-0.8487958941966048
2024-10-31,10046,10075,10011,10011,127104,-0.3483973720883934
2024-11-01,10006,10080,10006,10071,111453,0.5993407252022775
2024-11-04,9983,9983,9929,9963,113291,-1.0723860589812333
2024-11-05,10002,10036,9988,10026,111033,0.6323396567299007
2024-11-06,10094,10397,10056,10338,156973,3.1119090365050868
2024-11-07,10563,10563,10417,10505,130596,1.6153994970013543
2024-11-08,10358,10377,10329,10377,223116,-1.2184673964778676
2024-11-11,10539,10539,10461,10485,154164,1.0407632263660018
2024-11-12,10553,10588,10534,10583,157363,0.9346685741535526
2024-11-13,10539,10544,10476,10476,152548,-1.0110554663138995
2024-11-14,10785,10785,10500,10568,223577,0.8781977854142803
2024-11-15,10510,10515,10402,10402,173628,-1.570779712339137
2024-11-18,10329,10348,10281,10348,139154,-0.5191309363583926
2024-11-19,10397,10397,10348,10382,179017,0.32856590645535366
2024-11-20,10329,10358,10311,10334,124337,-0.46233866307069926
2024-11-21,10412,10412,10353,10377,123955,0.41610218695568024
2024-11-22,10392,10500,10392,10495,107495,1.1371301917702612
2024-11-25,10785,10785,10644,10699,117360,1.9437827536922345
2024-11-26,10699,10714,10635,10664,146974,-0.32713337695111694
2024-11-27,10635,10674,10635,10659,171242,-0.0468867216804201
2024-11-28,10625,10639,10606,10639,138013,-0.18763486255746317
2024-11-29,10639,10679,10639,10659,114127,0.18798759281887395
2024-12-02,10649,10694,10635,10669,168718,0.09381743127873159
2024-12-03,10654,10654,10610,10649,174474,-0.18745899334520572
2024-12-04,10649,10719,10644,10674,171762,0.234763827589445
2024-12-05,10639,10639,10578,10588,224168,-0.8056960839422896
2024-12-06,10593,10659,10529,10598,200832,0.09444654325651682
2024-12-09,10598,10689,10598,10689,184179,0.8586525759577279
2024-12-10,10669,10669,10588,10598,181301,-0.8513425016371972
2024-12-11,10598,10625,10578,10601,123668,0.028307227778826195
2024-12-12,10525,10544,10490,10529,157881,-0.6791812093198755
2024-12-13,10529,10544,10505,10544,131499,0.14246367176370026
2024-12-16,10684,10684,10495,10539,162201,-0.04742033383915023
2024-12-17,10446,10451,10417,10451,200858,-0.8349938324319196
2024-12-18,10407,10441,10407,10426,124861,-0.23921155870251654
2024-12-19,10421,10421,10232,10267,143250,-1.5250335699213504
2024-12-20,10167,10202,10132,10202,161708,-0.6330963280412973
2024-12-23,10362,10372,10329,10367,171202,1.6173299353068025
2024-12-24,10372,10635,10358,10387,178872,0.1929198418057297
2024-12-26,10417,10539,10417,10534,149196,1.4152305766823914
2024-12-27,10568,10679,10544,10544,149078,0.09493070058857034
2024-12-30,10544,10544,10466,10510,236499,-0.3224582701062215
2025-01-02,10495,10505,10456,10500,207786,-0.09514747859181732
2025-01-03,10500,10500,10421,10441,219234,-0.5619047619047619
2025-01-06,10515,10553,10485,10520,188371,0.756632506464898
2025-01-07,10563,10563,10324,10353,193457,-1.58745247148289
2025-01-08,10353,10382,10296,10367,153380,0.1352265043948614
2025-01-09,10367,10402,10348,10387,139892,0.1929198418057297
2025-01-10,10377,10407,10338,10402,161938,0.1444112833349379
2025-01-13,10387,10387,10311,10324,256388,-0.7498557969621227
2025-01-14,10387,10441,10387,10426,165787,0.98798915149167
2025-01-15,10456,10480,10446,10466,162606,0.3836562440053712
2025-01-16,10615,10615,10520,10544,172081,0.7452703993884962
2025-01-17,10520,10548,10510,10544,182572,0.0
2025-01-20,10548,10615,10539,10558,157276,0.13277693474962063
2025-01-21,10558,10558,10461,10505,175018,-0.5019890130706574
2025-01-22,10534,10558,10505,10548,145031,0.40932889100428366
2025-01-23,10471,10490,10436,10456,134860,-0.8722032612817596
2025-01-24,10534,10544,10480,10495,133648,0.37299158377964803
2025-01-31,10505,10630,10505,10625,184560,1.2386850881372082
2025-02-03,10558,10563,10471,10500,153669,-1.1764705882352942
2025-02-04,10568,10578,10520,10534,247319,0.3238095238095238
2025-02-05,10500,10510,10402,10402,364946,-1.2530852477691286
2025-02-06,10456,10525,10451,10495,110208,0.894058834839454
2025-02-07,10476,10476,10407,10426,183158,-0.6574559313959027
2025-02-10,10426,10426,10377,10377,141659,-0.4699788989065797
2025-02-11,10397,10436,10397,10417,168767,0.38546786161703767
2025-02-12,10485,10515,10471,10476,158583,0.566381875779975
2025-02-13,10426,10456,10407,10417,138705,-0.5631920580374188
2025-02-14,10421,10461,10421,10456,171464,0.3743880195833733
2025-02-17,10451,10451,10387,10407,126860,-0.4686304514154553
2025-02-18,10402,10441,10397,10421,165108,0.134524839050639
2025-02-19,10456,10495,10456,10466,179449,0.4318203627291047
2025-02-20,10529,10544,10500,10510,122771,0.42040894324479267
2025-02-21,10553,10558,10505,10539,164700,0.2759276879162702
2025-02-24,10182,10563,10182,10505,97087,-0.3226112534396053
2025-02-25,10520,10539,10490,10515,117362,0.09519276534983341
2025-02-26,10578,10606,10568,10601,146678,0.8178792201616738
2025-02-27,10510,10588,10480,10578,135348,-0.21696066408829354
2025-02-28,10578,10674,10553,10664,302909,0.8130081300813009
2025-03-04,10699,10771,10699,10764,90274,0.9377344336084021
2025-03-05,10639,10644,10588,10606,294514,-1.4678558156819026
2025-03-06,10529,10558,10495,10534,74527,-0.6788610220629833
2025-03-07,10669,10669,10548,10553,34350,0.18036833111828365
2025-03-10,10625,10724,10625,10704,69706,1.4308727376101582
2025-03-11,10699,10785,10674,10749,143594,0.4204035874439462
2025-03-12,10505,10749,10466,10500,60356,-2.316494557633268
2025-03-13,10471,10471,10320,10377,36049,-1.1714285714285713
2025-03-14,10367,10377,10338,10348,158766,-0.2794641996723523
2025-03-17,10417,10417,10338,10348,20331,0.0
2025-03-18,10476,10544,10456,10544,117094,1.8940858136838035
2025-03-19,10544,10544,10505,10525,86844,-0.18019726858877086
2025-03-20,10644,10659,10598,10635,37539,1.0451306413301662
2025-03-21,10954,10954,10610,10610,18018,-0.23507287259050302
2025-03-24,10679,10679,10601,10659,10167,0.46182846371347785
2025-03-25,10978,10978,10606,10694,11755,0.3283610094755606
2025-03-26,10694,10694,10583,10615,24129,-0.738731999251917
2025-03-27,10699,10719,10664,10684,41058,0.6500235515779557
2025-03-28,10719,10719,10644,10689,11498,0.04679895170348184
2025-03-31,10767,10767,10568,10620,30056,-0.6455234353073253
2025-04-01,10724,10776,10699,10729,42351,1.0263653483992468
2025-04-02,10810,10810,10674,10694,65060,-0.3262186597073352
2025-04-03,10593,10598,10515,10553,22184,-1.3184963530951936
2025-04-04,10132,10362,10031,10090,48863,-4.387377996778167
2025-04-07,9282,10085,9282,9450,97898,-6.342913776015857
2025-04-08,9764,9808,9695,9798,73018,3.6825396825396823
2025-04-09,9475,9475,9296,9383,26855,-4.235558277199428
2025-04-10,9983,9993,9885,9904,57148,5.55259511883193
2025-04-11,9603,9661,9412,9661,283107,-2.4535541195476576
2025-04-14,9623,9623,9450,9514,159587,-1.521581616809854
2025-04-15,9529,9569,9514,9549,12749,0.3678789152827412
2025-04-16,9489,9524,9440,9499,99400,-0.5236150382238978
2025-04-17,9720,9720,9369,9431,8586,-0.7158648278766185
2025-04-18,9666,9666,9440,9559,4675,1.3572261690170715
2025-04-21,9514,9514,9393,9426,12078,-1.3913589287582384
2025-04-22,9422,9422,9330,9374,12364,-0.551665605771271
2025-04-23,9705,9705,9554,9584,10337,2.240238958822274
2025-04-24,9579,9579,9524,9574,81257,-0.10434056761268781
2025-04-25,9857,9857,9647,9700,21352,1.316064340923334
2025-04-28,9983,9983,9593,9680,12995,-0.2061855670103093
