날짜,시가,고가,저가,종가,거래량,등락률
2022-11-15,8941,8946,8871,8895,908481,
2022-11-16,8918,8973,8875,8946,548068,0.5733558178752108
2022-11-17,8908,8990,8881,8990,596481,0.49183992845964675
2022-11-18,8998,9039,8964,8981,492726,-0.10011123470522804
2022-11-21,9048,9143,9034,9139,830573,1.7592695690903017
2022-11-22,9189,9246,9160,9184,562863,0.4923952292373345
2022-11-23,9287,9321,9264,9296,582878,1.2195121951219512
2022-11-24,9229,9246,9120,9155,532969,-1.5167814113597247
2022-11-25,9165,9198,9106,9129,663059,-0.28399781540142
2022-11-28,9125,9169,9120,9143,464255,0.15335743235841823
2022-11-29,9169,9169,9013,9053,573592,-0.9843596193809472
2022-11-30,9063,9063,8973,8990,512573,-0.6959019109687397
2022-12-01,9048,9080,8998,9030,618733,0.44493882091212456
2022-12-02,9063,9179,8990,9026,475018,-0.044296788482835
2022-12-05,9098,9098,8936,8946,467644,-0.8863283846665189
2022-12-06,8946,8977,8886,8973,343608,0.30181086519114686
2022-12-07,8918,8941,8875,8918,422941,-0.6129499609940934
2022-12-08,8886,8908,8871,8890,395972,-0.3139717425431711
2022-12-09,8933,8946,8838,8862,742090,-0.31496062992125984
2022-12-12,8797,8829,8788,8805,392542,-0.6431956668923494
2022-12-13,8886,8908,8871,8875,359653,0.7950028392958546
2022-12-14,8848,8923,8843,8895,570251,0.22535211267605634
2022-12-15,8871,8890,8862,8877,233684,-0.2023608768971332
2022-12-16,8866,8871,8727,8727,359827,-1.6897600540723219
2022-12-19,8708,8713,8620,8658,315359,-0.790649707803369
2022-12-20,8658,8658,8451,8451,322693,-2.390852390852391
2022-12-21,8566,8566,8486,8531,259300,0.9466335344929595
2022-12-22,8620,8620,8553,8562,397435,0.36338061188606263
2022-12-23,8553,8553,8491,8508,293148,-0.6306937631394535
2022-12-26,8562,8580,8526,8562,273659,0.6346967559943583
2022-12-27,8597,8597,8531,8580,310810,0.21023125437981782
2022-12-28,8571,8571,8517,8553,264990,-0.3146853146853147
2022-12-29,8535,8539,8399,8437,277926,-1.3562492692622472
2023-01-02,8465,8687,8456,8584,569672,1.7423254711390304
2023-01-03,8513,8535,8456,8521,646463,-0.7339235787511649
2023-01-04,8517,8544,8473,8503,657574,-0.21124281187654032
2023-01-05,8544,8584,8517,8544,731027,0.482182759026226
2023-01-06,8544,8544,8481,8521,754462,-0.26919475655430714
2023-01-09,8611,8632,8553,8562,994044,0.48116418260767513
2023-01-10,8562,8571,8404,8461,967234,-1.179630927353422
2023-01-11,8499,8558,8499,8539,879061,0.921876846708427
2023-01-12,8531,8566,8513,8553,952967,0.1639536245461998
2023-01-13,8558,8562,8503,8558,1183783,0.05845902022682099
2023-01-16,8539,8539,8491,8503,1215314,-0.6426735218508998
2023-01-17,8508,8539,8503,8517,1298649,0.1646477713748089
2023-01-18,8473,8508,8404,8451,1344280,-0.7749207467418106
2023-01-19,8286,8295,8235,8244,501775,-2.4494142705005326
2023-01-20,8203,8248,8185,8212,217511,-0.38816108685104317
2023-01-25,8291,8319,8291,8291,181580,0.9620068192888456
2023-01-26,8323,8350,8319,8346,226957,0.6633699191894825
2023-01-27,8409,8409,8304,8342,156863,-0.04792715073088905
2023-01-30,8370,8370,8258,8258,245626,-1.006952769120115
2023-01-31,8268,8279,8248,8263,148786,0.06054734802615645
2023-02-01,8351,8382,8351,8374,119347,1.343337770785429
2023-02-02,8378,8410,8319,8356,197386,-0.2149510389300215
2023-02-03,8365,8443,8365,8438,171654,0.9813307802776448
2023-02-06,8466,8527,8457,8527,238648,1.0547523109741643
2023-02-07,8567,8567,8532,8549,252355,0.2580039873343497
2023-02-08,8567,8621,8554,8617,276036,0.7954146683822669
2023-02-09,8581,8607,8563,8581,342961,-0.4177788093303934
2023-02-10,8509,8522,8482,8500,440954,-0.9439459270481296
2023-02-13,8563,8621,8536,8621,486419,1.423529411764706
2023-02-14,8696,8715,8670,8696,492211,0.8699686811274794
2023-02-15,8678,8719,8655,8710,586327,0.1609935602575897
2023-02-16,8758,8812,8748,8786,640388,0.8725602755453502
2023-02-17,8724,8803,8710,8803,372942,0.19348964261324833
2023-02-20,8860,8860,8794,8816,456694,0.14767692831989093
2023-02-21,8790,8790,8748,8763,455488,-0.6011796733212341
2023-02-22,8701,8710,8678,8696,601542,-0.7645783407508844
2023-02-23,8678,8683,8612,8651,704098,-0.5174793008279669
2023-02-24,8633,8673,8612,8670,619403,0.21962778869494856
2023-02-27,8697,8759,8679,8759,645168,1.0265282583621684
2023-02-28,8730,8769,8697,8749,652212,-0.11416828405069071
2023-03-02,8744,8744,8598,8638,851969,-1.2687164247342553
2023-03-03,8651,8651,8549,8585,757548,-0.6135679555452651
2023-03-06,8660,8674,8625,8648,747904,0.7338380896913221
2023-03-07,8670,8679,8655,8670,634276,0.2543940795559667
2023-03-08,8651,8679,8621,8670,596476,0.0
2023-03-09,8633,8655,8607,8655,763364,-0.17301038062283738
2023-03-10,8518,8522,8474,8482,942353,-1.998844598497978
2023-03-13,8466,8478,8391,8443,843283,-0.4597972176373497
2023-03-14,8369,8415,8155,8220,1153837,-2.6412412649532158
2023-03-15,8278,8278,8189,8238,890207,0.21897810218978103
2023-03-16,8216,8247,8202,8243,666904,0.06069434328720563
2023-03-17,8252,8262,8211,8238,1042612,-0.06065752759917505
2023-03-20,8193,8193,8155,8155,908718,-1.0075260985676135
2023-03-21,8230,8285,8225,8285,584674,1.594114040465972
2023-03-22,8341,8350,8318,8327,658393,0.5069402534701267
2023-03-23,8162,8169,8044,8062,1571721,-3.1824186381650055
2023-03-24,8077,8096,8035,8091,705968,0.3597122302158274
2023-03-27,8230,8230,8158,8216,565513,1.5449264615004326
2023-03-28,8216,8238,8197,8238,398995,0.26777020447906524
2023-03-29,8247,8295,8225,8295,536878,0.6919155134741442
2023-03-30,8360,8370,8323,8342,484713,0.5666063893911996
2023-03-31,8360,8383,8304,8383,457856,0.4914888515943419
2023-04-03,8536,8591,8392,8564,794361,2.1591315758081833
2023-04-04,8618,8618,8532,8595,538028,0.3619803829985988
2023-04-05,8577,8577,8475,8493,693505,-1.1867364746945899
2023-04-06,8501,8568,8501,8555,473865,0.730012951842694
2023-04-07,8555,8555,8528,8532,593565,-0.26884862653419056
2023-04-10,8573,8595,8536,8560,481780,0.32817627754336615
2023-04-11,8686,8686,8586,8604,419560,0.5140186915887851
2023-04-12,8608,8676,8608,8672,413731,0.7903300790330079
2023-04-13,8662,8662,8515,8536,693565,-1.5682656826568264
