날짜,시가,고가,저가,종가,거래량,등락률
2023-11-07,49227,49227,49222,49222,23291,
2023-11-08,49237,49241,49237,49241,18280,0.0386006257364593
2023-11-09,49241,49251,49241,49251,19975,0.02030827968562783
2023-11-10,49251,49266,49251,49266,9154,0.030456234391179875
2023-11-13,49266,49271,49266,49271,4693,0.010148987131084319
2023-11-14,49271,49281,49271,49281,1563,0.02029591443242475
2023-11-15,49291,49291,49281,49286,12209,0.01014589801343317
2023-11-16,49296,49305,49296,49305,5356,0.03855050115651503
2023-11-17,49305,49315,49305,49315,13062,0.020281918669506134
2023-11-20,49330,49330,49315,49320,9001,0.01013890297069857
2023-11-21,49325,49330,49325,49330,4456,0.020275750202757504
2023-11-22,49325,49335,49325,49335,2893,0.010135819987837016
2023-11-23,49330,49360,49330,49355,14721,0.040539170973953584
2023-11-24,49360,49369,49360,49369,8314,0.02836592037280924
2023-11-27,49369,49374,49369,49374,45335,0.010127813000060767
2023-11-28,49379,49379,49374,49379,14076,0.010126787377972212
2023-11-29,49384,49389,49384,49389,25623,0.02025152392717552
2023-11-30,49384,49409,49384,49409,22716,0.04049484703071534
2023-12-01,49394,49419,49394,49419,14829,0.02023922767107207
2023-12-04,49419,49424,49419,49424,12911,0.010117566118294582
2023-12-05,49428,49433,49428,49433,7982,0.018209776626740046
2023-12-06,49438,49438,49433,49438,13877,0.01011470070600611
2023-12-07,49438,49458,49438,49458,18828,0.04045471095109025
2023-12-08,49463,49463,49458,49463,18586,0.010109587933195843
2023-12-11,49468,49468,49463,49468,12856,0.010108565998827406
2023-12-12,49473,49478,49473,49478,14272,0.020215088542087815
2023-12-13,49483,49483,49478,49483,6110,0.010105501434981205
2023-12-14,49478,49502,49478,49502,18878,0.03839702524099186
2023-12-15,49502,49512,49502,49512,27885,0.02020120399175791
2023-12-18,49512,49517,49512,49517,19877,0.010098561964776216
2023-12-19,49517,49522,49517,49522,21465,0.01009754225821435
2023-12-20,49527,49532,49527,49532,27050,0.020193045515124592
2023-12-21,49532,49561,49532,49556,21311,0.04845352499394331
2023-12-22,49566,49566,49561,49566,20794,0.020179191218015983
2023-12-26,49566,49571,49566,49571,38603,0.010087560020982125
2023-12-27,49571,49601,49571,49601,30119,0.06051925520969922
2023-12-28,49606,51525,49606,49620,75161,0.03830567932098143
2024-01-02,49606,49615,49606,49615,90824,-0.01007658202337767
2024-01-03,49611,49620,49611,49620,56649,0.01007759750075582
2024-01-04,49625,49640,49625,49640,33502,0.04030632809351068
