날짜,시가,고가,저가,종가,거래량,등락률
2019-01-02,20656,20696,20065,20157,1662,-1.615579851620461
2019-01-03,20229,20229,19680,19708,2963,-2.227514014982388
2019-01-04,19641,20328,19641,20331,3181,3.1611528313375277
2019-01-07,21062,21067,20426,20429,801,0.4820225271752496
2019-01-08,20322,20474,20322,20448,691,0.09300504185226884
2019-01-09,20445,20630,20350,20512,6232,0.3129890453834116
2019-01-10,20574,20589,20381,20493,2488,-0.09262870514820593
2019-01-11,20489,20499,20371,20444,2354,-0.2391060362074855
2019-01-14,20323,20440,20244,20370,5036,-0.36196439053022894
2019-01-15,20352,20731,20269,20375,7944,0.024545900834560628
2019-01-16,20321,20355,20139,20147,1117,-1.1190184049079754
2019-01-17,20010,20158,19824,19826,2196,-1.5932893234724774
2019-01-18,19808,20192,19808,20172,215,1.7451830929083023
2019-01-21,20266,20266,19970,19973,386,-0.9865159627206028
2019-01-22,19980,20088,19980,20088,4643,0.5757772993541281
2019-01-23,19970,20040,19922,20043,275,-0.2240143369175627
2019-01-24,19926,20154,19922,20157,1098,0.5687771291722796
2019-01-25,20050,20199,19995,20202,236,0.2232475070695044
2019-01-28,20174,20336,20174,20266,438,0.31680031680031684
2019-01-29,20212,20212,19970,20058,1340,-1.0263495509720715
2019-01-30,20055,20192,20055,20132,212,0.36893010270216375
2019-01-31,20296,20560,20296,20562,1183,2.1359030399364194
2019-02-01,20584,20584,20293,20296,1134,-1.2936484777745356
2019-02-07,20405,20410,20144,20301,1541,0.024635396137169887
2019-02-08,20193,20600,20193,20517,1120,1.063986995714497
2019-02-11,20675,20952,20675,20888,59094,1.8082565677243263
2019-02-12,20889,20889,20661,20676,490,-1.0149368058215245
2019-02-13,20620,20863,20568,20804,4445,0.6190752563358483
2019-02-14,20804,20804,20589,20711,6181,-0.447029417419727
2019-02-15,20696,20769,20611,20731,847,0.09656704166867848
2019-02-18,20675,20932,20675,20829,3414,0.47272201051565294
2019-02-19,20871,21250,20771,21185,3299,1.7091555043449038
2019-02-20,21211,21211,21079,21155,596,-0.14160962945480293
2019-02-21,21162,21162,20846,20948,18864,-0.9784920822500591
2019-02-22,20903,20903,20790,20858,1078,-0.42963528737826995
2019-02-25,20724,20784,20666,20686,2763,-0.8246236456036053
2019-02-26,20616,20854,20564,20676,2417,-0.04834187373102582
2019-02-27,20625,20845,20605,20848,50298,0.8318823757012962
2019-02-28,20850,21274,20850,21002,7801,0.7386799693016117
2019-03-04,21166,21422,21166,21382,3008,1.8093514903342538
2019-03-05,21339,21502,21255,21387,3526,0.023384154896642036
2019-03-06,21494,21494,21153,21255,1681,-0.617197362883995
2019-03-07,21187,21187,20846,20938,2118,-1.4914137849917666
2019-03-08,20750,20957,20735,20829,1462,-0.520584583054733
2019-03-11,20714,20799,20429,20691,5484,-0.6625378078640357
2019-03-12,20810,21007,20680,20858,48951,0.8071142042433909
2019-03-13,20949,21057,20929,21037,830,0.8581839102502637
2019-03-14,21057,21067,20616,20726,1523,-1.4783476731473117
2019-03-15,20655,20655,20341,20577,49893,-0.718903792338126
2019-03-18,20328,20500,20298,20355,1168,-1.0788744714973029
2019-03-19,20360,20545,20357,20360,638,0.024563989191844753
2019-03-20,20355,20355,20184,20346,3073,-0.068762278978389
2019-03-21,20222,20251,19970,19973,4340,-1.8332841836233165
2019-03-22,19903,19918,19750,19768,3194,-1.0263856205877935
2019-03-25,19614,19758,19522,19534,1672,-1.1837312828814246
2019-03-26,19533,19704,19533,19604,1704,0.35834954438415073
2019-03-27,19582,19582,19177,19194,1968,-2.0914099163436033
2019-03-28,19059,19114,18837,19007,3030,-0.9742627904553507
2019-03-29,19001,19162,18926,19111,2144,0.5471668332719525
2019-04-01,18974,19302,18974,19287,3546,0.9209355868348071
2019-04-02,19320,19635,19285,19624,25825,1.7472909213459842
2019-04-03,19576,19807,19482,19797,21609,0.8815735833673054
2019-04-04,19909,19909,19627,19634,26354,-0.8233570743041876
2019-04-05,19752,19752,19372,19415,19369,-1.1154120403381889
2019-04-08,19560,19560,19412,19415,38150,0.0
2019-04-09,19467,19773,19467,19668,56438,1.3031161473087818
2019-04-10,19728,20005,19723,20008,22026,1.7286963595688427
2019-04-11,20068,20117,20010,20058,11833,0.24990003998400642
2019-04-12,20050,20214,20050,20217,31898,0.7927011666168113
2019-04-15,20182,20182,20015,20048,2179,-0.8359301577880002
2019-04-16,19985,20142,19946,20137,2631,0.44393455706304874
2019-04-17,20132,20132,20095,20123,339,-0.06952376222873319
2019-04-18,20015,20015,19685,19718,5219,-2.0126223724096803
2019-04-19,19803,20197,19778,20192,3124,2.403894918348717
2019-04-22,20189,20475,20189,20276,7327,0.4160063391442155
2019-04-23,20320,20320,20118,20251,1815,-0.12329848096271454
2019-04-24,20276,20276,19975,19978,922,-1.3480815762184584
2019-04-25,19828,19828,19582,19584,8770,-1.9721693863249574
2019-04-26,19533,19649,19438,19614,1634,0.15318627450980393
2019-04-29,19660,19815,19546,19816,11574,1.029876618741715
2019-04-30,19711,19784,19592,19768,1217,-0.24222850222042794
2019-05-02,19744,19779,19681,19713,494,-0.2782274382840955
2019-05-03,19704,19704,19462,19584,2030,-0.654390503728504
2019-05-07,19366,19401,19190,19301,1290,-1.4450571895424837
2019-05-08,18993,19008,18900,18921,3009,-1.9688099062224753
2019-05-09,19009,19048,18599,18599,7821,-1.7018128005919348
