날짜,시가,고가,저가,종가,거래량,등락률
2019-01-02,9280,9316,9120,9193,21995,-1.2354963472281908
2019-01-03,9193,9239,9168,9201,34767,0.08702273468943762
2019-01-04,9190,9342,9182,9335,12824,1.4563634387566569
2019-01-07,9277,9345,9250,9297,7128,-0.40707016604177826
2019-01-08,9308,9308,9243,9280,964,-0.18285468430676563
2019-01-09,9254,9369,9254,9308,19518,0.3017241379310345
2019-01-10,9254,9284,9231,9266,5235,-0.45122475290073055
2019-01-11,9231,9300,9231,9294,20668,0.30218001295057195
2019-01-14,9257,9257,9182,9231,48340,-0.6778566817301485
2019-01-15,9231,9322,9220,9322,37917,0.9858086881161304
2019-01-16,9303,9330,9303,9330,239,0.0858184938854323
2019-01-17,9311,9413,9308,9406,35410,0.8145766345123259
2019-01-18,9395,9440,9391,9406,7618,0.0
2019-01-21,9403,9413,9366,9389,3905,-0.1807357006166277
2019-01-22,9391,9391,9335,9391,1590,0.02130152305889871
2019-01-23,9372,9481,9372,9479,13928,0.9370674049621979
2019-01-24,9451,9504,9417,9493,16779,0.14769490452579387
2019-01-25,9403,9547,9403,9511,1710,0.18961339934688717
2019-01-28,9501,9534,9446,9528,26702,0.17874040584586268
2019-01-29,9528,9538,9479,9538,70214,0.10495382031905962
2019-01-30,9538,9619,9504,9619,439,0.8492346403858252
2019-01-31,9643,9662,9577,9651,37290,0.33267491423224865
2019-02-01,9646,9711,9646,9677,24105,0.2694021344938348
2019-02-07,9677,9681,9590,9673,34658,-0.04133512452206262
2019-02-08,9651,9651,9590,9636,5390,-0.38250801199214307
2019-02-11,9639,9639,9557,9604,145518,-0.33208800332088
2019-02-12,9604,9604,9567,9593,9510,-0.11453561016243233
2019-02-13,9593,9651,9550,9651,3754,0.6046075263212759
2019-02-14,9601,9750,9562,9750,50632,1.0258004351880634
2019-02-15,9673,9673,9580,9631,1684,-1.2205128205128206
2019-02-18,9651,9658,9604,9658,18454,0.2803447201744367
2019-02-19,9619,9619,9590,9604,11295,-0.5591219714226549
2019-02-20,9580,9655,9577,9646,17439,0.43731778425655976
2019-02-21,9655,9670,9643,9670,9943,0.24880779597760727
2019-02-22,9666,9716,9666,9716,4480,0.4756980351602895
2019-02-25,9697,9731,9670,9697,24296,-0.1955537258130918
2019-02-26,9722,9722,9658,9684,52699,-0.1340620810559967
2019-02-27,9684,9739,9666,9739,14608,0.5679471292854192
2019-02-28,9739,9766,9681,9681,39020,-0.595543690317281
2019-03-04,9681,9727,9639,9666,53475,-0.15494267121165167
2019-03-05,9639,9655,9619,9655,19608,-0.1138009517897786
2019-03-06,9627,9673,9624,9670,15833,0.15535991714137753
2019-03-07,9612,9646,9608,9643,12902,-0.2792140641158221
2019-03-08,9580,9580,9485,9507,707,-1.4103494763040547
2019-03-11,9507,9596,9507,9596,1558,0.9361523088250763
2019-03-12,9643,9643,9604,9643,49755,0.4897874114214256
2019-03-13,9627,9636,9553,9636,436777,-0.0725915171627087
2019-03-14,9646,9711,9624,9699,121835,0.6537982565379826
2019-03-15,9693,9924,9693,9924,40813,2.3198267862666255
2019-03-18,9935,9957,9870,9951,85087,0.2720677146311971
2019-03-19,9909,9935,9870,9897,45493,-0.5426590292432921
2019-03-20,9865,9879,9800,9879,100018,-0.18187329493785995
2019-03-21,9781,9796,9742,9772,4110,-1.0831055774876
2019-03-22,9731,9731,9697,9704,1297,-0.6958657388456815
2019-03-25,9651,9658,9590,9604,28690,-1.030502885408079
2019-03-26,9604,9670,9580,9643,42914,0.4060807996668055
2019-03-27,9643,9662,9612,9658,5443,0.1555532510629472
2019-03-28,9636,9636,9550,9593,352,-0.673017187823566
2019-03-29,9572,9596,9557,9596,506,0.03127280308558324
2019-04-01,9601,9693,9601,9688,252491,0.9587328053355566
2019-04-02,9646,9681,9624,9655,42487,-0.3406275805119736
2019-04-03,9627,9727,9590,9727,157447,0.7457276022786121
2019-04-04,9739,9766,9697,9735,82330,0.08224529659710086
2019-04-05,9757,9770,9707,9711,43720,-0.2465331278890601
2019-04-08,9735,9766,9697,9746,44035,0.36041602306662546
2019-04-09,9731,9731,9684,9684,110677,-0.6361584239688077
2019-04-10,9699,9793,9684,9757,23696,0.7538207352333747
2019-04-11,9789,9796,9716,9716,1951,-0.42021113047043146
2019-04-12,9770,9781,9704,9757,378,0.421984355701935
2019-04-15,9731,9796,9731,9784,10144,0.27672440299272316
2019-04-16,9757,9784,9716,9766,15162,-0.1839738348323794
2019-04-17,9731,9757,9720,9720,14791,-0.4710219127585501
2019-04-18,9716,9722,9631,9662,141049,-0.5967078189300412
2019-04-19,9651,9651,9601,9604,3643,-0.6002897950734837
2019-04-22,9627,9643,9572,9627,5522,0.2394835485214494
2019-04-23,9619,9681,9604,9677,22266,0.5193725979017347
2019-04-24,9697,9707,9616,9636,102703,-0.42368502635114186
2019-04-25,9636,9658,9604,9646,6420,0.10377750103777503
2019-04-26,9616,9616,9557,9590,6863,-0.5805515239477503
2019-04-29,9596,9730,9596,9706,78178,1.2095933263816476
2019-04-30,9753,9753,9604,9679,187863,-0.2781784463218628
2019-05-02,9663,9734,9617,9734,242823,0.5682405207149499
2019-05-03,9706,9706,9608,9628,22142,-1.0889665091432095
2019-05-07,9566,9608,9506,9596,15116,-0.3323639385126714
2019-05-08,9542,9660,9533,9613,17912,0.177157148812005
2019-05-09,9628,9628,9388,9388,54972,-2.340580463955061
2019-05-10,9503,9503,9421,9456,28251,0.7243289305496379
2019-05-13,9413,9413,9309,9327,21401,-1.364213197969543
2019-05-14,9319,9337,9270,9281,143228,-0.49319180872735074
2019-05-15,9290,9344,9250,9318,66799,0.39866393707574616
2019-05-16,9323,9323,9262,9262,29318,-0.6009873363382701
2019-05-17,9318,9332,9223,9223,1744,-0.4210753616929389
2019-05-20,9294,9344,9281,9294,10822,0.7698145939499078
2019-05-21,9250,9323,9250,9266,22138,-0.3012696363245104
2019-05-22,9277,9277,9215,9238,2693,-0.30218001295057195
