날짜,시가,고가,저가,종가,거래량,등락률
2019-01-02,8952,8977,8927,8927,15767,-0.6344612644701692
2019-01-03,8973,8973,8753,8832,6277,-1.0641872969642658
2019-01-04,8810,8888,8810,8888,1792,0.6340579710144928
2019-01-07,8892,8998,8892,8998,275,1.2376237623762376
2019-01-08,9090,9090,9002,9026,13816,0.31118026228050677
2019-01-09,9181,9251,9181,9233,561,2.293374695324618
2019-01-10,9233,9288,9233,9288,559,0.5956893750676919
2019-01-11,9288,9380,9288,9356,4227,0.7321274763135228
2019-01-14,9378,9445,9364,9364,6082,0.08550662676357418
2019-01-15,9449,9449,9328,9394,215,0.3203759077317386
2019-01-16,9264,9458,9264,9440,285,0.48967426016606347
2019-01-17,9458,9543,9458,9543,254,1.091101694915254
2019-01-18,9544,9615,9539,9611,912,0.7125641831709106
2019-01-21,9620,9639,9573,9629,3480,0.18728540214337738
2019-01-22,9650,9650,9573,9611,1270,-0.18693529961574412
2019-01-23,9650,9650,9539,9539,1149,-0.7491416085735095
2019-01-24,9646,9646,9529,9529,2964,-0.1048327916972429
2019-01-25,9657,9657,9549,9557,5280,0.2938398572777836
2019-01-28,9557,9729,9346,9675,950,1.2346970806738518
2019-01-29,9768,9808,9759,9789,5346,1.1782945736434107
2019-01-30,9912,9943,9912,9943,24042,1.5731944018796609
2019-01-31,9921,10028,9921,10028,24381,0.8548727748164539
2019-02-01,10028,10109,10028,10109,17799,0.8077383326685281
2019-02-07,10159,10159,10057,10115,24090,0.05935305173607676
2019-02-08,10115,10219,10115,10216,14815,0.9985170538803757
2019-02-11,10216,10230,10216,10226,1435,0.09788566953797964
2019-02-12,10248,10266,10248,10266,10584,0.3911597887737141
2019-02-13,10285,10285,10100,10127,696,-1.3539840249366841
2019-02-14,10130,10203,10127,10198,318722,0.7010960797867087
2019-02-15,10244,10244,10216,10241,5716,0.4216513041772897
2019-02-18,10241,10257,10223,10244,4972,0.029294014256420274
2019-02-19,10202,10282,10202,10277,1484,0.3221397891448653
2019-02-20,10277,10304,10252,10304,10432,0.2627225844117933
2019-02-21,10198,10233,10109,10233,2241,-0.6890527950310559
2019-02-22,10275,10275,10194,10237,2107,0.03908922114726864
2019-02-25,10194,10312,10194,10300,8020,0.6154146722672658
2019-02-26,10325,10325,10159,10159,2011,-1.3689320388349515
2019-02-27,10104,10207,10100,10180,5302,0.20671325917905303
2019-02-28,10030,10151,10030,10151,4381,-0.28487229862475444
2019-03-04,10151,10226,9940,10113,7331,-0.37434735494039995
2019-03-05,10113,10159,10113,10120,647,0.06921783842578859
2019-03-06,10159,10189,10127,10184,20044,0.6324110671936759
2019-03-07,10062,10143,10062,10143,2381,-0.40259230164964643
2019-03-08,9968,10113,9960,10098,938,-0.44365572315882873
2019-03-11,10030,10120,9964,10120,974,0.2178649237472767
2019-03-12,10104,10257,10104,10252,16082,1.3043478260869565
2019-03-13,10241,10300,10241,10296,24337,0.4291845493562232
2019-03-14,10248,10333,10248,10291,1083,-0.04856254856254856
2019-03-15,10266,10362,10263,10362,4614,0.6899232338936935
2019-03-18,10362,10362,10296,10308,2867,-0.5211349160393747
2019-03-19,10219,10248,10176,10244,1386,-0.6208769887466046
2019-03-20,10147,10203,10048,10203,5611,-0.40023428348301443
2019-03-21,10115,10237,10052,10237,5093,0.3332353229442321
2019-03-22,10266,10410,10266,10410,5035,1.6899482270196344
2019-03-25,10410,10410,10300,10366,45358,-0.42267050912584053
2019-03-26,10198,10366,10198,10366,2397,0.0
2019-03-27,10300,10474,10300,10469,4971,0.9936330310630909
2019-03-28,10484,10484,10375,10446,3652,-0.2196962460597956
2019-03-29,10383,10514,10383,10514,30426,0.6509668772735976
2019-04-01,10514,10514,10420,10420,6117,-0.8940460338596157
2019-04-02,10529,10529,10433,10514,814,0.9021113243761996
2019-04-03,10533,10564,10503,10524,1013,0.09511128019783147
2019-04-04,10524,10567,10524,10567,1760,0.40858988977575067
2019-04-05,10594,10594,10549,10552,20730,-0.14195135800132488
2019-04-08,10552,10626,10552,10626,4248,0.7012888551933283
2019-04-09,10634,10634,10464,10560,9554,-0.6211180124223602
2019-04-10,10594,10594,10429,10469,11188,-0.8617424242424242
2019-04-11,10616,10616,10507,10582,5340,1.079377208902474
2019-04-12,10582,10582,10495,10578,7778,-0.0378000378000378
2019-04-15,10500,10616,10500,10616,5591,0.3592361505010399
2019-04-16,10647,10647,10529,10552,2319,-0.6028636021100227
2019-04-17,10537,10537,10257,10312,12481,-2.2744503411675514
2019-04-18,10308,10308,10167,10207,9075,-1.0182311869666407
2019-04-19,10375,10375,10223,10275,1581,0.6662094640932693
2019-04-22,10257,10418,10241,10252,7504,-0.22384428223844283
2019-04-23,10226,10226,10104,10167,6326,-0.8291065158017948
2019-04-24,10333,10333,10233,10300,6541,1.3081538310219336
2019-04-25,10488,10488,10330,10406,4084,1.029126213592233
2019-04-26,10406,10406,10320,10402,7315,-0.03843936190659235
2019-04-29,10623,10623,10437,10460,8930,0.5575850797923476
2019-04-30,10446,10446,10274,10358,9654,-0.9751434034416827
2019-05-02,10269,10754,10269,10584,387341,2.181888395443136
2019-05-03,10584,10584,10446,10519,3843,-0.6141345427059712
2019-05-07,10519,10595,10496,10496,6256,-0.21865196311436447
2019-05-08,10485,10485,10287,10370,42554,-1.2004573170731707
2019-05-09,10375,10460,10285,10340,1221,-0.28929604628736744
2019-05-10,10262,10392,10262,10392,3596,0.5029013539651838
2019-05-13,10449,10491,10418,10491,4059,0.9526558891454965
2019-05-14,10491,10491,10475,10488,1386,-0.028595939376608523
2019-05-15,10576,10576,10460,10475,2598,-0.12395118230358504
2019-05-16,10584,10584,10515,10576,3527,0.964200477326969
2019-05-17,10709,10709,10584,10645,3922,0.6524205748865356
2019-05-20,10709,10709,10580,10649,8391,0.03757632691404415
2019-05-21,10614,10614,10456,10501,6874,-1.3898018593295145
