날짜,시가,고가,저가,종가,거래량,등락률
2022-05-17,9288,9293,9257,9265,338011,
2022-05-18,9353,9353,9303,9313,225867,0.5180787911494874
2022-05-19,8914,9013,8914,8978,285212,-3.597122302158273
2022-05-20,8978,8978,8879,8907,361215,-0.7908220093562041
2022-05-23,8934,8953,8907,8948,262708,0.46031211406758726
2022-05-24,9001,9001,8907,8907,216879,-0.45820295037997316
2022-05-25,9013,9013,8944,8973,167100,0.740990232401482
2022-05-26,9052,9052,8958,9013,214138,0.4457817898138861
2022-05-27,9154,9154,9052,9061,252772,0.532564074115167
2022-05-30,9084,9247,9084,9239,241806,1.9644630835448627
2022-05-31,9270,9270,9124,9197,277085,-0.4545946531009849
2022-06-02,9134,9134,9018,9105,404906,-1.00032619332391
2022-06-03,9244,9244,9134,9168,291165,0.6919275123558485
2022-06-07,9234,9239,9173,9209,289146,0.44720767888307156
2022-06-08,9288,9293,9270,9288,206332,0.8578564447822783
2022-06-09,9270,9270,9168,9197,178086,-0.979758828596038
2022-06-10,9061,9105,9047,9105,297645,-1.00032619332391
2022-06-13,8963,8973,8893,8893,303640,-2.328390993959363
2022-06-14,8755,8907,8747,8888,249152,-0.05622399640166423
2022-06-15,8822,8822,8755,8774,223805,-1.2826282628262826
2022-06-16,8832,8832,8730,8730,269447,-0.5014816503305219
2022-06-17,8497,8592,8497,8543,362180,-2.1420389461626574
2022-06-20,8596,8596,8489,8524,18069,-0.2224043076202739
2022-06-21,8601,8625,8553,8610,23155,1.008916001877053
2022-06-22,8730,8730,8638,8642,12670,0.3716608594657375
2022-06-23,8721,8726,8661,8711,9564,0.7984262902105995
2022-06-24,8765,8914,8760,8914,11263,2.330386867179428
2022-06-27,9037,9037,8958,9009,15417,1.0657392865155935
2022-06-28,9009,9009,8944,9009,15577,0.0
2022-06-29,8991,8991,8860,8914,11593,-1.0545010545010547
2022-06-30,8958,8958,8860,8865,15899,-0.549697105676464
2022-07-01,8898,8898,8783,8798,11587,-0.7557811618725324
2022-07-04,8958,8958,8855,8958,11289,1.818595135258013
2022-07-05,8822,9022,8822,9018,12354,0.6697923643670463
2022-07-06,9001,9027,8948,8991,10740,-0.29940119760479045
2022-07-07,9022,9022,8991,9013,8645,0.24468913357802244
2022-07-08,9163,9163,9009,9027,11092,0.15533118828359038
2022-07-11,9070,9070,8963,8982,20385,-0.4985044865403789
2022-07-12,8978,9006,8953,8968,13142,-0.15586729013582723
2022-07-13,9013,9013,8963,8978,7335,0.11150758251561106
2022-07-14,8958,8973,8870,8944,6354,-0.3787034974381822
2022-07-15,9009,9009,8883,9006,11757,0.6932021466905188
2022-07-18,9037,9084,9037,9084,12616,0.866089273817455
2022-07-19,9065,9065,8953,9006,13880,-0.8586525759577279
2022-07-20,9149,9159,9006,9159,10516,1.698867421718854
2022-07-21,9197,9197,9134,9154,15374,-0.05459111256687411
2022-07-22,9197,9219,9168,9219,22199,0.7100720996285776
2022-07-25,9219,9224,9144,9224,14263,0.05423581733376722
2022-07-26,9229,9288,9209,9270,13676,0.4986990459670425
2022-07-27,9270,9322,9270,9322,14695,0.5609492988133765
2022-07-28,9493,9493,9344,9391,23395,0.7401845097618537
2022-07-29,9455,9503,9372,9498,41799,1.139388776488127
2022-08-01,9498,9503,9474,9503,16982,0.05264266161297116
2022-08-02,9503,9550,9474,9503,10955,0.0
2022-08-03,9484,9503,9474,9503,14840,0.0
2022-08-04,9513,9542,9508,9537,30962,0.35778175313059035
2022-08-05,9542,9542,9435,9455,31731,-0.8598091643074343
2022-08-08,9455,9455,9401,9455,15355,0.0
2022-08-09,9484,9575,9459,9532,282376,0.814383923849815
2022-08-10,9532,9623,9508,9623,180309,0.9546789760805706
2022-08-11,9656,9760,9653,9760,36247,1.4236724514184764
2022-08-12,9981,9981,9686,9717,18072,-0.44057377049180324
2022-08-16,9784,9925,9717,9925,37023,2.1405783678089945
2022-08-17,9986,9986,9934,9953,33568,0.28211586901763225
2022-08-18,9953,9981,9915,9977,74125,0.24113332663518536
2022-08-19,9977,10077,9977,10020,69509,0.4309912799438709
2022-08-22,10000,10005,9934,9995,212508,-0.249500998003992
2022-08-23,9789,9915,9789,9880,39434,-1.150575287643822
2022-08-24,9880,9880,9813,9862,38151,-0.18218623481781376
2022-08-25,9911,9939,9862,9939,73953,0.780774690732103
2022-08-26,9949,9949,9899,9920,47560,-0.19116611329107555
2022-08-29,9623,9712,9608,9703,41923,-2.1875
2022-08-30,9686,9756,9686,9742,244466,0.40193754508914764
2022-08-31,9664,9664,9598,9598,24854,-1.478135906384726
2022-09-01,9455,9542,9455,9523,92707,-0.7814127943321526
2022-09-02,9843,9843,9570,9638,29936,1.2076026462249292
2022-09-05,9623,9677,9598,9677,20705,0.4046482672753683
2022-09-06,9677,9717,9633,9717,13392,0.4133512452206263
2022-09-07,9686,9717,9664,9712,20073,-0.051456210764639285
2022-09-08,9839,9929,9839,9929,21462,2.234349258649094
2022-09-13,10029,10092,10029,10049,50594,1.2085809245644072
2022-09-14,9817,9880,9808,9880,46451,-1.6817593790426906
2022-09-15,9875,9875,9831,9858,12497,-0.22267206477732793
2022-09-16,10077,10077,9593,9613,27332,-2.4852911341042807
2022-09-19,9613,9613,9560,9579,26739,-0.3536877145532092
2022-09-20,9677,9751,9677,9712,5739,1.3884539095939035
2022-09-21,9579,9593,9527,9579,14403,-1.3694398682042834
2022-09-22,9455,9560,9435,9560,24233,-0.19835055851341477
2022-09-23,9493,9493,9435,9474,16312,-0.8995815899581591
2022-09-26,9427,9469,9381,9427,18762,-0.4960945746252903
2022-09-27,9427,9435,9396,9408,23506,-0.2015487429723136
2022-09-28,9335,9358,9288,9358,24200,-0.5314625850340136
2022-09-29,9427,9513,9427,9488,15208,1.3891857234451805
2022-09-30,9391,9401,9303,9318,21081,-1.791736930860034
2022-10-04,9542,9542,9498,9513,34423,2.092723760463619
2022-10-05,9628,9628,9542,9555,47017,0.44150110375275936
2022-10-06,9638,9756,9493,9532,62125,-0.24071166928309787
2022-10-07,9417,9440,9372,9401,74153,-1.3743180864456568
2022-10-11,9372,9391,9318,9368,87242,-0.35102648654398466
2022-10-12,9455,9455,9368,9417,45660,0.5230572160546542
2022-10-13,9318,9318,9244,9313,26307,-1.1043856854624616
2022-10-14,9542,9588,9493,9588,34018,2.952861591323956
2022-10-17,9459,9464,9386,9408,55713,-1.877346683354193
2022-10-18,9598,9653,9537,9579,268901,1.8176020408163265
2022-10-19,9613,9677,9579,9653,28963,0.7725232278943522
2022-10-20,9503,9608,9503,9555,35155,-1.015228426395939
