날짜,시가,고가,저가,종가,거래량,등락률
2019-01-02,12585,12645,12580,12635,1149,2.2911269430051817
2019-01-03,12635,12685,12620,12665,6567,0.2374356944994064
2019-01-04,12709,12783,12704,12778,90,0.8922226608764312
2019-01-07,13235,13354,13230,13255,848,3.732978556894663
2019-01-08,13632,13771,13627,13726,3715,3.5533760844964166
2019-01-09,13869,13899,13840,13879,1333,1.11467288357861
2019-01-10,14009,14009,13859,13954,770,0.5403847539448087
2019-01-11,14024,14186,14024,14057,2080,0.7381396015479432
2019-01-14,14072,14146,14067,14116,1301,0.4197197125987053
2019-01-15,14029,14029,13904,13959,886,-1.112213091527345
2019-01-16,14097,14196,14092,14101,1601,1.017264847052081
2019-01-17,14101,14101,14024,14048,1254,-0.37585986809446137
2019-01-18,14181,14245,14181,14201,1293,1.089123006833713
2019-01-21,14447,14447,14339,14409,1678,1.4646855855221463
2019-01-22,14399,14409,14384,14399,1669,-0.06940106877645916
2019-01-23,14324,14324,14151,14241,2302,-1.097298423501632
2019-01-24,14166,14166,14082,14092,1428,-1.0462748402499824
2019-01-25,14067,14111,14009,14082,471,-0.0709622480840193
2019-01-28,14226,14226,14092,14092,170,0.07101264024996448
2019-01-29,13959,13959,13919,13919,346,-1.227646891853534
2019-01-30,13959,13974,13850,13954,983,0.2514548458941016
2019-01-31,13959,13989,13954,13954,1497,0.0
2019-02-01,14048,14201,14048,14146,1381,1.3759495485165543
2019-02-07,14299,14299,14221,14260,159,0.8058815212780999
2019-02-08,14151,14151,13899,13924,598,-2.356241234221599
2019-02-11,14052,14087,13964,14072,5210,1.062912956047113
2019-02-12,14171,14171,14039,14141,2622,0.4903354178510517
2019-02-13,14265,14265,14171,14236,1080,0.6718053885863801
2019-02-14,14236,14280,14221,14231,3255,-0.03512222534419781
2019-02-15,14359,14359,14285,14329,4789,0.6886374815543532
2019-02-18,14552,14552,14512,14522,2990,1.3469188359271407
2019-02-19,14532,14572,14532,14567,953,0.3098746729100675
2019-02-20,14622,14622,14389,14507,1473,-0.411889888103247
2019-02-21,14472,14497,14399,14413,918,-0.6479630523195699
2019-02-22,14181,14280,14171,14186,1119,-1.5749670436411574
2019-02-25,14409,14442,14309,14423,1882,1.670661215282673
2019-02-26,14512,14666,14512,14607,814,1.2757401372807322
