날짜,시가,고가,저가,종가,거래량,등락률
2019-01-02,11624,11795,11624,11638,43495,0.12044046799724707
2019-01-03,11552,11739,11552,11675,5599,0.31792404193160334
2019-01-04,11675,11675,11471,11534,8438,-1.2077087794432548
2019-01-07,11947,11947,11804,11877,16860,2.9738165423963934
2019-01-08,11934,11973,11856,11929,11961,0.4378209985686621
2019-01-09,12033,12067,12014,12062,7417,1.1149300025148796
2019-01-10,12062,12062,11934,11969,2120,-0.7710164151881943
2019-01-11,12067,12091,12004,12062,1483,0.7770072687776757
2019-01-14,12114,12114,11995,12014,355,-0.39794395622616485
2019-01-15,12131,12168,12050,12168,1950,1.2818378558348593
2019-01-16,12168,12203,12131,12168,20179,0.0
2019-01-17,12168,12198,12149,12168,499,0.0
2019-01-18,12231,12345,12231,12308,1042,1.1505588428665352
2019-01-21,12571,12571,12438,12526,23481,1.7712057198570035
2019-01-22,12584,12584,12442,12482,8677,-0.35126935973175794
2019-01-23,12482,12482,12377,12395,2898,-0.6970036853068419
2019-01-24,12475,12491,12434,12475,2342,0.645421540943929
2019-01-25,12521,12521,12442,12442,35435,-0.26452905811623245
2019-01-28,12561,12561,12377,12415,2219,-0.21700691207201414
2019-01-29,12377,12377,12266,12312,5722,-0.8296415626258559
2019-01-30,12475,12475,12359,12390,2639,0.6335282651072125
2019-01-31,12695,12695,12475,12491,1245,0.8151735270379339
2019-02-01,12491,12594,12491,12594,1527,0.8245937074693779
2019-02-07,12658,12813,12658,12789,1466,1.5483563601715102
2019-02-08,12700,12771,12644,12676,2448,-0.8835718195324107
2019-02-11,12676,12749,12658,12749,1757,0.5758914484064374
2019-02-12,12744,12766,12700,12753,1498,0.03137500980469056
2019-02-13,12753,12924,12753,12902,2180,1.1683525444993337
2019-02-14,12902,12945,12892,12942,1873,0.3100294527980158
2019-02-15,12942,12942,12882,12911,2132,-0.23953021171380004
2019-02-18,13017,13156,13017,13124,4462,1.6497560219967469
2019-02-19,13124,13183,13124,13183,23604,0.44955806156659556
2019-02-20,13183,13192,13076,13160,2167,-0.17446711674125767
2019-02-21,13102,13234,13102,13234,24271,0.5623100303951368
2019-02-22,13234,13234,13102,13156,1388,-0.5893909626719057
2019-02-25,13239,13462,13148,13196,10171,0.30404378230465184
2019-02-26,13281,13281,13095,13148,4752,-0.3637465898757199
2019-02-27,13148,13156,13102,13148,4310,0.0
2019-02-28,13148,13148,13099,13143,1212,-0.038028597505324
2019-03-04,13416,13416,13224,13289,4580,1.110857490679449
2019-03-05,13289,13289,13067,13124,4491,-1.2416284144781398
2019-03-06,13116,13148,13071,13138,3404,0.10667479427003963
2019-03-07,12937,13090,12937,13050,1414,-0.6698127568884154
2019-03-08,13008,13036,12973,13022,5349,-0.21455938697318008
2019-03-11,13036,13036,12977,13004,4379,-0.1382276148057134
2019-03-12,13050,13462,13050,13099,36881,0.7305444478621963
2019-03-13,13026,13054,12990,13031,1329,-0.5191235972211619
2019-03-14,13012,13156,13012,13120,1895,0.6829867239659274
2019-03-15,13111,13268,13111,13255,3657,1.0289634146341464
2019-03-18,13247,13268,13229,13263,2545,0.060354583176159944
2019-03-19,13247,13309,13247,13252,5683,-0.08293749528764231
2019-03-20,13247,13247,13188,13229,5100,-0.17355870811952911
2019-03-21,13865,13865,13067,13138,2396,-0.6878826819865448
2019-03-22,13247,13281,13247,13255,671,0.8905465063175522
2019-03-25,12933,13102,12924,13036,4652,-1.6522067144473784
2019-03-26,13102,13156,13045,13138,3703,0.7824486038662166
2019-03-27,13138,13164,13138,13160,2209,0.16745318922210384
2019-03-28,13138,13152,13111,13138,919,-0.16717325227963525
2019-03-29,13138,13263,13138,13229,1638,0.6926472826914294
2019-04-01,13239,13390,13239,13353,3451,0.9373346435860609
2019-04-02,13390,13462,13357,13441,1435,0.6590279337976485
2019-04-03,13441,13482,13408,13482,18293,0.3050368276169928
2019-04-04,13510,13510,13445,13487,1505,0.037086485684616526
2019-04-05,13477,13584,13477,13584,2325,0.7192110921628234
2019-04-08,13584,13707,13527,13584,5832,0.0
2019-04-09,13584,13619,13523,13584,12986,0.0
2019-04-10,13381,13510,13381,13487,3302,-0.7140753828032981
2019-04-11,13556,13556,13436,13482,1745,-0.03707273670942389
2019-04-12,13381,13510,13381,13482,3872,0.0
2019-04-15,13514,13571,13510,13551,3743,0.511793502447708
2019-04-16,13619,13619,13523,13566,4401,0.11069293779056896
2019-04-17,13571,13600,13566,13589,1468,0.16954150081085065
2019-04-18,13589,13589,13519,13551,2592,-0.279637942453455
2019-04-19,13777,13777,13561,13633,3239,0.6051213932551103
2019-04-22,13633,13910,13445,13703,10968,0.5134599867967432
2019-04-23,13732,13732,13610,13671,3604,-0.23352550536378894
2019-04-24,13910,13910,13772,13798,9009,0.9289737400336479
2019-04-25,13798,13942,13798,13923,5234,0.905928395419626
2019-04-26,13610,13869,13610,13848,59171,-0.5386770092652445
2019-04-29,13848,13901,13843,13901,26357,0.3827267475447718
2019-04-30,13942,13955,13901,13955,20423,0.38846126177972806
2019-05-02,13955,13955,13830,13896,6643,-0.4227875313507703
2019-05-03,13883,13937,13838,13923,1892,0.19430051813471502
2019-05-07,13923,13937,13852,13887,5032,-0.25856496444731736
2019-05-08,13772,13772,13680,13728,7904,-1.1449557139771007
2019-05-09,13688,13790,13688,13746,4395,0.13111888111888112
2019-05-10,13751,13833,13655,13741,18821,-0.03637421795431398
2019-05-13,13741,13767,13680,13767,3152,0.1892147587511826
2019-05-14,13336,13680,13336,13680,4552,-0.6319459577249945
2019-05-15,13767,13782,13680,13741,2608,0.44590643274853803
2019-05-16,13782,13787,13728,13772,1085,0.22560221235717925
2019-05-17,13787,13960,13787,13891,2987,0.8640720302062156
2019-05-20,13777,13965,13777,13955,2815,0.46072996904470526
2019-05-21,13955,13955,13861,13928,2891,-0.19347903977069153
2019-05-22,13928,13987,13919,13960,1736,0.22975301550832855
2019-05-23,13960,13960,13817,13822,1755,-0.9885386819484241
2019-05-24,13865,13865,13741,13755,2731,-0.4847344812617566
2019-05-27,13741,13777,13707,13732,2213,-0.1672119229371138
2019-05-28,13737,13848,13728,13802,2554,0.5097582289542675
2019-05-29,13802,13802,13589,13667,3918,-0.9781191131720041
2019-05-30,13667,13667,13500,13536,2712,-0.9585132069949512
2019-05-31,13462,13519,13462,13482,3042,-0.39893617021276595
2019-06-03,13482,13482,13138,13239,6656,-1.8024032042723632
2019-06-04,13371,13371,13239,13319,3839,0.6042752473751795
2019-06-05,13680,13680,13556,13566,4799,1.8544935805991443
2019-06-07,13605,13995,13605,13755,18725,1.393188854489164
2019-06-10,13833,14015,13833,14008,5478,1.8393311523082514
2019-06-11,14025,14025,13919,13999,11797,-0.06424900057110222
2019-06-12,13977,13977,13937,13951,1033,-0.3428816344024573
2019-06-13,13951,13995,13923,13947,622,-0.02867177980073113
2019-06-14,13947,14025,13947,14008,859,0.4373700437370044
2019-06-17,14012,14062,14012,14062,1137,0.3854940034266134
2019-06-18,14058,14062,13992,14062,1806,0.0
2019-06-19,14088,14172,14083,14139,4718,0.5475750248897739
2019-06-20,14144,14153,14035,14045,3203,-0.6648277813140957
2019-06-21,14153,14153,14025,14080,22194,0.2491990032039872
2019-06-24,14080,14098,14004,14070,7810,-0.07102272727272728
2019-06-25,14070,14070,13942,14004,5359,-0.4690831556503198
2019-06-26,14004,14004,13937,13942,3039,-0.4427306483861753
2019-06-27,13942,13960,13914,13960,1095,0.12910629751829006
2019-06-28,13960,13960,13856,13901,33826,-0.4226361031518625
2019-07-01,13987,14153,13987,14153,6818,1.8128192216387309
2019-07-02,14172,14191,14075,14144,7280,-0.06359075814314986
2019-07-03,14144,14245,14144,14231,4337,0.6151018099547512
2019-07-04,14250,14337,14250,14305,4273,0.5199915677043074
2019-07-05,14314,14357,14305,14349,5679,0.30758476057322615
2019-07-08,14362,14376,14286,14352,8450,0.02090738030524775
2019-07-09,14318,14349,14281,14337,12025,-0.10451505016722408
2019-07-10,14352,14376,14276,14337,14349,0.0
2019-07-11,14394,14394,14290,14318,75691,-0.1325242379856316
2019-07-12,14345,14544,14345,14539,13275,1.5435116636401731
2019-07-15,14675,14675,14595,14630,9174,0.6259027443428021
2019-07-16,14675,14684,14618,14630,6701,0.0
2019-07-17,14712,14712,14567,14645,6506,0.10252904989747096
2019-07-18,14645,14645,14489,14494,13325,-1.0310686241037899
2019-07-19,14630,14630,14475,14577,5887,0.572650752035325
2019-07-22,14577,14577,14494,14549,4894,-0.1920834190848597
2019-07-23,14567,14582,14530,14572,7800,0.1580864664238092
2019-07-24,14716,14716,14622,14640,5092,0.4666483667307164
2019-07-25,14640,14670,14549,14670,4833,0.20491803278688525
2019-07-26,14670,14670,14507,14614,5611,-0.38173142467620996
2019-07-29,14630,14721,13822,14604,7489,-0.06842753524018065
2019-07-30,14614,14630,14595,14614,3161,0.06847439057792386
2019-07-31,14614,14618,14567,14614,3347,0.0
2019-08-01,14539,14539,14436,14494,3503,-0.8211304228821678
2019-08-02,13955,14479,13955,14399,7390,-0.6554436318476611
2019-08-05,14372,14489,14372,14466,8538,0.4653100909785402
2019-08-06,13732,14181,13732,14108,34158,-2.4747684225079496
2019-08-07,14281,14314,14204,14276,4827,1.1908137227105189
2019-08-08,14441,14441,14250,14362,3215,0.6024096385542169
2019-08-09,14544,14587,14416,14436,4505,0.5152485726221975
2019-08-12,14656,14656,14471,14562,3631,0.8728179551122194
2019-08-13,14534,14534,14217,14376,5237,-1.277297074577668
2019-08-14,14362,14721,14362,14544,3091,1.1686143572621035
2019-08-16,14045,14208,14045,14200,4869,-2.3652365236523654
2019-08-19,14200,14703,14200,14327,4289,0.8943661971830986
2019-08-20,14450,14450,14318,14406,43236,0.5514064354016891
2019-08-21,14362,14362,14212,14281,6461,-0.867694016382063
2019-08-22,14345,14562,14345,14399,1101,0.8262726699810938
2019-08-23,14502,14502,14399,14466,3530,0.4653100909785402
2019-08-26,13960,14186,13960,14162,5019,-2.1014793308447395
2019-08-27,14337,14345,14222,14290,13965,0.90382714305889
2019-08-28,14332,14332,14227,14310,1975,0.13995801259622112
2019-08-29,14522,14539,14376,14376,6975,0.46121593291404617
2019-08-30,14539,14539,14432,14539,6051,1.1338341680578743
2019-09-02,14539,14562,14432,14475,5507,-0.440195336680652
2019-09-03,14479,14562,14459,14549,1855,0.5112262521588947
2019-09-04,14195,14489,14195,14484,3597,-0.44676610076293904
2019-09-05,14614,14614,14507,14544,2808,0.4142502071251036
2019-09-06,14630,14630,14534,14627,3478,0.5706820682068207
2019-09-09,14649,14649,14526,14618,3039,-0.061530047173036166
2019-09-10,14679,14679,14462,14582,3485,-0.24627171979750992
2019-09-11,14707,14707,14572,14572,1918,-0.06857769853243725
2019-09-16,14712,14712,14577,14635,3501,0.4323359868240461
2019-09-17,14558,14679,14558,14661,2715,0.1776563033823027
2019-09-18,14766,14766,14630,14716,1552,0.37514494236409524
2019-09-19,14716,14813,14399,14735,5793,0.12911117151399837
2019-09-20,14735,14766,14684,14730,4826,-0.0339328130302002
2019-09-23,14716,14716,14675,14716,6201,-0.09504412763068568
2019-09-24,14622,14730,14622,14716,5694,0.0
2019-09-25,14712,14712,14640,14652,5626,-0.4349007882576787
2019-09-26,14771,14771,14675,14721,4981,0.47092547092547093
