날짜,시가,고가,저가,종가,거래량,등락률
2023-06-20,9113,9113,9023,9070,564922,
2023-06-21,9033,9075,9023,9052,752485,-0.19845644983461963
2023-06-22,9052,9057,8999,9057,551833,0.055236411842686704
2023-06-23,9052,9089,9037,9089,615022,0.3533178756762725
2023-06-26,9075,9075,8995,9042,612075,-0.517108592804489
2023-06-27,9062,9079,9023,9062,575791,0.22119000221190005
2023-06-28,9070,9164,9070,9164,566399,1.1255793423085412
2023-06-29,9155,9200,9113,9200,496281,0.39284155390659103
2023-06-30,9261,9275,9230,9271,629174,0.7717391304347826
2023-07-03,9352,9352,9234,9283,680608,0.12943587531010678
2023-07-04,9288,9293,9243,9271,801515,-0.12926855542389315
2023-07-05,9247,9283,9210,9210,663712,-0.6579656994930428
2023-07-06,9210,9239,9186,9222,490292,0.13029315960912052
2023-07-07,9200,9205,9135,9135,491337,-0.9433962264150944
2023-07-10,9126,9126,9079,9094,604187,-0.44882320744389703
2023-07-11,9126,9168,9098,9164,659248,0.7697382889817462
2023-07-12,9176,9210,9164,9190,606181,0.2837189000436491
2023-07-13,9164,9176,9121,9121,615141,-0.750816104461371
2023-07-14,9116,9116,9042,9108,730706,-0.14252823155355773
2023-07-17,9094,9094,9023,9033,631902,-0.8234519104084322
2023-07-18,9023,9037,8963,8987,597236,-0.5092438835381379
2023-07-19,9062,9131,9057,9131,596871,1.602314454211639
2023-07-20,9234,9243,9145,9243,543048,1.2265907348592706
2023-07-21,9288,9395,9288,9385,635807,1.5362977388293844
2023-07-24,9385,9424,9356,9380,618001,-0.05327650506126798
2023-07-25,9440,9449,9395,9410,634892,0.31982942430703626
2023-07-26,9395,9414,9365,9375,755010,-0.37194473963868224
2023-07-27,9375,9428,9335,9428,554375,0.5653333333333334
2023-07-28,9455,9455,9365,9385,720572,-0.45608824777259227
2023-07-31,9400,9428,9365,9400,594189,0.15982951518380392
2023-08-01,9424,9482,9410,9482,473864,0.8723404255319148
2023-08-02,9460,9514,9437,9509,444667,0.28475005273149123
2023-08-03,9482,9496,9445,9450,420815,-0.6204648227994531
2023-08-04,9450,9546,9445,9541,295049,0.962962962962963
2023-08-07,9541,9541,9419,9482,268867,-0.6183838172099361
2023-08-08,9569,9595,9509,9590,321344,1.139000210925965
2023-08-09,9587,9603,9569,9578,444149,-0.1251303441084463
2023-08-10,9565,9608,9560,9587,460287,0.09396533723115473
2023-08-11,9573,9618,9569,9618,492088,0.3233545426097841
2023-08-14,9670,9697,9646,9670,654494,0.5406529423996673
2023-08-16,9631,9631,9598,9598,476359,-0.7445708376421923
2023-08-17,9590,9631,9573,9631,247896,0.3438216295061471
2023-08-18,9623,9623,9546,9587,353922,-0.45685806250648947
2023-08-21,9587,9641,9587,9641,286647,0.5632627516428497
2023-08-22,9641,9651,9583,9595,481129,-0.4771289285343844
2023-08-23,9565,9573,9532,9569,374599,-0.2709744658676394
2023-08-24,9598,9598,9496,9519,683576,-0.5225206395652628
