날짜,시가,고가,저가,종가,거래량,등락률
2019-01-02,9235,9267,9134,9146,13410,-1.2630897117564504
2019-01-03,9166,9192,9089,9121,57494,-0.27334353815875795
2019-01-04,9144,9226,9107,9214,22141,1.019625041113913
2019-01-07,9346,9346,9285,9341,593,1.3783373127848926
2019-01-08,9372,9372,9293,9336,3092,-0.053527459586768016
2019-01-09,9388,9511,9388,9494,52818,1.6923736075407025
2019-01-10,9454,9478,9429,9470,29161,-0.25279123657046554
2019-01-11,9455,9515,9452,9512,50432,0.44350580781415
2019-01-14,9480,9502,9406,9463,36595,-0.5151387720773759
2019-01-15,9540,9575,9512,9519,26848,0.5917785057592729
2019-01-16,9488,9583,9488,9568,526,0.5147599537766572
2019-01-17,9565,9601,9555,9605,456,0.3867056856187291
2019-01-18,9645,9743,9645,9728,3512,1.2805830296720457
2019-01-21,9737,9800,9706,9731,955,0.030838815789473683
2019-01-22,9711,9719,9662,9719,28346,-0.12331723358339328
2019-01-23,9678,9791,9648,9796,5857,0.7922625784545735
2019-01-24,9695,9777,9695,9781,4281,-0.15312372396896692
2019-01-25,9703,9796,9703,9788,1696,0.07156732440445762
2019-01-28,9685,9817,9685,9821,59104,0.3371475275847977
2019-01-29,9786,9786,9727,9788,125662,-0.33601466245799816
2019-01-30,9810,9868,9749,9870,37603,0.8377605230894973
2019-01-31,9917,9935,9840,9938,1470,0.6889564336372846
2019-02-01,9898,9942,9852,9934,38359,-0.04024954719259408
2019-02-07,9950,9953,9844,9950,14849,0.16106301590497282
2019-02-08,9821,9903,9813,9901,27279,-0.49246231155778897
2019-02-11,9911,9939,9809,9895,27321,-0.0605999394000606
2019-02-12,9881,9890,9853,9865,29357,-0.30318342597271347
2019-02-13,9809,9874,9809,9873,26253,0.08109477952356817
2019-02-14,9816,9852,9745,9857,637,-0.16205813835713562
2019-02-15,9820,9848,9765,9823,712,-0.34493253525413414
2019-02-18,9812,9907,9812,9910,2961,0.8856764735824088
2019-02-19,9873,9884,9839,9885,201,-0.2522704339051463
2019-02-20,9880,9987,9861,9974,974,0.900354071825999
2019-02-21,9988,10017,9943,10019,1800,0.4511730499298175
2019-02-22,10007,10035,9999,10032,4053,0.12975346841002094
2019-02-25,10044,10060,10019,10044,1585,0.11961722488038277
2019-02-26,10052,10065,10013,10015,59796,-0.28872958980485863
2019-02-27,10025,10105,10025,10109,16261,0.9385921118322517
2019-02-28,10118,10138,9980,9983,6173,-1.246414086457612
2019-03-04,10004,10110,9984,10009,239492,0.26044275267955524
2019-03-05,9984,10002,9951,10000,20442,-0.089919072834449
2019-03-06,9994,10044,9950,10023,17846,0.22999999999999998
2019-03-07,9999,10008,9914,9972,36106,-0.5088296917090691
2019-03-08,9880,9898,9774,9800,2819,-1.7248295226634576
2019-03-11,9759,9824,9737,9828,18025,0.2857142857142857
2019-03-12,9860,9926,9860,9926,49551,0.9971509971509971
2019-03-13,9918,9962,9881,9959,888,0.3324602055208543
2019-03-14,9947,10015,9930,10011,49161,0.5221407771864645
2019-03-15,10057,10137,10057,10133,80303,1.2186594745779644
2019-03-18,10130,10130,10025,10093,173712,-0.3947498272969505
2019-03-19,10046,10084,10015,10044,2377,-0.4854849895967502
2019-03-20,9980,10032,9952,10037,2622,-0.06969334926324174
2019-03-21,9979,10044,9866,9895,4580,-1.4147653681378898
2019-03-22,9839,9884,9796,9837,2833,-0.586154623547246
2019-03-25,9719,9752,9670,9682,12453,-1.5756836433872115
2019-03-26,9657,9731,9657,9728,785,0.4751084486676307
2019-03-27,9752,9752,9649,9724,3465,-0.041118421052631575
2019-03-28,9652,9669,9592,9626,543,-1.0078157136980668
2019-03-29,9596,9669,9596,9662,11247,0.3739871182214835
2019-04-01,9662,9845,9662,9841,126158,1.8526185054854065
2019-04-02,9823,9823,9759,9804,39475,-0.3759780510110761
2019-04-03,9748,9862,9723,9865,34823,0.6221950224398204
2019-04-04,9888,9926,9848,9926,37189,0.6183476938672072
2019-04-05,9921,9942,9893,9942,41952,0.1611928269192021
2019-04-08,9922,10000,9922,10000,45685,0.5833836250251458
2019-04-09,9980,10025,9948,10009,93109,0.09
2019-04-10,9951,10077,9951,10077,12262,0.6793885503047258
2019-04-11,10045,10076,10036,10048,558,-0.2877840627170785
2019-04-12,10001,10079,10001,10072,1102,0.23885350318471338
2019-04-15,10069,10094,10036,10061,7704,-0.10921366163621922
2019-04-16,10033,10121,10033,10119,1324,0.5764834509492098
2019-04-17,10116,10116,10073,10119,398,0.0
2019-04-18,10132,10137,9989,10044,84714,-0.7411799584939223
2019-04-19,10020,10043,9987,10040,623,-0.039824771007566706
2019-04-22,10020,10031,9951,10019,4348,-0.20916334661354583
2019-04-23,9990,10036,9947,10040,25665,0.20960175666234157
2019-04-24,10016,10044,9934,9963,122419,-0.7669322709163346
2019-04-25,9942,9942,9870,9881,9083,-0.823045267489712
2019-04-26,9874,9874,9779,9800,7804,-0.8197550855176601
2019-04-29,9817,9947,9751,9949,102485,1.5204081632653061
2019-04-30,9953,9953,9819,9887,39146,-0.6231782088652126
2019-05-02,9820,9922,9817,9925,18672,0.3843430767674724
2019-05-03,9864,9864,9810,9814,1741,-1.1183879093198992
2019-05-07,9696,9696,9642,9680,9870,-1.3653963725290401
2019-05-08,9570,9708,9570,9712,9671,0.3305785123966942
2019-05-09,9663,9663,9474,9476,74265,-2.42998352553542
2019-05-10,9491,9519,9361,9455,4264,-0.22161249472351205
2019-05-13,9372,9372,9286,9288,53690,-1.7662612374405078
2019-05-14,9255,9325,9184,9321,161234,0.355297157622739
2019-05-15,9262,9374,9253,9375,130554,0.5793369810106211
2019-05-16,9385,9385,9248,9259,5199,-1.2373333333333334
2019-05-17,9326,9326,9202,9209,49885,-0.5400151204233719
2019-05-20,9232,9232,9136,9139,12149,-0.7601259637311326
2019-05-21,9106,9140,9069,9118,38632,-0.2297844403107561
2019-05-22,9110,9110,9039,9076,4277,-0.46062733055494626
2019-05-23,9072,9072,8949,8997,566,-0.8704275011018069
