날짜,시가,고가,저가,종가,거래량,등락률
2023-10-17,9167,9167,9063,9086,273565,
2023-10-18,9103,9286,9103,9264,952926,1.9590578912612813
2023-10-19,9221,9221,9111,9145,402922,-1.2845423143350603
2023-10-20,9094,9136,9043,9123,300643,-0.2405686167304538
2023-10-23,9115,9115,8893,8922,490803,-2.203222624136797
2023-10-24,8988,8988,8860,8917,526456,-0.05604124635731898
2023-10-25,8917,8957,8865,8941,268667,0.2691488168666592
2023-10-26,8927,8936,8818,8837,294621,-1.1631808522536629
2023-10-27,8860,8931,8706,8752,338249,-0.9618648862736223
2023-10-30,8694,8694,8447,8562,345012,-2.170932358318099
2023-10-31,8594,8651,8537,8567,210237,0.0583975706610605
2023-11-01,8598,8656,8559,8656,316957,1.0388700828761528
2023-11-02,8691,8767,8519,8554,363383,-1.1783733826247689
2023-11-03,8580,8678,8571,8678,278845,1.4496142155716623
2023-11-06,8739,8941,8661,8941,427823,3.0306522240147498
2023-11-07,8870,8870,8691,8767,354958,-1.9460910412705514
2023-11-08,8767,8767,8694,8699,355157,-0.7756359073799475
2023-11-09,8699,8806,8699,8771,306633,0.827681342683067
2023-11-10,8724,8814,8724,8791,330852,0.22802417056207958
2023-11-13,8841,8841,8776,8810,31665,0.2161301330906609
2023-11-14,8837,8927,8837,8917,51332,1.214528944381385
2023-11-15,8966,9015,8903,8975,44156,0.6504429740944263
2023-11-16,8988,9011,8917,8953,43262,-0.24512534818941506
2023-11-17,8980,8980,8922,8949,42411,-0.044677761644141625
2023-11-20,8898,8966,8879,8944,56294,-0.05587216448765225
2023-11-21,8957,9001,8941,8992,37188,0.5366726296958855
2023-11-22,8961,9035,8949,9015,64431,0.2557829181494662
2023-11-23,9035,9081,9001,9020,36069,0.055463117027176934
2023-11-24,9078,9078,9001,9011,40941,-0.09977827050997783
2023-11-27,8992,9011,8949,8975,32056,-0.3995117079125513
2023-11-28,8984,9030,8931,9030,67071,0.6128133704735376
2023-11-29,8980,8992,8922,8944,69524,-0.9523809523809524
2023-11-30,8931,9006,8903,9001,63064,0.6372987477638641
2023-12-01,9025,9025,8957,8975,70523,-0.28885679368959005
2023-12-04,8975,8997,8953,8961,64021,-0.15598885793871867
2023-12-05,8961,8961,8893,8949,72219,-0.13391362571141616
2023-12-06,8944,9030,8941,8970,52942,0.23466309084813944
2023-12-07,8941,8941,8889,8910,133339,-0.6688963210702341
2023-12-08,8910,8944,8910,8936,66627,0.29180695847362514
2023-12-11,8941,8949,8906,8944,81821,0.08952551477170993
2023-12-12,8949,9006,8949,8997,64679,0.5925760286225402
2023-12-13,9011,9038,8980,8988,98934,-0.10003334444814939
2023-12-14,9038,9058,9001,9038,58070,0.5562972852692478
2023-12-15,9086,9145,9058,9128,75194,0.9957955299845098
2023-12-18,9119,9119,9043,9073,95635,-0.6025416301489921
2023-12-19,9035,9058,8992,9038,44480,-0.3857599470957787
2023-12-20,9111,9154,9068,9149,70952,1.2281478203142289
2023-12-21,9119,9172,9099,9128,61526,-0.22953328232593728
2023-12-22,9177,9177,9123,9131,55436,0.03286590709903593
2023-12-26,9154,9172,9123,9172,133896,0.4490198225824115
2023-12-27,9172,9172,9048,9115,219410,-0.6214566070649804
2023-12-28,9119,9255,9086,9255,86619,1.5359297860669225
2024-01-02,9191,9200,9035,9154,284896,-1.091301998919503
2024-01-03,9115,9115,9030,9035,164403,-1.2999781516277036
2024-01-04,8997,9001,8870,8889,418220,-1.6159380188157169
2024-01-05,8865,8865,8806,8846,276507,-0.483743953200585
2024-01-08,8855,8893,8806,8846,250226,0.0
2024-01-09,8875,8906,8865,8906,144620,0.6782726656115758
2024-01-10,8879,8879,8814,8823,196085,-0.9319559847293959
2024-01-11,8855,8915,8827,8827,184595,0.04533605349654313
2024-01-12,8827,8884,8806,8810,184700,-0.1925909142403988
2024-01-15,8810,8936,8810,8898,137217,0.9988649262202044
2024-01-16,8898,8898,8814,8846,238261,-0.5844009889862891
2024-01-17,8846,8870,8752,8757,318999,-1.0061044539905042
2024-01-18,8757,8757,8678,8715,233899,-0.4796163069544364
2024-01-19,8724,8760,8683,8752,196271,0.42455536431440044
2024-01-22,8760,8791,8715,8767,226356,0.17138939670932357
2024-01-23,8814,8957,8814,8953,223630,2.121592334892209
2024-01-24,8953,9162,8949,9099,466015,1.6307383000111693
2024-01-25,9099,9158,9038,9149,262186,0.5495109352676119
2024-01-26,9149,9245,9119,9214,130912,0.710460159580282
2024-01-29,9225,9521,9209,9476,220236,2.8434990232255264
2024-01-30,9513,9566,9439,9487,217355,0.11608273533136346
2024-01-31,9457,9739,9453,9734,320572,2.6035627701064614
2024-02-01,9787,10384,9783,10359,1066747,6.420793096363263
2024-02-02,10506,10776,10175,10756,1062887,3.832416256395405
2024-02-05,10742,10747,10217,10583,701192,-1.6084046113796953
2024-02-06,10501,10682,10379,10414,596781,-1.5969006897855051
2024-02-07,10341,10695,10277,10645,685330,2.218167850969848
2024-02-08,10645,10889,10602,10889,279272,2.2921559417566932
2024-02-13,10960,11116,10752,10862,408292,-0.24795665350353566
2024-02-14,10781,10781,10514,10542,270348,-2.9460504511139756
2024-02-15,10524,10602,10469,10501,163303,-0.38892050844242076
2024-02-16,10560,10867,10492,10867,289803,3.485382344538615
2024-02-19,10994,11206,10920,11145,570696,2.5582037360817154
2024-02-20,11240,11240,10704,10858,296106,-2.575145805293854
2024-02-21,10841,10947,10645,10841,196781,-0.1565665868484067
2024-02-22,10867,10925,10660,10884,459412,0.39664237616456044
2024-02-23,10925,11163,10898,11090,1419973,1.89268651231165
2024-02-26,10867,10876,10274,10682,3551548,-3.6789900811541933
2024-02-27,10660,10858,10587,10716,371375,0.3182924545965175
2024-02-28,10748,10991,10686,10991,215646,2.5662560656961553
2024-02-29,10991,11199,10977,11152,961487,1.464834864889455
2024-03-04,11223,11543,11083,11510,411594,3.2101865136298424
2024-03-05,11513,11811,11455,11466,392001,-0.3822762814943528
2024-03-06,11466,11570,11374,11482,3651791,0.13954299668585382
2024-03-07,11455,11662,11426,11635,457332,1.3325204668176276
2024-03-08,11649,11687,11560,11616,315040,-0.1633003867640739
2024-03-11,11555,11611,11426,11578,214749,-0.3271349862258953
2024-03-12,11587,11811,11501,11644,214587,0.570046640179651
2024-03-13,11717,12047,11649,11966,271541,2.7653727241497768
2024-03-14,11976,12451,11930,12451,293075,4.0531505933478185
2024-03-15,12344,12442,12188,12202,607229,-1.9998393703317001
2024-03-18,12132,12136,11690,12011,1446356,-1.5653171611211276
2024-03-19,11875,11921,11749,11749,291626,-2.1813337773707433
2024-03-20,11875,12183,11875,11926,208770,1.50651119244191
2024-03-21,11996,12362,11996,12325,347581,3.3456313935938287
2024-03-22,12202,12388,12158,12286,2585518,-0.31643002028397565
2024-03-25,12265,12344,12019,12150,1096860,-1.1069510011395085
2024-03-26,12091,12325,12056,12104,1335165,-0.3786008230452675
2024-03-27,12178,12178,11601,11635,750590,-3.874752148050231
2024-03-28,11688,11841,11680,11746,454994,0.954018048990116
2024-03-29,11817,11817,11482,11538,707444,-1.77081559679891
2024-04-01,11538,11555,11252,11359,1475780,-1.5513953891488992
2024-04-02,11241,11415,11164,11338,366463,-0.18487542917510344
2024-04-03,11314,11314,11154,11159,1100526,-1.5787616863644383
2024-04-04,11136,11501,11136,11400,336300,2.1596917286495207
2024-04-05,11279,11440,11275,11314,199893,-0.7543859649122807
2024-04-08,11314,11570,11314,11455,327152,1.2462435920098993
2024-04-09,11510,11560,11292,11328,226189,-1.1086861632474903
2024-04-11,10865,11252,10820,11164,347030,-1.4477401129943503
2024-04-12,11060,11064,10758,10788,1654610,-3.367968470082408
2024-04-15,10763,10883,10573,10851,450783,0.5839822024471636
2024-04-16,10791,10828,10569,10691,374029,-1.4745184775596718
2024-04-17,10691,10736,10547,10547,469601,-1.3469273220465812
2024-04-18,10592,10820,10578,10749,273639,1.9152365601592871
2024-04-19,10621,10717,10538,10717,434363,-0.29770211182435574
2024-04-22,11025,11364,11025,11319,765695,5.6172436316133245
2024-04-23,11350,11630,11347,11435,570818,1.024825514621433
2024-04-24,11474,11601,11300,11319,267608,-1.014429383471797
2024-04-25,11202,11478,11188,11350,281339,0.2738757840798657
2024-04-26,11464,11963,11464,11860,516928,4.493392070484582
2024-04-29,11855,11989,11728,11906,271387,0.387858347386172
2024-04-30,11886,11924,11723,11826,266956,-0.6719301192675962
2024-05-02,11680,11718,11485,11509,280452,-2.680534415694233
2024-05-03,11610,11750,11610,11649,309351,1.2164393083673648
2024-05-07,11709,11817,11587,11704,439084,0.4721435316336166
2024-05-08,11728,12050,11728,12014,341513,2.6486671223513327
2024-05-09,11994,12059,11850,11877,360581,-1.1403362743465957
2024-05-10,12017,12306,11999,12140,4259900,2.214363896606887
2024-05-13,12275,12492,12173,12297,2263978,1.2932454695222406
2024-05-14,12252,12252,12082,12104,551327,-1.5694884931284052
2024-05-16,12128,12502,12128,12385,380256,2.3215465961665562
2024-05-17,12327,12350,12222,12262,487441,-0.9931368591037545
