date,A091160,A099140,A133690,A139260,A168580,A192090,A195980,A200250,A245360,A245710,A250730,A256440,A280320,A283580,A287180,A291130,A304940,A305540,A305720,A314250,A363580,A364980,A367380,A371160,A371460,A372330,A379810,A381170,A381180,A390390,A396500,A414780,A448300,A453810,A453870,A456600,A462010,A463680,A465580,A474220,A483280,A487230,A497570
2019-01-02,16323.0,16665.0,30645.0,17256.0,16377.0,5910.0,9586.0,12520.0,9751.0,12519.0,10630.0,9391.0,10494.0,7004.0,9672.0,8340.0,8086.0,7709.0,8037.0,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,15671.0,16741.0,30381.0,16779.0,16303.0,5856.0,9511.0,12350.0,9756.0,12205.0,10630.0,9426.0,10499.0,7004.0,9662.0,8483.0,8022.0,7438.0,7844.0,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-04,15354.0,16937.0,30470.0,16779.0,16738.0,5975.0,9576.0,12325.0,9933.0,12085.0,10785.0,9635.0,10435.0,7140.0,9493.0,8582.0,8066.0,7438.0,7882.0,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-07,15634.0,17137.0,31457.0,17320.0,16983.0,6058.0,9796.0,12365.0,10021.0,12335.0,10910.0,9924.0,10888.0,7220.0,9767.0,8720.0,8324.0,7803.0,8249.0,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-08,15657.0,17233.0,31909.0,17147.0,16807.0,6048.0,9776.0,12330.0,10070.0,12250.0,10978.0,9764.0,10918.0,7220.0,9981.0,8764.0,8409.0,7734.0,8249.0,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-09,16513.0,17660.0,32263.0,17814.0,17183.0,6181.0,9895.0,12340.0,10324.0,12365.0,11239.0,9814.0,11386.0,7376.0,9986.0,8976.0,8523.0,7965.0,8462.0,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-10,16779.0,17618.0,31953.0,17968.0,17169.0,6190.0,9985.0,12265.0,10283.0,12399.0,11234.0,9884.0,11337.0,7376.0,10021.0,9045.0,8473.0,7970.0,8490.0,10033.0,,,,,,,,,,,,,,,,,,,,,,,
2019-01-11,16803.0,17627.0,32098.0,18238.0,17296.0,6246.0,10025.0,12190.0,10316.0,12504.0,11326.0,9924.0,11441.0,7426.0,10106.0,9035.0,8533.0,7975.0,8485.0,10168.0,,,,,,,,,,,,,,,,,,,,,,,
2019-01-14,16471.0,17472.0,31909.0,17948.0,17154.0,6171.0,9920.0,12130.0,10218.0,12434.0,11157.0,9904.0,11327.0,7391.0,10081.0,8951.0,8448.0,7925.0,8428.0,10083.0,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15,16726.0,17809.0,32185.0,18366.0,17369.0,6268.0,10030.0,12210.0,10385.0,12549.0,11283.0,9993.0,11396.0,7460.0,10120.0,9188.0,8533.0,8072.0,8558.0,10173.0,,,,,,,,,,,,,,,,,,,,,,,
2019-01-16,16937.0,17785.0,32531.0,18544.0,17364.0,6285.0,10030.0,12240.0,10406.0,12594.0,11317.0,10013.0,11608.0,7479.0,10180.0,9183.0,8627.0,8127.0,8645.0,10372.0,,,,,,,,,,,,,,,,,,,,,,,
2019-01-17,17070.0,17921.0,32492.0,18359.0,17408.0,6285.0,10120.0,12255.0,10457.0,12594.0,11466.0,10103.0,11579.0,7498.0,10096.0,9238.0,8602.0,7935.0,8510.0,10333.0,,,,,,,,,,,,,,,,,,,,,,,
2019-01-18,17154.0,17962.0,33009.0,18467.0,17560.0,6346.0,10155.0,12260.0,10508.0,12479.0,11466.0,10098.0,11722.0,7564.0,10285.0,9282.0,8721.0,7955.0,8549.0,10462.0,,,,,,,,,,,,,,,,,,,,,,,
2019-01-21,17688.0,18149.0,33299.0,18722.0,17834.0,6441.0,10160.0,12350.0,10663.0,12654.0,11539.0,10158.0,11835.0,7626.0,10479.0,9307.0,8756.0,7915.0,8539.0,10323.0,,,,,,,,,,,,,,,,,,,,,,,
2019-01-22,17540.0,18081.0,33042.0,18481.0,17667.0,6365.0,10125.0,12315.0,10556.0,12679.0,11471.0,10073.0,11810.0,7540.0,10399.0,9223.0,8701.0,7865.0,8500.0,10248.0,,,,,,,,,,,,,,,,,,,,,,,
2019-01-23,17607.0,18118.0,32701.0,18559.0,17648.0,6318.0,10115.0,12295.0,10580.0,12614.0,11534.0,10153.0,11613.0,7521.0,10310.0,9139.0,8632.0,7870.0,8519.0,10048.0,,,,,,,,,,,,,,,,,,,,,,,
2019-01-24,18044.0,18196.0,32891.0,18749.0,17731.0,6391.0,10175.0,12245.0,10637.0,12614.0,11520.0,10118.0,11564.0,7606.0,10240.0,9183.0,8617.0,7865.0,8477.0,9963.0,,,,,,,,,,,,,,,,,,,,,,,
2019-01-25,18600.0,18326.0,33144.0,19634.0,17839.0,6427.0,10315.0,12295.0,10757.0,12694.0,11732.0,10153.0,11697.0,7668.0,10619.0,9213.0,8711.0,8175.0,8756.0,10158.0,,,,,,,,,,,,,,,,,,,,,,,
2019-01-28,18552.0,18376.0,32974.0,19405.0,17839.0,6419.0,10305.0,11940.0,10735.0,12649.0,11713.0,10148.0,11815.0,7644.0,10688.0,9154.0,8741.0,8137.0,8721.0,10273.0,,,,,,,,,,,,,,,,,,,,,,,
2019-01-29,18890.0,18313.0,32462.0,19624.0,17800.0,6423.0,10255.0,11915.0,10719.0,12589.0,11684.0,10053.0,11737.0,7690.0,10559.0,9144.0,8662.0,8185.0,8736.0,10088.0,,,,,,,,,,,,,,,,,,,,,,,
2019-01-30,19404.0,18380.0,32551.0,19800.0,17922.0,6446.0,10340.0,11890.0,10719.0,12644.0,11698.0,10028.0,11697.0,7659.0,10529.0,9144.0,8637.0,8156.0,8817.0,9953.0,,,,,,,,,,,,,,,,,,,,,,,
2019-01-31,19134.0,18474.0,33130.0,19517.0,17917.0,6446.0,10465.0,12010.0,10830.0,12494.0,11921.0,10153.0,11889.0,7686.0,10703.0,9006.0,8860.0,8127.0,8711.0,10337.0,,,,,,,,,,,,,,,,,,,,,,,
2019-02-01,19170.0,18709.0,33575.0,19629.0,18039.0,6502.0,10515.0,12210.0,10938.0,12524.0,11921.0,10307.0,12008.0,7772.0,10803.0,9129.0,8905.0,8137.0,8716.0,10517.0,,,,,,,,,,,,,,,,,,,,,,,
2019-02-07,19788.0,18709.0,34230.0,19907.0,18181.0,6579.0,10435.0,12385.0,10885.0,12579.0,11911.0,10267.0,12304.0,7838.0,11291.0,9164.0,9009.0,8401.0,8957.0,10757.0,,,,,,,,,,,,,,,,,,,,,,,
2019-02-08,19284.0,18535.0,33575.0,19410.0,18078.0,6520.0,10375.0,12265.0,10860.0,12569.0,11790.0,10133.0,12067.0,7780.0,11117.0,9124.0,8890.0,8331.0,8842.0,10412.0,,,,,,,,,,,,,,,,,,,,,,,
2019-02-11,19222.0,18657.0,33902.0,19648.0,18289.0,6626.0,10390.0,12275.0,10912.0,12758.0,11848.0,10153.0,12185.0,7875.0,11132.0,9104.0,8935.0,8321.0,8847.0,10427.0,,,,,,,,,,,,,,,,,,,,,,,
2019-02-12,19533.0,18714.0,34141.0,19945.0,18631.0,6697.0,10400.0,12265.0,10945.0,12988.0,11979.0,10013.0,12210.0,7961.0,11251.0,9070.0,8989.0,8381.0,8827.0,10497.0,,,,,,,,,,,,,,,,,,,,,,,
2019-02-13,20155.0,18942.0,34482.0,20036.0,18954.0,6817.0,10470.0,12305.0,11075.0,13082.0,12134.0,9968.0,12417.0,8144.0,11415.0,9040.0,9108.0,8499.0,8928.0,10632.0,,,,,,,,,,,,,,,,,,,,,,,
2019-02-14,20555.0,18950.0,34546.0,20328.0,19193.0,6826.0,10340.0,12175.0,11099.0,13242.0,12138.0,9849.0,12358.0,8220.0,11470.0,8818.0,9108.0,8539.0,8972.0,10622.0,,,,,,,,,,,,,,,,,,,,,,,
2019-02-15,19908.0,18690.0,34337.0,19865.0,18826.0,6757.0,10310.0,12050.0,10921.0,13247.0,11877.0,9809.0,12353.0,8087.0,11435.0,8951.0,9078.0,8446.0,8886.0,10577.0,,,,,,,,,,,,,,,,,,,,,,,
2019-02-18,20145.0,18932.0,34576.0,20132.0,19252.0,6911.0,10345.0,11950.0,11099.0,13192.0,12100.0,9958.0,12397.0,8313.0,11450.0,9021.0,9123.0,8623.0,9064.0,10582.0,,,,,,,,,,,,,,,,,,,,,,,
2019-02-19,20107.0,19005.0,34712.0,20064.0,19218.0,6921.0,10295.0,12000.0,11104.0,13412.0,12085.0,10018.0,12427.0,8257.0,11515.0,8976.0,9128.0,8672.0,9185.0,10577.0,,,,,,,,,,,,,,,,,,,,,,,
2019-02-20,20496.0,19005.0,34727.0,20342.0,19399.0,6986.0,10465.0,11960.0,11154.0,13337.0,12182.0,10008.0,12466.0,8337.0,11455.0,8966.0,9123.0,8676.0,9213.0,10642.0,,,,,,,,,,,,,,,,,,,,,,,
2019-02-21,20467.0,19181.0,34680.0,20239.0,19423.0,7060.0,10515.0,12150.0,11217.0,13466.0,12230.0,10008.0,12442.0,8385.0,11525.0,9045.0,9178.0,8608.0,9137.0,10652.0,,,,,,,,,,,,,,,,,,,,,,,
2019-02-22,20449.0,19181.0,34477.0,20278.0,19780.0,7082.0,10510.0,12135.0,11224.0,13646.0,12172.0,10008.0,12353.0,8413.0,11460.0,9045.0,9083.0,8426.0,8967.0,10507.0,,,,,,,,,,,,,,,,,,,,,,,
2019-02-25,20925.0,19557.0,34865.0,20249.0,21027.0,7548.0,10565.0,12160.0,11427.0,13746.0,12530.0,10033.0,12545.0,8969.0,11540.0,9169.0,9198.0,8574.0,9026.0,10672.0,,,,,,,,,,,,,,,,,,,,,,,
2019-02-26,20679.0,19528.0,34482.0,20105.0,20895.0,7548.0,10615.0,12140.0,11408.0,13526.0,12501.0,10028.0,12511.0,8977.0,11550.0,9134.0,9143.0,8431.0,8947.0,10662.0,,,,,,,,,,,,,,,,,,,,,,,
2019-02-27,20536.0,19532.0,34757.0,20105.0,20773.0,7461.0,10645.0,12150.0,11376.0,13556.0,12525.0,10063.0,12540.0,8870.0,11500.0,9104.0,9198.0,8469.0,8977.0,10652.0,,,,,,,,,,,,,,,,,,,,,,,
2019-02-28,19884.0,19299.0,34690.0,19643.0,20734.0,7408.0,10565.0,12120.0,11276.0,13402.0,12332.0,9914.0,12531.0,8836.0,11465.0,8966.0,9173.0,8336.0,8856.0,10612.0,,,,,,,,,,,,,,,,,,,,,,,
2019-03-04,20006.0,19749.0,35352.0,19545.0,21511.0,7636.0,10495.0,11895.0,11551.0,13586.0,12675.0,9899.0,12614.0,9167.0,11610.0,8956.0,9302.0,8346.0,8861.0,10737.0,,,,,,,,,,,,,,,,,,,,,,,
