keyword,date,title
MSCI ACWI,2025.06.01,"대신증권, 세계적 캐피털그룹 '뉴 퍼스펙티브 펀드'에 100% 투자"
MSCI ACWI,2025.05.30,1분기 美하락장 못피해 국민연금 0%대 수익률
MSCI ACWI,2025.05.30,"“너 이걸 성적표라고 받아왔니”…모범생 국민연금의 굴욕, 해외주식 수익률 마이너스"
MSCI ACWI,2025.05.06,트럼프에 흔들리는 美증시 … 이젠 中·유럽 주식도 관심 둬야
MSCI ACWI,2025.05.02,"“일단 가지고 있어, 그러면 유리해”…잠 못드는 서학개미 위한 투자길잡이"
MSCI ACWI,2025.05.02,"""美 AI·반도체주 상승 여력 충분 … 中 첨단기술주에도 분산을"""
MSCI ACWI,2025.02.18,"대신증권, 세계적 자산운용사 협업 … 트렌드 선도기업 '장투'"
MSCI ACWI,2025.01.24,"국민연금, 국장에선 -5% 미장에선 30% 벌었다 ···지난해 1~11월 수익률 12.6%"
MSCI ACWI,2025.11.16,"대신증권, 캐피털그룹 '뉴 퍼스펙티브 펀드'에 100% 투자"
MSCI ACWI,2025.11.13,MSCI 선진국지수 편입되면… 불붙은 ‘국장’에 대규모 자금유입 기대
MSCI ACWI,2025.10.28,타임폴리오의 ‘핫한 ETF 모은 ETF’…글로벌탑픽액티브 상장
MSCI ACWI,2025.10.27,“국내 증시 미국 압도했다”…코스피 64% 치솟는 동안 미 S&P는 15% 그쳐
MSCI ACWI,2025.07.30,"‘국장이 효자네’…국민연금, 5월까지 국내주식서 14%대 수익"
