keyword,date,title
MSCI World,2023.06.30,"Korean pension funds sell off Kospi, Samsung Electronics in June"
MSCI World,2023.06.20,"키움증권, 더 똑똑해진 AI가 고객별 맞춤 포트폴리오 제공"
MSCI World,2023.06.15,"“해외투자, 이제 밤 세울 필요 없다”…한국거래소 ETF·ETN으로 손쉽게"
MSCI World,2023.06.12,Korea’s entry to MSCI Developed Market Index falls through again
MSCI World,2023.05.26,Korean investors flock to Japanese stock market to buy U.S. ETFs
MSCI World,2023.05.24,카카오 “2040년까지 사용 전력 모두 재생에너지로 전환”
MSCI World,2023.05.22,선진국 주식·국내 채권 분산 … 환율 효과에 수익률 '보너스'
MSCI World,2023.05.07,"키움증권, AI가 개인 맞춤형 '최적 포트폴리오' 제공"
MSCI World,2023.04.20,Investors turn to emerging markets as alternative destinations to China
MSCI World,2023.04.16,"키움증권, 상관관계 낮은 자산에 분산투자해 변동성 낮춰"
MSCI World,2023.04.09,"키움증권, AI가 시장 분석해 자산비중 자동조절"
MSCI World,2023.04.04,‘조물주 위에 월 배당 ETF’ 주식·채권·부동산·옵션 입맛대로 골라볼까?
MSCI World,2023.01.15,"키움증권, AI 로봇이 고객 맞춤형 포트폴리오 제공"
MSCI World,2023.12.03,은퇴시기 맞춰 위험·안전자산 배분 … 노후대비 더 똘똘하게
MSCI World,2023.11.23,TDF ETF 수익률 ‘순항’···노후자금 걱정 없겠네
MSCI World,2023.09.10,"키움증권, 로보어드바이저가 고객 자산 배분 … 수익률 'GO'"
MSCI World,2023.08.30,"카카오 ESG 보고서, ARC 어워드·LACP 비전 어워드서 각각 최고등급 수상"
MSCI World,2023.08.28,"키움증권, 고금리 시대 … 변동성 낮은 포트폴리오로 '안전띠'"
MSCI World,2023.07.12,"[MK시그널] 글로벌 ESG 평가기관 엠에스씨아이, 매수신호 발생"
MSCI World,2023.07.03,"키움증권, AI가 투자기간·성향 분석 … 시장대비 초과 성과"
