keyword,date,title
TOPIX,2024.06.27,선수들 떡실신 시키는 ‘기후 날벼락’...파리 올림픽 이대로 괜찮을까 [올어바웃스포츠]
TOPIX,2024.06.26,"‘라우타로 또 골’ 아르헨티나, 칠레전 1-0 승리로 8강 진출 확정 [코파 2024]"
TOPIX,2024.06.26,"팔꿈치에 극심한 고통, 은퇴 예감…그런데 기적의 챔피언 등극, 감동 준 양희영 드라마 [기자24시]"
TOPIX,2024.06.25,"‘메이저 챔피언’ 양희영, 세계랭킹 5위 도약…파리올림픽 출전 확정"
TOPIX,2024.06.24,"양희영, 데뷔 17년 만에 생애 첫 메이저 정상…우승 상금 21억원 잭팟"
TOPIX,2024.06.24,"‘캡틴 풀리식’ 1골 1AS 폭발! 미국, 볼리비아에 전반 2-0 리드 [코파 2024]"
TOPIX,2024.06.23,"‘7G 6홈런’ 오타니, 23호 홈런포 쾅! 친정팀 짓밟으며 3경기 연속 아치+타율-OPS 1위 만화야구"
TOPIX,2024.06.23,"‘아르테아가 벼락골’ 멕시코, 자메이카 1-0으로 잡고 진땀 승리 [코파 2024]"
TOPIX,2024.06.23,"점유율의 멕시코 vs 역습의 자메이카, 소득 없이 전반 0-0으로 마무리 [코파 2024]"
TOPIX,2024.06.23,"빅리거도 속수무책! 베네수엘라, 10명 뛴 에콰도르에 2-1 역전승! [코파 2024]"
TOPIX,2024.06.21,"‘알바레즈 골+메시 AS’ 아르헨티나, 캐나다 2-0 꺾고 메이저 3연속 우승 행보 시동 [코파 2024]"
TOPIX,2024.06.19,"오타니, 145m 괴력 20호 홈런 쐈다! NL 공동 1위 등극, 다저스는 9회 5점차 대역전 3연승 질주"
TOPIX,2024.06.18,"테이텀 아니네? ‘미친 활약’ 펼친 브라운, 피어스 이후 16년 만에 탄생한 보스턴의 파이널 MVP [NBA 파이널]"
TOPIX,2024.06.15,"‘돈빙 듀오’ 펄펄 난 댈러스, 보스턴에 3연패 뒤 13년 만에 파이널 승리…리버스 스윕 첫 역사에 도전한다 [NBA 파이널]"
TOPIX,2024.06.14,"치열해진 OTT 경쟁, 킬러IP가 관건, 스포츠가 구독자 유인…불붙은 중계 경쟁"
TOPIX,2024.06.09,"유로리그·유로바스켓 모두 제패, NBA 정상 바라보는 ‘할렐루카’ 돈치치…“이 순간을 위해 준비했다” [NBA 파이널]"
TOPIX,2024.06.08,"3억 달러 제안 뿌리쳤던 악의 제국 상대로 야마모토, 7이닝 7K 무실점 역투...오타니 5타수 무안타 부진"
TOPIX,2024.06.07,"브라운·포르징기스 펄펄 날 보스턴, ‘돈치치 원맨팀’ 댈러스 꺾고 파이널 1차전 대승…‘Big3’ 이후 16년 만에 정상 보여 [NBA 파이널]"
TOPIX,2024.06.04,"‘15세 골퍼’ 美 러셀, PGA 투어 대회 출전"
TOPIX,2024.05.29,"‘월클 DF’의 깜짝 유로2024 탈락…자존심도 버렸던 마츠 훔멜스, 나겔스만에게 ‘5번째 DF’도 괜찮다고 했다"
TOPIX,2024-05-29,"박현경도 김효주도 김세영도 US여자오픈서 ‘골프 한일전’ … 21명 출전 일본, 한국보다 1명 많이 출전"
TOPIX,2024-05-16,“회복할 수 없을 정도로 파탄”…결혼 7년만에 이혼소송 낸 매킬로이
TOPIX,2024-05-15,"‘40-10’에도 실책이 없다…‘MVP’ 요키치, 2018년 폴 이후 NBA PO 역사상 2호 무결점 활약 [NBA PO]"
TOPIX,2024-05-15,"앤트맨? 에펠탑? ‘MVP’가 정리했다…‘40-7-13’ 요키치 펄펄 난 덴버, 미네소타 꺾고 서부 파이널까지 1승 남아 [NBA PO]"
TOPIX,2024-04-30,"세계 톱10 단 1명… 韓 여자골프, 파리올림픽 ‘빨간불’"
TOPIX,2024-04-30,日핵심 성장 테마에 집중 투자하는 공모펀드 나왔다
TOPIX,2024-04-29,"단짝과 호흡, 챔피언 벨트까지... 우승 물꼬 튼 매킬로이"
TOPIX,2024-04-23,6연승 도전 잠시 멈춘 코르다 “LA 챔피언십 불참”
TOPIX,2024-04-21,"김하성 5G 연속 안타→시즌 타율 0.232 상승, 그런데 SD는 실트 감독·프로파 퇴장&3연패 수렁"
TOPIX,2024-04-17,LPGA 첫 출전 방신실 조 편성 보니 … ‘장타자 시간다’ ‘단타자 드라이버그’와 같은 조 샷 대결
TOPIX,2024-04-11,"日주식형 펀드 대약진…""미국보다 좋네"""
TOPIX,2024-04-11,"“당장 여기로 옮겨야돼”…미국보다 대세, 수익률 장난아니라는데"
TOPIX,2024-04-09,"8점 차 역대급 뒤집기 불씨 지핀 시즌 첫 3루타! 김하성 2G 연속 안타, 타율 0.208↑…SD 대역전극 0-8→9-8 승"
TOPIX,2024-04-08,‘16년 만의 4연승’ 코다 … LPGA 25번째 ‘1000만 달러의 우먼’
TOPIX,2024-04-08,"이정후·김하성, 나란히 1안타… 수비에서 ‘희비’"
TOPIX,2024-04-04,"스포츠 스트리밍 진출 나선 OTT, 게임·쇼핑 등 차세대 콘텐츠 경쟁"
TOPIX,2024-04-01,"코다, LPGA 투어 3개 대회 연속 우승…이미향 3위"
TOPIX,2024-04-01,‘KOREA vs KORDA’ 희비 … 7개 대회 연속 무승 한국 … 3개 대회 연속 우승 코다
TOPIX,2024-04-01,“들었다하면 수익률 40%는 기본”…왕좌 오른 상품엔 모두 ‘이것’ 있었다
TOPIX,2024-03-31,역시 반도체 … 1분기 ETF 수익률 '킹'
TOPIX,2024-03-30,LPGA 2년 간 ‘100% 컷 통과’ 김효주만 남았다 … ‘컷 오프 5언더’ 사상 최저 타이
TOPIX,2024-03-29,"‘코스가 얼마나 쉬웠으면’ 1언더파가 96위 … 김효주 7언더 7위, 신지은 6언더 9위, 김세영 5언더 20위"
TOPIX,2024-03-29,"‘데뷔전 안타·타점’ 이정후, ‘시즌 첫 안타’ 김하성… 한국인 빅리거 후끈했던 맞대결"
TOPIX,2024-03-29,"다저스, 베츠+오타니+프리먼=2홈런 5안타 4타점 맹활약...홈 개막전 대승"
TOPIX,2024-03-26,“초딩은 SNS 절대 안 돼”…부모 동의 상관없이 막겠다는 곳 ‘어디’
TOPIX,2024-03-20,"일본은행의 흑역사…금리인상 꺼낼 때마다 경기침체, 이번엔 다를까"
TOPIX,2024-03-19,"금리인상發 침체 반복 '日銀 흑역사'…""이번엔 인상속도 조절"""
TOPIX,2024-03-19,"""시장예상 부합""… 엔화값 떨어지고 日증시 상승"
TOPIX,2024-03-19,日銀 임금·실적·인플레 자신감…금리인상 흑역사 “3번의 실패는 없다”
TOPIX,2024-03-16,"올리비아 로드리고, 콘서트장 내 피임도구 배포 중단…사회적 논쟁의 중심에 서다"
TOPIX,2024-03-13,"하향 평준화된 女골프 세계랭킹? … ‘최약체 세계 1위’ 릴리아 부, 고진영·김효주에겐 기회 [오태식의 골프이야기]"
TOPIX,2024-03-11,"""엔화·美국채값 상승에 베팅"" 두 토끼 잡는 ETF에 뭉칫돈"
TOPIX,2024-03-11,“미국채·엔화 동시에 오르면 짭잘하겠지?”…두 토끼 잡는 ETF에 뭉칫돈
TOPIX,2024-03-08,“잘나가는 미국·일본 펀드 넣었는데 왜 폭망”…‘울상’ 이과장 뭘 샀길래
TOPIX,2024-03-05,중국펀드 넣은 김과장 ‘울상’…일본펀드 넣은 박대리 “제가 밥 살게요”
TOPIX,2024-03-05,"연일 최고치…지금이라도? 버블 시절 넘은 日 증시, 어떤 종목 담을까"
TOPIX,2024-03-05,중학개미 늘었지만 … 웃는 건 일학개미네
TOPIX,2024-03-04,일본 증시 불 붙었다는데 엔화 ETF 투자해볼까?
TOPIX,2024-02-26,5대 증권사가 뽑은 ‘레벨업’ 후보는? 믿을맨 ‘금융지주’ 튼튼한 ‘현대차그룹’ 찜
TOPIX,2024-02-23,“프로 벽은 역시 높다” 우즈 아들 PGA 투어 예선 탈락
TOPIX,2024-02-22,"LPGA ‘언더파 1위’ 김효주, 새해 첫 출격 ‘5언더 폭발’ … 김세영 6언더 2위·고진영 4언더 11위"
TOPIX,2024-02-21,美·日 주식 수 줄일 때 코스피 ‘역주행’…자사주 태워 자본 효율 ‘레벨업’ 나서야
TOPIX,2024-02-21,"‘4300억 신인+日 최고 투수’ 야마모토, 서울시리즈 선발로 뜬다...역대급 데뷔전 예고"
TOPIX,2024-02-19,“4700억 벌금? 금방 벌지” 코웃음…50만원 신발 2시간 만에 ‘완판’
TOPIX,2024-02-16,“많이 올랐는데 안 팔아?” “왜 팔아”…경고등에도 일학개미 버티는 까닭
TOPIX,2024-02-16,AI 랠리 탄 日반도체주 '과열 경고'… 삼성전자 주가는 '시무룩'
TOPIX,2024-02-04,될성부른 K주식만 골라 담았다고?…일본에서도 성공한 ‘이 상품’ 뭐길래
TOPIX,2024-02-04,가치 오를 저평가 종목 집중공략 코리아프라임지수 ETF 나온다
TOPIX,2024-01-30,"다시 불붙은 女골프 ‘세계1위 전쟁’ … 코다 0.22점 차 2위, 리디아 고는 고진영·김효주 비집고 7위 [오태식의 골프이야기]"
TOPIX,2024-01-24,"트럼프, 美공화당 2차전 뉴햄프셔 승리...헤일리 “경선 안 끝나”"
TOPIX,2024-01-22,"“모든 중국산 수입 줄이고 간첩 색출”…40억명 투표소 찾는 선거의 해, 공통분모는 중국 [매경데스크]"
TOPIX,2024-01-22,"코스피 닮은꼴 일본증시, ‘이거’ 하니 미국증시 안부러워"
TOPIX,2024-01-21,"27년 만에 나이키 벗는 타이거 우즈, 새로 입을 브랜드는"
TOPIX,2024-01-16,치솟는 日증시 … 일학개미 ETF도 달린다
TOPIX,2024-01-16,"“지금이라도 일본에 베팅해봐?”…‘사상 최고’ 넘보는 日증시, 근거는"
TOPIX,2024-01-10,마노아→메츠 이마나가→컵스 ‘좌완 선발 교통정리’ 착착…류현진 행선지는 결국 SD? SF?
TOPIX,2024-01-09,"15년 만에 호기 왔다는데, 엔테크 올라탈까 “900원대 후반” 전망…변동성 커 주의해야"
TOPIX,2024-01-09,"‘골프 황제’ 우즈, 나이키와 27년 동행 마무리"
TOPIX,2024-01-08,"‘기록의 사나이’ 임성재, 72홀 최다 버디 신기록"
TOPIX,2024.12.24,[탄핵 후폭풍] ④ 미국 | 월가가 바라보는 탄핵 정국
TOPIX,2024.12.11,"수십억 상금 탄 다음날도 연습…‘新골프황제’로 불리는 이 남자, 승률이 무려 [임정우의 스리 퍼트]"
TOPIX,2024.11.17,"‘UFC GOAT’ 존스, ‘백사장’ 뜻 거스르나? 아스피날 아닌 페레이라 원한다…“위험한 신인보다 확실한 챔피언과 싸울 것” [UFC309]"
TOPIX,2024.11.17,‘Bones’ 존스는 역시 최고! ‘은퇴’ 미오치치마저 일방적으로 잡았다…헤비급 타이틀 1차 방어 성공→아스피날과 만나나? [UFC309]
TOPIX,2024.11.12,"‘롯데 챔피언십 챔피언’ 김아림, 세계랭킹 57위로 껑충"
TOPIX,2024.11.04,"‘10년째 열애’ 이정재♥임세령, 美 LACMA 참석...올블랙 커플룩"
TOPIX,2024.10.14,女 마라톤 ‘2시간 10분’ 벽 깨졌다
TOPIX,2024.09.29,"어깨수술 김하성 시즌 끝, FA 대형 계약 어쩌지"
TOPIX,2024.09.26,투자자들 떨게 한 '증시 핵폭탄' 엔 캐리 청산 [쉽게 풀어쓰는 경제뉴스]
TOPIX,2024.09.23,"리디아 고, 크로거 퀸 시티 챔피언십 정상…시즌 3승 달성"
TOPIX,2024.09.19,"오타니, 49호 도루 성공...‘꿈의 50-50’에 이제 홈런2개-도루1개"
TOPIX,2024.09.09,"“내 굿즈 완판각”…아이돌도 아닌데, 사업가 본능 뽐내는 이 남자"
TOPIX,2024.09.09,"신네르, ‘메이저’ US오픈 우승… 남자 테니스 ‘2000년대생 전성시대’"
TOPIX,2024.08.22,[이승훈 특파원의 일본열도 통신] 부활하는 일본 코고기업(古豪企業) 기린·후지필름·재팬 엔진 기술력으로 역전타
TOPIX,2024.08.21,"김하성, 빅리그 진출 후 첫 부상자 명단… 큰 부상은 피했다"
TOPIX,2024.08.19,헬맷도 집어 던졌다… 김하성 어깨 부상
TOPIX,2024.08.15,"오타니, 2도루 추가하며 꿈의 40-40 기록에 3홈런-5도루 남겨뒀다!!!"
TOPIX,2024.08.11,“반등한다고? 죽은 고양이 오래 못갈거야”...하락에 베팅한 일학개미
TOPIX,2024.08.11,日증시 반등에도 … 일학개미들은 하락에 베팅
TOPIX,2024.08.09,트럼프 “내가 지면 경제공황 올 것”...대선 결과 승복 질문엔 “정직한 선거 원해”
TOPIX,2024-08-07,엔캐리 트레이드 규모는 얼마나 될까...“3년 전보다 17~21% 늘어”
TOPIX,2024-08-06,Asian stock markets plunge on concerns over U.S. recession
TOPIX,2024-08-05,‘잃어버린 30년’ 끝났나 했는데…일본 증시 사상 최대 폭락
TOPIX,2024-07-29,"팔레스타인 최초의 챔피언 탄생! 무하마드, 에드워즈 꺾고 웰터급 챔피언 등극…아스피날, 블레이에 리벤지 성공 [UFC]"
TOPIX,2024-07-25,에드워즈-무하마드·아스피날-블레이즈 맞대결! 28일 UFC 304서 제대로 만난다 [UFC]
TOPIX,2024-07-21,"6타 줄인 유해란, 美 통산 두번째 우승 도전"
TOPIX,2024-07-19,"‘NBA 챔피언’ 테이텀, 조던·피펜·제임스·어빙과 어깨 나란히 할까…NBA·올림픽 동반 우승 바라본다"
TOPIX,2024-07-17,"인종차별 + 패륜적인 가사…‘코파 챔피언’ 아르헨, 우승 세리머니로 망신살 → 분노한 프랑스 축협, 법적 고소 진행"
TOPIX,2024-07-15,"‘라우타로 연장 극장골’ 아르헨티나, 콜롬비아 1-0 꺾고 코파 2연속 우승+메이저 3연패 위업...부상 교체 메시, 행복 라스트 댄스"
TOPIX,2024-07-15,코파 결승전 1시간째 지연 중...티켓 없는 팬 수천명 난동 유혈사태까지 [코파 2024]
TOPIX,2024-07-11,누네즈와 콜롬비아 팬들의 갑작스러운 ‘주먹다짐’…히메네즈의 고백 “가족을 지켜야 했다” [코파 2024]
TOPIX,2024-07-11,"커리가 주고 제임스가 덩크! ‘드림팀’ 미국, ‘SGA’ 캐나다와의 첫 평가전서 승리…올림픽 5연패 청신호"
TOPIX,2024-07-11,“왜 볼때마다 주식이 치솟는건데?”...또다시 사상최고 경신한 일본
TOPIX,2024-07-11,"‘메시 나와!’ 콜롬비아, 레르마 결승골 힘입어 ‘우승 후보’ 우루과이 잡았다…23년 만에 결승 진출 [코파 2024]"
TOPIX,2024-07-11,"‘NBA 파이널 MVP’ 브라운, 레너드 공백에도 ‘드림팀’에 설 자리 없었다…화이트 대체 선발에 트윗 반응"
TOPIX,2024-07-09,"‘메이저 퀸’ 양희영, 여자 골프 세계 4위로… 고진영 3위·김효주 13위 유지"
TOPIX,2024-07-07,"‘삼바축구 몰락’ 브라질, 10명 우루과이에 승부차기 끝 패배 8강 충격 탈락 [코파 2024]"
TOPIX,2024-07-02,코파의 벽 참 높다…멕시코 이어 개최국 미국마저 ‘광탈’…2007년 이후 17년 만에 조별리그 탈락 [코파 2024]
