keyword,date,title
러셀,2019.06.30,"카이리 어빙, 브루클린과 맥스 계약 임박"
러셀,2019.06.29,`마일 하이 시티`에서 길을 잃다...4이닝 7실점 `2패` [류현진 등판] (종합)
러셀,2019.06.29,"다저스, 우완 센자텔라 상대 좌타 총동원...피더슨 1루 [류현진 등판]"
러셀,2019.06.28,"코스피, 엇갈린 미·중 협상 전망에 약보합 마감"
러셀,2019.06.28,"코스피, 미·중 정상회담 앞두고 강보합 출발"
러셀,2019.06.27,"다저스 베테랑 포수 러셀 마틴, 투수 변신…1이닝 무실점"
러셀,2019.06.27,"다저스, 애리조나에 패배...곤솔린 데뷔전에서 4이닝 6실점"
러셀,2019.06.26,우승반지 낄수만 있다면…어디든 간다
러셀,2019.06.25,"류현진 부부, 애리조나 한국 식당서 다저스 동료들과 식사"
러셀,2019.06.25,"류현진, 동료들과 함께 한식집 나들이...‘다저스 다 모였네’"
러셀,2019.06.24,"다저스 신인 스미스 ""3연속 신인 끝내기, 절대 깨지지 않을 기록"" [현장인터뷰]"
러셀,2019.06.24,"이민호, 파리 패션쇼 참석...뤽상부르 공원 인산인해 만든 `한류스타 위엄`"
러셀,2019.06.24,"다저스, 콜로라도에 3연속 끝내기 승...마에다는 7이닝 소화"
러셀,2019.06.24,"로버츠 ""피더슨 1루 수비, 아직 완성 아니야...괜찮을 것"" [현장인터뷰]"
러셀,2019.06.24,"데이빗 프리즈, 햄스트링 부상으로 IL행...스미스 콜업"
러셀,2019.06.23,"피더슨, 2경기 연속 1루 출전...류현진은 마틴과 호흡 [류현진 등판]"
러셀,2019.06.20,"다저스, 방망이 힘으로 힐 부상 악재 극복...SF에 승리"
러셀,2019.06.18,"[아이넷 AI 로봇 기자] 코스닥, 기관과 외국인의 동반 매도세로 하락 마감...714.86P (-0.59%↓)"
러셀,2019.06.17,"로버츠 ""컵스 타선, 류현진 공 제대로 공략 못해"" [현장인터뷰]"
러셀,2019.06.17,"류현진, 7이닝 2실점 호투에도 10승 또 불발"
러셀,2019-06-17,"7이닝 2실점, 10승 실패...다저스 위닝시리즈 [류현진 등판] (종합)"
러셀,2019-06-17,또 놓친 10승...그러나 체인지업 빛났다 [류현진 등판]
러셀,2019-06-17,"아버지 날 호투한 `효자`, 컵스전 7이닝 2실점 비자책 [류현진 등판]"
러셀,2019-06-17,"5회, 선두타자 내보냈지만 잔루 처리 [류현진 등판]"
러셀,2019-06-17,"3회, 브라이언트 상대 병살로 이닝 마무리 [류현진 등판]"
러셀,2019-06-17,"다저스, 우타자 대거 배치...포수는 마틴 [류현진 등판]"
러셀,2019-06-17,"컵스, 바에즈 시즌 첫 리드오프 배치 [류현진 등판]"
러셀,2019-06-16,"`3경기 5홈런` 물오른 컵스 타선, 어떻게 막을까 [류현진 미리보기]"
러셀,2019-06-16,"다르빗슈의 귀환, 이를 저지한 버두고와 뷸러...그리고 잰슨의 `불쇼`"
러셀,2019-06-13,"[특징주] 러셀, 최대주주 변경 소식에 강세"
러셀,2019-06-12,"`선발 부진+타선 침묵` 다저스, 에인절스 원정 스윕패"
러셀,2019-06-11,6이닝 1실점 호투...불펜 방화로 역전패 [류현진 등판] (종합)
러셀,2019-06-11,"에인절스 감독 ""류현진, 정말 뛰어나...힘든 승부 예상"" [현장인터뷰]"
러셀,2019-06-11,터너 DH 출전...포수는 오늘도 마틴 [류현진 등판]
러셀,2019-06-10,"反화웨이 美안팎 균열…백악관""제재 연기를"""
러셀,2019-06-05,수비 실책 극복...7이닝 무실점 ERA 1.35 [류현진 등판]
러셀,2019-06-05,"4회, 땅볼 아웃 세 개로 삼자범퇴 [류현진 등판]"
러셀,2019-06-05,"로버츠 ""마틴, 류현진 개인 포수는 아니지만 둘이 잘맞는다"" [류현진 등판]"
러셀,2019-06-05,다저스 라인업 공개...터너 선발 제외 [류현진 등판]
러셀,2019-06-04,美지수 마이크로상품에 삼성선물 `무료 수수료`
러셀,2019-06-04,"삼성선물, 美 3대 지수 마이크로 상품 수수료 무료 이벤트 실시"
러셀,2019-06-03,"`8회 7득점` 다저스, 필라델피아 상대 스윕 달성"
러셀,2019-06-01,"""어느 시대든 통한다"" 강속구 시대 더 빛나는 류현진의 제구 [김재호의 MLB돋보기]"
러셀,2019-05-30,[추현혜의 밝은세상] ‘수평관계’의 과잉과 ‘효’[1]
러셀,2019-05-30,"""6월 중간배당 관련주 주목해라"".. 저점매수는 연 2.59% 자금으로"
러셀,2019-05-30,"""최근 성적 좋다"" 로버츠, 류현진 파트너로 마틴 예고 [현장스케치]"
러셀,2019-05-27,[해외투자가 답이다](8)MSCI 편입 비중 확대되는 중국 증시-경기 부양 나선 中정부…소비재株 담아라
러셀,2019-05-27,"`타선 폭발` 다저스, 피츠버그 상대 시즌 스윕 달성"
러셀,2019-05-26,`피츠버그 킬러` 류현진
러셀,2019-05-26,10피안타에도 QS...7승 달성 [류현진 등판] (종합)
러셀,2019-05-26,악재 딛고 버텼다...피츠버그전 6이닝 10피안타 2실점 [류현진 등판]
러셀,2019-05-26,"류현진, 32이닝서 연속 이닝 무실점 끝…포수 악송구로 점수 허용"
러셀,2019-05-26,2회 2실점...연속 이닝 무실점 기록 종료 [류현진 등판]
러셀,2019-05-26,피츠버그에 비 예보...지연 예정 [류현진 등판]
러셀,2019-05-26,"다저스, 좌타자 집중 배치...포수는 마틴 [류현진 등판]"
러셀,2019-05-25,"해적들과 두 번째 대결, 이번에도 웃을까? [류현진 미리보기]"
러셀,2019-05-24,올NBA팀 명단 발표...안테토쿤포-하든 만장일치 선정
러셀,2019-05-23,"최지만, 리치 힐 열받게 만든 번트안타...팀도 승리"
러셀,2019-05-21,"""환율 상승 수혜 업종에 집중해야"".. 저점매수는 연 2.89% 자금으로"
러셀,2019-05-20,"이베스트투자증권, CME 마이크로미니 지수선물 거래 이벤트 실시"
러셀,2019-05-20,"류현진, 시즌 6승…MLB 1.52 평균자책점 전체 1위 등극"
러셀,2019-05-20,신시내티전 7이닝 무실점 ERA 1.52...시즌 6승 달성 [류현진 등판] (종합)
러셀,2019-05-20,`위기탈출` 성공...신시내티전 7이닝 무실점 ERA 1.52 [류현진 등판]
러셀,2019-05-20,"3회, 1사 2루 위기 탈출 무실점 [류현진 등판]"
러셀,2019-05-19,"저스틴 터너, 라인업 복귀...3번 3루수 [류현진 등판]"
러셀,2019-05-19,`ERA 5.06` 신시내티의 악몽 지울까 [류현진 미리보기]
러셀,2019-05-18,NBA MVP 등 개인상 최종 후보 발표
러셀,2019-05-13,"다저스, 스트라스버그 상대 좌타 총동원 [류현진 등판]"
러셀,2019-05-11,"포수 다노, 다저스에서 1경기 뛰고 TB로 이적"
러셀,2019-05-10,19세 `음악천재`는 왜 깃털을 훔쳤을까
러셀,2019-05-09,"삼성선물, 6월 말까지 수수료 무료 이벤트 실시"
러셀,2019-05-09,"텍사스 갈로, 100단타보다 100홈런 먼저 달성...역대 최초"
러셀,2019-05-08,"로버츠 ""류현진, 좋은 타선 상대로 완벽하게 압도했다"" [현장인터뷰]"
러셀,2019-05-08,"6회, 첫 안타 허용...팬들은 격려의 박수 [류현진 등판]"
러셀,2019-05-08,"다저스, 좌완 프리드 상대 우타자 전진 배치 [류현진 등판]"
러셀,2019-05-05,"다저스, 샌디에이고에 이틀 연속 9회 결승점"
러셀,2019-05-05,"다저스, 이틀 연속 예이츠 공략 성공...SD에 2연승"
러셀,2019-05-03,"디안젤로 러셀, 공항에서 마리화나 보유 적발"
러셀,2019-05-03,"""진정한 투수요 아티스트"" 포수 마틴이 보는 류현진 [MK인터뷰]"
러셀,2019-05-03,`전처 학대` 애디슨 러셀 징계에서 복귀...트리플A행
러셀,2019-05-02,오늘은 범가너 잡았다...6회 대결에서 탈삼진 [류현진 등판]
러셀,2019-05-02,"다저스 1루수, 프리즈에서 먼시로 교체 [류현진 등판]"
러셀,2019-05-02,"다저스, 범가너 상대 좌타자 세 명 배치 [류현진 등판]"
러셀,2019-04-30,"""5월 코스피 밴드 2130~2250선"".. 대비는 연 2.99% 자금으로"
러셀,2019-04-29,"강정호, 다저스전 무안타...팀은 역전패"
러셀,2019-04-28,"다저스 포수 마틴, 부상자 명단에서 복귀"
러셀,2019-04-27,"다저스 포수 러셀 마틴, 29일(한국시간) 복귀 예정"
러셀,2019-04-26,"한국계 머리, 최초 NFL·MLB 1라운드 지명"
러셀,2019-04-26,"르브론, PO 못갔지만 유니폼 판매는 1위"
러셀,2019-04-24,"`릴라드 버저비터` 포틀랜드, OKC 꺾고 2라운드 진출"
러셀,2019-04-23,`사기 캐릭터` 카일러 머리의 도전
러셀,2019-04-22,"리치 힐-러셀 마틴, 다음주 동반 복귀 예정"
러셀,2019-04-21,"휴스턴, 하든 슛 난조 극복하고 유타에 승리"
러셀,2019-04-21,"류현진, 로키 게일과 첫 호흡 [류현진 등판]"
러셀,2019-04-20,"OKC, 홈에서 포틀랜드에 반격"
러셀,2019-04-20,"`복귀 임박` 류현진, 타격 연습도 소화 [현장스케치]"
러셀,2019-04-19,"`듀란트 38점` 골든스테이트, 클리퍼스 완파"
러셀,2019-04-16,"코스피, 기관 매도에 약보합 출발"
러셀,2019-04-15,[INTERVIEW 배양숙의 Q] 리더에게 세계 시민의식(global citizenship)을 묻다
러셀,2019-04-14,"첫판부터 업셋...필라델피아, 브루클린에 `덜미`"
러셀,2019-04-11,"[아이넷 AI 로봇 기자] 코스닥 마감, 766P (0.83%↑)… 10거래일 연속 상승세"
러셀,2019-04-11,"덴버, 결국 휴스턴 피했다...2번 시드 획득"
러셀,2019-04-11,"[아이넷 AI 로봇 기자] 러셀(217500), SEUL와 29.4억원 규모 계약 체결"
러셀,2019-04-11,"코스피, 외국인·기관 동반 `사자`세에 상승 출발"
러셀,2019-04-11,"다저스 포수 마틴, 허리 부상으로 부상자 명단행"
러셀,2019-04-10,"OKC, 폴 조지 결승골로 휴스턴 제압...노비츠키는 은퇴 선언"
러셀,2019-04-09,"다저스, 터너 선발 제외...마틴 포수 출전 [류현진 등판]"
러셀,2019-04-08,서비스는 진심으로 하는 것이 아니다.
