keyword,date,title
유로스탁스,2020.05.20,국내 최초 해외 양매도 ETN 신규 상장
유로스탁스,2020.04.27,"유진투자증권, 20억 규모 특판 ELS 발행 재개…29일까지 2종 공모"
유로스탁스,2020.04.09,"KB증권, `낙폭과대 주식자산 활용` 목표전환형 상품 판매 주력"
유로스탁스,2020.02.11,"한국투자증권, 부메랑스텝다운형TRUE ELS 12995회 모집"
유로스탁스,2020.01.16,"신한금융투자, 월지급식 스텝다운 ELS 공모"
유로스탁스,2020.01.12,경기 반등에 웃는 유럽펀드…1년 수익률 22%
유로스탁스,2020.01.12,다시 살아나는 유럽펀드···최근 1년 22% 상승
유로스탁스,2020.01.07,"독일·홍콩에 놀랐지만…ELS, 그나마 너밖에 없다"
유로스탁스,2020.12.08,"한국투자증권, 온라인 전용 `TRUE ELS 13485회` 모집"
유로스탁스,2020.11.30,AI에 자산운용 맡겨보니 수익률도 두 배
유로스탁스,2020.11.23,"한투증권, 온라인 전용 TRUE ELS 13460회 모집"
유로스탁스,2020.11.09,"한국투자증권, 온라인 전용 `TRUE ELS 13449회` 모집"
