date,section,domestic_mean,domestic_std,domestic_count,global_mean,global_std,global_count
2019-01-01,domestic_core,-0.0045,0.8758,6.0,,,
2019-01-01,global_macro,-0.4408,0.733,2.0,,,
2019-01-02,domestic_core,0.0537,0.5223,17.0,,,
2019-01-02,global_macro,0.2265,0.4529,4.0,0.007,0.3633,5.0
2019-01-03,domestic_core,-0.0428,0.5886,26.0,,,
2019-01-03,global_macro,-0.0541,0.0938,3.0,-0.7722,0.2064,4.0
2019-01-04,domestic_core,-0.1318,0.638,8.0,,,
2019-01-04,global_macro,-0.1999,0.4457,5.0,0.0257,0.3832,7.0
2019-01-05,global_macro,-0.045,0.0528,2.0,-0.0108,,1.0
2019-01-06,domestic_core,0.0024,0.807,4.0,,,
2019-01-06,global_macro,0.0001,0.0001,2.0,0.2845,,1.0
2019-01-07,domestic_core,0.1855,0.5128,19.0,,,
2019-01-07,global_macro,-0.8418,0.2223,2.0,-0.3723,0.4257,3.0
2019-01-08,domestic_core,-0.1083,0.6615,18.0,,,
2019-01-08,global_macro,0.3401,0.4511,9.0,0.7906,,1.0
2019-01-09,domestic_core,0.269,0.6546,14.0,,,
2019-01-09,global_macro,-0.0006,0.8133,4.0,-0.2119,,1.0
2019-01-10,domestic_core,0.2352,0.5022,26.0,,,
2019-01-10,global_macro,-0.1448,0.4922,5.0,-0.1438,,1.0
2019-01-11,domestic_core,0.2517,0.437,15.0,-0.9375,,1.0
2019-01-11,global_macro,0.279,0.4837,4.0,-0.0239,0.3102,8.0
2019-01-12,global_macro,-0.0411,0.0599,3.0,-0.0561,,1.0
2019-01-13,domestic_core,-0.4981,0.5752,4.0,,,
2019-01-14,domestic_core,0.2012,0.6088,19.0,,,
2019-01-14,global_macro,-0.0964,0.2156,5.0,,,
2019-01-15,domestic_core,0.1198,0.3298,15.0,,,
2019-01-15,global_macro,-0.171,0.7007,6.0,-0.3967,0.0334,2.0
2019-01-16,domestic_core,0.0994,0.5938,15.0,,,
2019-01-16,global_macro,0.0004,0.8119,4.0,,,
2019-01-17,domestic_core,0.0677,0.7046,20.0,,,
2019-01-17,global_macro,0.4998,0.7063,2.0,-0.0462,0.1267,2.0
2019-01-18,domestic_core,-0.0948,0.516,12.0,,,
2019-01-18,global_macro,-0.0037,0.0064,3.0,0.0559,,1.0
2019-01-19,global_macro,0.8024,,1.0,,,
2019-01-20,domestic_core,0.1936,0.725,3.0,,,
2019-01-20,global_macro,-0.0048,0.0068,2.0,-0.0055,,1.0
2019-01-21,domestic_core,0.0586,0.5338,18.0,,,
2019-01-21,global_macro,0.9998,0.0,2.0,,,
2019-01-22,domestic_core,0.2099,0.5971,13.0,,,
2019-01-22,global_macro,0.0002,0.0,2.0,-0.9383,,1.0
2019-01-23,domestic_core,0.2404,0.7239,12.0,,,
2019-01-23,global_macro,-0.0333,0.0459,2.0,,,
2019-01-24,domestic_core,0.3159,0.5988,16.0,,,
2019-01-24,global_macro,0.2813,0.7361,7.0,,,
2019-01-25,domestic_core,0.2654,0.4839,12.0,,,
2019-01-25,global_macro,0.1941,0.4505,5.0,-0.8697,,1.0
2019-01-26,global_macro,0.0093,,1.0,,,
2019-01-27,domestic_core,0.2581,0.9503,4.0,,,
2019-01-27,global_macro,,,,-0.5721,,1.0
2019-01-28,domestic_core,0.2706,0.4036,20.0,,,
2019-01-28,global_macro,,,,-0.7867,0.2245,2.0
2019-01-29,domestic_core,-0.0066,0.6058,17.0,,,
2019-01-29,global_macro,-0.214,0.8576,8.0,,,
2019-01-30,domestic_core,0.1666,0.5299,24.0,,,
2019-01-30,global_macro,0.0001,0.0001,2.0,-0.3989,0.1065,2.0
2019-01-31,domestic_core,0.0918,0.5863,16.0,,,
2019-01-31,global_macro,0.0121,0.0172,2.0,0.0019,,1.0
2019-02-01,domestic_core,0.0553,0.6792,8.0,,,
2019-02-01,global_macro,0.25,0.4998,4.0,,,
2019-02-02,global_macro,-0.4986,0.7051,2.0,,,
2019-02-03,domestic_core,0.0013,0.0019,2.0,,,
2019-02-03,global_macro,,,,-0.0822,,1.0
2019-02-04,global_macro,0.272,,1.0,-0.0456,0.127,2.0
2019-02-05,domestic_core,-0.0004,,1.0,,,
2019-02-05,global_macro,0.1158,0.1634,2.0,0.2131,0.3198,3.0
2019-02-06,domestic_core,-0.3998,0.5474,5.0,,,
2019-02-06,global_macro,0.431,0.6094,2.0,,,
2019-02-07,domestic_core,0.023,0.5534,29.0,,,
2019-02-07,global_macro,0.0517,0.923,3.0,0.0398,0.2032,2.0
2019-02-08,domestic_core,-0.0726,0.5755,12.0,,,
2019-02-08,global_macro,-0.1272,0.6632,7.0,,,
2019-02-09,global_macro,-0.0067,,1.0,,,
2019-02-10,domestic_core,0.3305,0.3666,3.0,,,
2019-02-10,global_macro,,,,-0.8491,,1.0
2019-02-11,domestic_core,0.0297,0.6393,14.0,,,
2019-02-11,global_macro,-0.1168,0.2402,4.0,-0.34,,1.0
2019-02-12,domestic_core,-0.0718,0.443,21.0,,,
2019-02-12,global_macro,0.0001,0.0001,4.0,-0.9095,,1.0
2019-02-13,domestic_core,0.003,0.5306,20.0,,,
2019-02-13,global_macro,-0.0001,0.0002,4.0,-0.3587,,1.0
2019-02-14,domestic_core,0.1306,0.5445,23.0,,,
2019-02-14,global_macro,0.3264,0.564,3.0,,,
2019-02-15,domestic_core,-0.0488,0.3566,24.0,,,
2019-02-15,global_macro,-0.0013,0.0023,3.0,-0.9627,,1.0
2019-02-16,global_macro,0.9922,,1.0,,,
2019-02-17,domestic_core,0.0691,0.8981,3.0,,,
2019-02-17,global_macro,0.1779,0.3107,3.0,0.0231,,1.0
2019-02-18,domestic_core,0.1985,0.5419,26.0,,,
2019-02-18,global_macro,-0.0003,0.0005,2.0,,,
2019-02-19,domestic_core,0.031,0.468,21.0,,,
2019-02-19,global_macro,0.3332,0.5766,3.0,0.0153,0.0525,2.0
2019-02-20,domestic_core,0.1572,0.5537,13.0,,,
2019-02-20,global_macro,0.4287,0.5336,7.0,-0.1994,,1.0
2019-02-21,domestic_core,-0.0481,0.4596,25.0,,,
2019-02-21,global_macro,0.0024,0.0068,6.0,,,
2019-02-22,domestic_core,-0.1061,0.7329,10.0,,,
2019-02-22,global_macro,-0.0563,0.1162,7.0,-0.286,0.5384,3.0
2019-02-23,global_macro,0.3952,0.5928,2.0,-0.3387,,1.0
2019-02-24,domestic_core,-0.0199,,1.0,,,
2019-02-24,global_macro,0.0004,,1.0,,,
2019-02-25,domestic_core,0.3682,0.565,20.0,,,
2019-02-25,global_macro,0.1589,0.2247,2.0,-0.0168,,1.0
2019-02-26,domestic_core,0.0271,0.5358,16.0,,,
2019-02-26,global_macro,0.4988,0.7054,2.0,-0.1187,,1.0
2019-02-27,domestic_core,0.2936,0.4694,17.0,,,
2019-02-27,global_macro,0.1146,0.2704,5.0,,,
2019-02-28,domestic_core,-0.1489,0.5951,16.0,,,
2019-02-28,global_macro,0.0766,0.1913,6.0,0.8097,,1.0
2019-03-01,domestic_core,0.6594,0.5888,3.0,,,
2019-03-01,global_macro,-0.5858,,1.0,0.02,0.0355,2.0
2019-03-02,global_macro,0.6482,,1.0,,,
2019-03-03,domestic_core,0.0007,0.0006,3.0,,,
2019-03-03,global_macro,0.0268,0.0379,2.0,,,
2019-03-04,domestic_core,0.0882,0.4241,22.0,,,
2019-03-04,global_macro,0.3333,0.5772,3.0,-0.8856,,1.0
2019-03-05,domestic_core,0.0319,0.5546,24.0,,,
2019-03-05,global_macro,0.9998,,1.0,-0.0282,0.1473,2.0
2019-03-06,domestic_core,-0.126,0.7471,12.0,,,
2019-03-06,global_macro,0.0819,0.689,4.0,-0.0809,,1.0
2019-03-07,domestic_core,0.077,0.7527,18.0,,,
2019-03-07,global_macro,-0.0407,0.7032,5.0,-0.9214,,1.0
2019-03-08,domestic_core,-0.1352,0.7083,16.0,,,
2019-03-08,global_macro,-0.1208,0.0827,3.0,-0.9122,,1.0
2019-03-09,global_macro,-0.9724,,1.0,0.0872,0.1474,2.0
2019-03-10,domestic_core,0.0134,0.7228,8.0,,,
2019-03-10,global_macro,,,,-0.6675,,1.0
2019-03-11,domestic_core,-0.0142,0.5934,16.0,,,
2019-03-11,global_macro,-0.1951,0.4472,5.0,-0.931,,1.0
